,country,label_id,label,tfidf,pmi
0,4,2977,india,0.1378356610970776,1.1149716281099957
1,4,3239,mumbai,0.05353498582432242,0.6348926802421574
2,4,7335,hindi,0.04932167854190643,0.614125162664143
3,4,1672,pakistan,0.04818148724189018,0.5714034122179417
4,1,153,advertising,0.03948808979783072,0.17204301075268819
5,4,2981,delhi,0.039346849134836395,0.5162511187827644
6,2,380,united states,0.0370593135368125,0.1372973744971555
7,1,1570,social media,0.036747719596103366,0.17985479275801855
8,4,5582,list of newspapers in india by circulation,0.03418631085269706,0.4611325782811459
9,4,5583,audit bureau of circulations,0.03418631085269706,0.4611325782811459
10,4,6306,kolkata,0.03418631085269706,0.4611325782811459
11,2,366,new york city,0.03374444440851303,0.13226406952577302
12,1,3531,communication,0.033709171487509765,0.16735961768219834
13,0,62,the new york times,0.03337358110545246,0.11925098942642803
14,4,10656,sun direct,0.02889706403001699,0.4011684518013632
15,4,6559,the times of india,0.02889706403001699,0.4011684518013632
16,1,1957,mass media,0.028760709616929392,0.11690561529271208
17,1,2229,marketing,0.02776049416618451,0.13782556750298686
18,1,1588,information,0.027262940264956646,0.13910965664121344
19,3,345,sony,0.024046046585768935,0.17803568121488983
20,2,463,nbc,0.023581161392178595,0.10832636886931535
21,6,968,newspaper,0.02345804100729117,0.09420218846970439
22,1,822,internet,0.02307865323347131,0.10665073675826364
23,2,134,canada,0.022922626165700784,0.10078342764076913
24,1,969,magazine,0.022674453944017108,0.10938537103411655
25,3,897,dvd,0.022527447479127626,0.17252208868975336
26,6,365,london,0.02227769049053175,0.10205237084217977
27,1,3113,public relations,0.021811816844859257,0.10829151732377539
28,6,388,united kingdom,0.021672517878579642,0.09372156505914468
29,3,2992,high efficiency video coding,0.021210738186230853,0.17023565136976868
30,3,2985,moving picture experts group,0.019089448274137093,0.1550568895878277
31,1,1172,world wide web,0.01907047051574076,0.09772296015180267
32,3,2662,video,0.0189729452507592,0.13456722917800762
33,3,1486,optical disc,0.018853989498871872,0.15132057899534995
34,5,515,film,0.01878933302742429,0.08416567563821017
35,6,1380,reporters without borders,0.01858065561369266,0.08747346072186836
36,2,1312,cable television,0.01847607303846084,0.08222544712225191
37,2,971,television,0.018406060586461652,0.07214403792314893
38,2,1291,comcast,0.017643583375614925,0.08226069918961408
39,2,1077,pay television,0.01749578903882954,0.07849289596133678
40,6,32,bbc,0.017236917695658865,0.07831926134399841
41,3,2665,blu-ray disc,0.01692107284513922,0.13910958290553532
42,6,38,the guardian,0.01686304517574001,0.07567928624251533
43,5,4,youtube,0.01681165995645268,0.07563381262830941
44,3,5718,international telecommunication union,0.016497240811512888,0.1324055066209312
45,2,2068,ontario,0.01644089981503956,0.07692230753586564
46,6,2525,russia,0.016162791898553394,0.07761729613348883
47,6,874,greece,0.016162791898553394,0.07761729613348883
48,0,1767,pulitzer prize,0.016134703738624342,0.0629430034416184
49,3,2773,netflix,0.01593859937474472,0.12347929269143021
50,2,2244,television station,0.01537122393806429,0.0723987270202392
51,0,1206,propaganda,0.014893572681807086,0.05810123394610929
52,6,2957,free-to-air,0.014706912403153983,0.07099295362934244
53,3,1436,pal,0.014701788553963351,0.12233384470727965
54,0,34,cnn,0.014648393131097349,0.056104751215862336
55,6,1379,freedom house,0.01453266766638099,0.0699787685774947
56,0,2117,journalism,0.01396290586676272,0.05391913998597803
57,5,7931,screenplay,0.01391621378442602,0.06851754460800143
58,0,620,msnbc,0.013516368309922313,0.05267579908675799
59,5,670,jazz,0.012651103440387291,0.06228867691636493
60,0,628,abc news,0.011944187295968758,0.046362832569729125
61,5,3933,filmmaking,0.010360388486218257,0.051312902619577945
62,0,676,the wall street journal,0.010252760921506596,0.04006598940696362
63,5,497,music,0.009801334101099488,0.04776183669434764
64,5,6871,film crew,0.009298238353730406,0.0462749979083646
65,0,685,the new yorker,0.009298152096860942,0.03630608758205198
66,5,2064,universal music group,0.009065339925440974,0.0448987897921307
67,0,2336,broadsheet,0.008518129835989057,0.03315759218198243
68,5,1222,rhythm and blues,0.008078727362737265,0.04028162686186712
69,5,1792,popular music,0.007969918588911776,0.039664283921455365
