country,1,tfidf_1,pmi_1,2,tfidf_2,pmi_2,3,tfidf_3,pmi_3,4,tfidf_4,pmi_4,5,tfidf_5,pmi_5,6,tfidf_6,pmi_6,7,tfidf_7,pmi_7,8,tfidf_8,pmi_8,9,tfidf_9,pmi_9,10,tfidf_10,pmi_10
0,india,0.1378356610970776,1.1149716281099957,mumbai,0.05353498582432242,0.6348926802421574,hindi,0.04932167854190643,0.614125162664143,pakistan,0.04818148724189018,0.5714034122179417,delhi,0.039346849134836395,0.5162511187827644,list of newspapers in india by circulation,0.03418631085269706,0.4611325782811459,audit bureau of circulations,0.03418631085269706,0.4611325782811459,kolkata,0.03418631085269706,0.4611325782811459,bengali language,0.02889706403001699,0.4011684518013632,lucknow,0.02889706403001699,0.4011684518013632
1,newspaper,0.022960800736563054,0.09161808853662023,united kingdom,0.022627333711966773,0.09710744236455275,london,0.021805470118537933,0.09900519105383053,reporters without borders,0.018186801317641818,0.08479337561776161,bbc,0.016871546622309486,0.0759963683490601,the guardian,0.016505599080992406,0.07345609976914723,greece,0.015820189077761115,0.07517790888632078,russia,0.015820189077761115,0.07517790888632078,free-to-air,0.014395169870917551,0.0687409314229361,freedom house,0.01422461860113351,0.06776932815194052
2,film,0.019586136673114873,0.0899282818833801,youtube,0.018619883204419284,0.08588656134929559,screenplay,0.0145063619212149,0.073821723934118,jazz,0.013187601746559,0.06711065812192545,filmmaking,0.01079974390689979,0.05534048115900314,music,0.010216981571554595,0.051387589647645775,film crew,0.009692550925014266,0.04996015660187784,universal music group,0.009449775918537316,0.04842292101412775,rhythm and blues,0.008421323845846797,0.043513684782280695,warner music group,0.00830790079286937,0.04282299137303815
3,advertising,0.03769317662520205,0.16033133660407778,social media,0.0369235460056541,0.17510306430362532,communication,0.032176936419895684,0.1545990603222653,mass media,0.0303432367011145,0.12082111436950146,marketing,0.026498653522267032,0.12731687320657142,information,0.02602371570745862,0.12814360614947126,internet,0.022029623541040797,0.09905154421283455,magazine,0.021643796946561784,0.10128716174688746,public relations,0.020820370624638384,0.10003468609087757,world wide web,0.018203630946843456,0.08997317027516068
4,sony,0.0251123294929264,0.18984470841686366,dvd,0.02352639057371089,0.1842211164412875,high efficiency video coding,0.022151293944346836,0.1821742151474954,moving picture experts group,0.01993593887412725,0.1660321960837933,optical disc,0.01969003906164163,0.16193263568666258,blu-ray disc,0.017671410356180077,0.14905163057522353,video,0.01761268418957471,0.12734508243320067,international telecommunication union,0.01722878417893643,0.14169105622582978,ntsc,0.015353715505190834,0.1311654349061967,pal,0.015353715505190834,0.1311654349061967
5,united states,0.04019399784323229,0.152177536168934,new york city,0.030593623993676988,0.12291828790915016,canada,0.02364879172533228,0.10745167018165168,nbc,0.022976622642420175,0.1095701826430443,cable television,0.019061376302614827,0.08776387743488462,television,0.018989145927109857,0.0762941097367139,comcast,0.01820251421116767,0.08827265353595642,pay television,0.018050037899616116,0.08384600129374031,television station,0.017299820432933256,0.08488938110078038,ontario,0.016961730854586746,0.08258729618957276
6,the new york times,0.03183029411791708,0.11113680154142581,pulitzer prize,0.015388590270942292,0.058101008848734675,abc news,0.014809411416099993,0.05571125013002065,propaganda,0.014204852557792885,0.053631700475755086,msnbc,0.014063273386046337,0.05306266386593275,cnn,0.013971010789774927,0.051970446763976094,journalism,0.013317222358473114,0.04988684358467992,the wall street journal,0.009778644809529414,0.0369429811218036,the new yorker,0.008868179745561013,0.03343657352965533,nightline,0.008655022632958474,0.03268729457100759
