article_id,popularity_score
0,13756
1,19933
2,2173669
3,28937
4,48785
5,43447
6,28237
7,453767
8,15562
9,53997
10,32937
11,42454
12,62338
13,317057
14,4702
15,62059
16,217594
17,39559
18,95201
19,5550
20,556322
21,23099
22,284299
23,12901
24,50403
25,1272964
26,322257
27,26681
28,319928
29,25230
30,703462
31,199946
32,1668277
33,10322
34,947002
35,17983
36,124196
37,45224
38,830634
39,32505
40,44787
41,13900
42,4620
43,34117
44,65190
45,16571
46,843184
47,29675
48,500244
49,36234
50,3082
51,224803
52,256045
53,3530852
54,1411
55,29685
56,3855
57,682534
58,333354
59,754388
60,605714
61,310792
62,605361
63,59816
64,145947
65,160921
66,133025
67,192858
68,571115
69,191862
70,3472
71,208146
72,159563
73,1110875
74,686170
75,249407
76,283976
77,500525
78,12870
79,78428
80,10660
81,397906
82,772165
83,713672
84,65585
85,893535
86,11539
87,351333
88,62944
89,646620
90,1646
91,170300
92,668215
93,120434
94,1138487
95,434486
96,374072
97,405012
98,17165
99,41836
100,220990
101,12737
102,280937
103,112294
104,1576742
105,627004
106,283838
107,182341
108,676914
109,653859
110,2032712
111,153659
112,477992
113,580118
114,441912
115,210332
116,28441
117,1128667
118,114281
119,4700
120,2519891
121,1767546
122,616463
123,688136
124,547681
125,125454
126,221321
127,331012
128,3288
129,43308
130,289869
131,133652
132,30476
133,255050
134,378180
135,36606
136,550994
137,342368
138,4011
139,25602
140,186250
141,1134110
142,157300
143,734794
144,567042
145,687967
146,267247
147,269590
148,800548
149,185853
150,252479
151,484516
152,62939
153,1006927
154,153986
155,1378
156,230749
157,224198
158,81484
159,671397
160,206590
161,54223
162,121560
163,1221227
164,342047
165,4681
166,388952
167,231248
168,71910
169,428106
170,85220
171,384153
172,671555
173,1379063
174,160694
175,412376
176,87119
177,504553
178,2538840
179,109789
180,51187
181,423692
182,734675
183,381385
184,75116
185,737236
186,207331
187,1261520
188,400009
189,261485
190,22882
191,47802
192,67818
193,95515
194,11515
195,51387
196,42040
197,545537
198,105280
199,21592
200,174623
201,129822
202,271374
203,8182
204,285527
205,43359
206,28631
207,745984
208,8657
209,29781
210,38236
211,350343
212,115663
213,228920
214,26781
215,185186
216,7750
217,63272
218,117965
219,173738
220,451730
221,37030
222,48910
223,136542
224,97073
225,34716
226,6551
227,73625
228,76762
229,259365
230,2657
231,103176
232,234427
233,56991
234,311145
235,7325
236,175326
237,131993
238,26786
239,4626
240,76088
241,91698
242,159036
243,154425
244,58007
245,4039
246,28804
247,884328
248,124961
249,159856
250,253689
251,106050
252,24484
253,67622
254,110247
255,55686
256,22570
257,73681
258,135084
259,268942
260,432106
261,1425
262,39051
263,9401
264,262787
265,251785
266,553055
267,743048
268,1430430
269,263097
270,36215
271,92530
272,6775
273,90783
274,3868
275,132931
276,182312
277,43106
278,4047
279,32186
280,1680
281,260219
282,29838
283,60695
284,163615
285,253069
286,33830
287,77464
288,403627
289,40377
290,28734
291,161962
292,797
293,146227
294,47757
295,2323
296,39465
297,26979
298,642687
299,632173
300,120214
301,186531
302,290463
303,6323
304,136276
305,141231
306,34107
307,55927
308,435409
309,70662
310,25880
311,30821
312,82844
313,109590
314,156009
315,37961
316,31273
317,174096
318,4068
319,73286
320,5931
321,122544
322,40597
323,265664
324,145607
325,3668
326,149891
327,48094
328,335563
329,180707
330,2931383
331,103217
332,527263
333,284546
334,18633
335,43599
336,42230
337,193567
338,429066
339,139633
340,42803
341,80216
342,152548
343,424820
344,10756
345,311767
346,254429
347,160165
348,149725
349,5908
350,224431
351,157190
352,153738
353,136643
354,3026508
355,110983
356,1647
357,129987
358,47443
359,132649
360,72566
361,12593
362,2317
363,51747
364,14145
365,15542
366,121610
367,184114
368,9828
369,210573
370,4806
371,19005
372,42589
373,894583
374,107786
375,107247
376,3989
377,173967
378,9891
379,220060
380,181743
381,110859
382,26385
383,53039
384,217652
385,253608
386,194140
387,25050
388,344935
389,247108
390,195134
391,218284
392,230183
393,172769
394,190536
395,45419
396,373600
397,20044
398,93284
399,1556
400,166996
401,46642
402,66564
403,100323
404,35047
405,228230
406,1420
407,330740
408,435146
409,21644
410,11873
411,45264
412,2591
413,116408
414,120063
415,247047
416,9031
417,1287
418,15602
419,332637
420,12030
421,2354
422,30813
423,33867
424,1167
425,17441
426,211994
427,16989
428,6152
429,304706
430,383438
431,790495
432,81464
433,131795
434,281810
435,8965
436,85285
437,292573
438,20910
439,11024
440,165514
441,108170
442,106588
443,96617
444,228805
445,117042
446,1481570
447,7961
448,10104
449,211241
450,10874
451,168886
452,35011
453,24165
454,2549
455,408482
456,31903
457,69882
458,161620
459,2703519
460,390198
461,391043
462,1093405
463,614342
464,139333
465,369892
466,279911
467,227816
468,40581
469,151669
470,134844
471,66507
472,491421
473,34150
474,84313
475,27047
476,115808
477,68055
478,151504
479,101586
480,137865
481,51596
482,129410
483,45735
484,24428
485,3163
486,4853
487,68219
488,136792
489,15669
490,321591
491,249541
492,39730
493,199351
494,104159
495,56497
496,68042
497,35640
498,335635
499,21226
500,90334
501,131592
502,33346
503,167848
504,1381
505,117048
506,147198
507,113793
508,2862
509,1444
510,163165
511,71374
512,179285
513,327069
514,77907
515,19888
516,113672
517,19994
518,231421
519,173415
520,208944
521,44728
522,56395
523,138956
524,363921
525,30938
526,9542
527,22269
528,20973
529,407569
530,14065
531,11492
532,14923
533,21978
534,14537
535,61245
536,8406
537,55921
538,37109
539,79712
540,11329
541,383967
542,63521
543,5010
544,150906
545,864586
546,316258
547,92341
548,57232
549,34246
550,50926
551,196930
552,199734
553,5301
554,673
555,363067
556,1098
557,233719
558,16742
559,21678
560,74464
561,95552
562,350341
563,59652
564,63979
565,138650
566,275415
567,6195
568,212390
569,79771
570,11926
571,24953
572,72138
573,259846
574,443560
575,2434
576,146850
577,150718
578,44499
579,67596
580,470985
581,132846
582,77211
583,273935
584,216424
585,5117
586,51458
587,176443
588,46092
589,92367
590,104713
591,16957
592,33652
593,43518
594,122794
595,48210
596,23184
597,930888
598,189576
599,223308
600,272378
601,64247
602,29223
603,121424
604,154697
605,553253
606,12853
607,138923
608,367573
609,12638240
610,186516
611,31715
612,1871
613,9333
614,77588
615,221286
616,538513
617,8623
618,7928
619,39012
620,217171
621,255735
622,215446
623,11892
624,21267
625,217776
626,303484
627,17820
628,92525
629,187260
630,653114
631,83361
632,15609
633,410
634,13375
635,13098
636,37127
637,66652
638,241377
639,122128
640,33680
641,35224
642,3612
643,88888
644,205461
645,52594
646,342275
647,28762
648,251498
649,129326
650,107417
651,465094
652,294919
653,307420
654,367004
655,199156
656,121490
657,11956
658,154099
659,84309
660,19811
661,44979
662,38754
663,13055
664,89108
665,392335
666,271219
667,270942
668,689374
669,176627
670,13590
671,124101
672,69070
673,39123
674,91736
675,42947
676,341661
677,162986
678,71741
679,28811
680,58425
681,490
682,100340
683,160699
684,143367
685,32127
686,21216
687,51667
688,162437
689,304795
690,4669
691,40495
692,751984
693,42015
694,495873
695,199646
696,431006
697,1226
698,66953
699,285520
700,98471
701,36464
702,439171
703,98043
704,105387
705,2721
706,122398
707,56525
708,51274
709,106245
710,249948
711,15247
712,205289
713,5187
714,19643
715,94117
716,111434
717,5751
718,15739
719,55004
720,27408
721,15429
722,42804
723,19454
724,151670
725,118303
726,591239
727,45968
728,223368
729,304800
730,521935
731,83430
732,11403
733,128922
734,123848
735,185197
736,101898
737,362699
738,251365
739,34582
740,391076
741,1185032
742,8981
743,79705
744,210925
745,67217
746,173145
747,90153
748,236674
749,23302
750,55253
751,116911
752,63501
753,4638
754,137189
756,71614
757,8664395
758,28704
759,244899
760,230035
761,127227
762,58561
763,565376
764,124000
765,40537
766,3347
767,1254
768,81219
769,75697
770,96241
771,80202
772,172762
773,49361
774,234704
775,39550
776,16691
777,12620
778,5829
779,1041392
780,67294
781,85055
782,9134
783,262567
784,75025
785,98349
786,233615
787,1018305
788,329851
789,2640
790,1088027
791,13435
792,205892
793,29233
794,224938
795,133777
796,823995
797,43764
798,978302
799,106962
800,22106
801,6007
802,15972
803,36461
804,35224
805,115439
806,440909
807,48755
808,153784
809,87611
810,46735
811,203693
812,62360
813,67520
814,32118
815,16056
816,218430
817,190453
818,99159
819,124392
820,72996
821,21401
822,385916
823,429291
824,208511
825,66767
826,127244
827,28713
828,96703
829,123139
830,346829
831,39139
832,176619
833,14868
834,115474
835,107304
836,281981
837,21081
838,88280
839,166015
840,77863
841,122178
842,91809
843,34522
844,39939
845,37674
846,212995
847,73715
848,788844
849,44718
850,154711
851,605456
852,143862
853,107017
854,547128
855,2531
856,331603
857,6523
858,1238074
859,55978
860,3116402
861,893864
862,242689
863,842926
864,21825
865,136160
866,117823
867,3298
868,85842
869,97947
870,192613
871,230784
872,39526
873,86180
874,98060
875,433149
876,154074
877,254434
878,453124
879,14316
880,17315
881,13231
882,6173
883,96385
884,219896
885,45504
886,76983
887,219059
888,125539
889,729179
890,356217
891,428115
892,838444
893,139699
894,591148
895,1097128
896,97019
897,82144
898,60083
899,297090
900,10622
901,3173
902,33634
903,242840
904,17160
905,266748
906,97763
907,54604
908,134695
909,668784
910,43583
911,884413
912,92605
913,92440
914,649871
915,15116
916,440718
917,9302
918,350691
919,216883
920,46194
921,110659
922,66727
923,92536
924,724719
925,93362
926,4135
927,101269
928,98604
929,7356
930,1584
931,22843
932,20625
933,357389
934,26011
935,999948
936,30921
937,1772
938,204819
939,18052
940,5704
941,274437
942,29703
943,744048
944,31074
945,18113
946,125314
947,41463
948,12900
949,9293
950,94380
951,2271564
952,11490
953,61180
954,237078
955,56082
956,122748
957,81124
958,165225
959,73250
960,37602
961,610364
962,35570
963,187545
964,125509
965,210273
966,41634
967,29626
968,209919
969,357274
970,9464
971,248853
972,58093
973,44484
974,27531
975,21707
976,364644
977,677197
978,60828
979,62214
980,194419
981,33482
982,40601
983,70724
984,87271
985,88359
986,2769613
987,884027
988,26369
989,80343
990,176173
991,108906
992,113548
993,18909
994,495233
995,104322
996,76170
997,182439
998,27765
999,126603
1000,15801
1001,1238
1002,283728
1003,365649
1004,8433
1005,13605
1006,208793
1007,56629
1008,9862
1009,1499311
1010,364982
1011,146601
1012,187967
1013,103836
1014,153890
1015,1508
1016,103998
1017,102242
