article_id,x,y
0.0,-10.980594,-52.701344
3.0,-5.0394936,-42.23646
5.0,-14.471364,23.492687
7.0,2.1942966,-54.38959
12.0,2.306751,-51.71526
16.0,-16.843525,-61.51681
19.0,-10.927418,-44.183502
21.0,-29.704407,-46.402477
24.0,2.0783904,-54.547707
31.0,-5.069529,-42.324837
35.0,2.1242661,-54.57441
40.0,2.6986287,-54.10528
49.0,2.2615364,-54.922474
56.0,22.791245,4.6007357
70.0,-17.588675,-56.249935
71.0,-17.59307,-56.25492
85.0,-27.658913,-46.837463
102.0,-8.122516,-64.83396
105.0,-5.8345747,-48.833088
110.0,4.6144457,-55.48005
134.0,-10.154258,-51.620537
135.0,1.8444518,-54.827435
149.0,-22.867325,-53.952644
153.0,-5.005289,-56.431747
166.0,22.525953,5.388792
175.0,-10.3789835,-51.758415
180.0,-8.46233,-48.2497
193.0,-16.252293,-63.857815
200.0,-14.507362,-65.057236
227.0,-13.933832,-60.99915
233.0,-17.340591,-66.40693
236.0,-18.323309,-51.750774
240.0,-12.937223,-57.83236
243.0,-15.7537,-56.8731
245.0,-16.38855,-65.24975
246.0,-24.04319,-62.688454
247.0,-11.087776,-69.0043
254.0,-12.836346,-67.7563
261.0,-7.625903,-46.130848
262.0,-1.7649652,-66.08218
277.0,-11.682764,-51.03629
294.0,-12.504534,-44.02197
295.0,-15.741232,-57.137585
299.0,-28.559687,-48.352787
306.0,-11.647641,-48.939957
318.0,-12.795526,-65.66315
336.0,-9.960436,-46.13595
371.0,-14.466648,-63.014507
372.0,-13.28442,-62.061672
374.0,-41.90333,-37.483803
375.0,7.0158863,-53.11412
378.0,-20.503056,-62.662334
382.0,-22.81214,-44.587593
384.0,-17.5329,-49.927444
392.0,-20.075747,-62.80569
421.0,-6.1078186,-40.760857
424.0,-19.830645,-52.49107
432.0,-11.75802,-53.19008
449.0,-14.222157,-54.423756
451.0,-24.036968,-52.53387
456.0,-4.9209766,-56.53826
459.0,-11.853135,-43.51135
485.0,-10.86633,-43.022694
492.0,-14.147062,-43.844795
493.0,-14.061859,-62.102585
514.0,-6.582099,-41.29111
524.0,-7.8517184,-58.958855
539.0,-15.929526,-50.466167
557.0,-4.282306,-56.19874
563.0,-28.64133,-48.485893
564.0,-27.801043,-48.506348
565.0,-29.259703,-47.936687
566.0,-30.07143,-47.27244
584.0,-26.470041,-35.11543
586.0,-23.145334,-61.86548
593.0,-25.214386,-33.985
605.0,-4.1858635,-56.123592
607.0,-15.915222,-56.864914
609.0,-4.383979,-57.57116
621.0,-10.743379,-56.399406
628.0,-11.491765,14.17399
636.0,-23.65289,-53.183083
651.0,-20.577753,-51.434113
