country,label0,prob0,label1,prob1,label2,prob2,label3,prob3,label4,prob4,label5,prob5,label6,prob6,label7,prob7,label8,prob8,label9,prob9,label10,prob10,label11,prob11,label12,prob12,label13,prob13,label14,prob14,label15,prob15,label16,prob16,label17,prob17,label18,prob18,label19,prob19,label20,prob20,label21,prob21,label22,prob22,label23,prob23,label24,prob24,label25,prob25,label26,prob26,label27,prob27,label28,prob28,label29,prob29,label30,prob30,label31,prob31,label32,prob32,label33,prob33,label34,prob34,label35,prob35,label36,prob36,label37,prob37,label38,prob38,label39,prob39,label40,prob40,label41,prob41,label42,prob42,label43,prob43,label44,prob44,label45,prob45,label46,prob46,label47,prob47,label48,prob48,label49,prob49
0,engine,0.01,design,0.007,system,0.006,water,0.006,type,0.005,machine,0.005,pressure,0.004,air,0.004,power,0.004,allow,0.004,require,0.004,large,0.004,cylinder,0.004,small,0.003,valve,0.003,usually,0.003,control,0.003,work,0.003,pump,0.003,gas,0.003,high,0.003,flow,0.003,provide,0.003,call,0.002,increase,0.002,typically,0.002,application,0.002,load,0.002,force,0.002,common,0.002,low,0.002,tool,0.002,end,0.002,produce,0.002,heat,0.002,cause,0.002,time,0.002,drive,0.002,need,0.002,speed,0.002,operate,0.002,reduce,0.002,cut,0.002,device,0.002,motor,0.002,temperature,0.002,unit,0.002,building,0.002,standard,0.002,steam,0.002
1,light,0.006,produce,0.006,power,0.006,energy,0.005,system,0.005,design,0.004,large,0.004,type,0.003,device,0.003,technology,0.003,current,0.003,time,0.003,lamp,0.003,high,0.003,small,0.003,require,0.003,water,0.002,voltage,0.002,gas,0.002,heat,0.002,plant,0.002,develop,0.002,low,0.002,cause,0.002,lead,0.002,production,0.002,increase,0.002,call,0.002,provide,0.002,result,0.002,color,0.002,weapon,0.002,fuel,0.002,create,0.002,battery,0.002,source,0.002,image,0.002,reduce,0.002,area,0.002,fire,0.002,form,0.002,allow,0.002,operate,0.002,output,0.002,base,0.002,tube,0.002,early,0.002,electricity,0.002,include,0.002,usually,0.002
2,vehicle,0.011,system,0.008,aircraft,0.007,car,0.006,design,0.005,build,0.005,power,0.004,ship,0.004,control,0.004,model,0.004,engine,0.003,new,0.003,develop,0.003,company,0.003,wheel,0.003,flight,0.003,launch,0.003,speed,0.003,operate,0.003,early,0.003,time,0.003,large,0.002,drive,0.002,road,0.002,driver,0.002,operation,0.002,base,0.002,transmission,0.002,bridge,0.002,air,0.002,production,0.002,provide,0.002,allow,0.002,mill,0.002,later,0.002,military,0.002,small,0.002,produce,0.002,development,0.002,fly,0.002,space,0.002,boat,0.002,transport,0.002,work,0.002,british,0.002,carry,0.002,include,0.002,year,0.002,range,0.002,force,0.002
3,device,0.008,system,0.008,user,0.007,software,0.006,computer,0.005,service,0.005,support,0.005,feature,0.004,application,0.004,company,0.004,datum,0.004,base,0.004,release,0.004,network,0.004,include,0.004,allow,0.004,new,0.004,design,0.003,product,0.003,provide,0.003,available,0.003,time,0.003,game,0.003,standard,0.003,display,0.003,video,0.003,version,0.003,phone,0.003,call,0.003,model,0.003,technology,0.003,google,0.002,develop,0.002,market,0.002,run,0.002,digital,0.002,ibm,0.002,hardware,0.002,access,0.002,apple,0.002,format,0.002,platform,0.002,number,0.002,require,0.002,app,0.002,like,0.002,program,0.002,sell,0.002,launch,0.002,introduce,0.002
4,system,0.012,design,0.006,process,0.006,example,0.005,method,0.005,test,0.004,image,0.004,application,0.004,measure,0.004,time,0.004,object,0.003,result,0.003,device,0.003,control,0.003,model,0.003,change,0.003,datum,0.003,different,0.003,sensor,0.003,information,0.003,base,0.003,require,0.003,\displaystyle,0.003,technique,0.003,analysis,0.003,component,0.003,signal,0.003,type,0.003,structure,0.003,material,0.003,include,0.002,need,0.002,allow,0.002,measurement,0.002,level,0.002,field,0.002,determine,0.002,testing,0.002,technology,0.002,provide,0.002,effect,0.002,function,0.002,apply,0.002,case,0.002,form,0.002,value,0.002,study,0.002,element,0.002,approach,0.002,usually,0.002
5,material,0.016,process,0.008,form,0.006,product,0.006,paper,0.005,metal,0.005,surface,0.005,produce,0.005,water,0.004,method,0.004,application,0.003,chemical,0.003,plastic,0.003,glass,0.003,manufacture,0.003,production,0.003,high,0.003,steel,0.003,base,0.003,type,0.002,iron,0.002,include,0.002,know,0.002,layer,0.002,contain,0.002,food,0.002,print,0.002,polymer,0.002,usually,0.002,wire,0.002,create,0.002,apply,0.002,property,0.002,heat,0.002,structure,0.002,require,0.002,cell,0.002,temperature,0.002,coating,0.002,liquid,0.002,large,0.002,remove,0.002,fiber,0.002,particle,0.002,dry,0.002,increase,0.002,example,0.002,develop,0.002,technique,0.002,part,0.002
6,technology,0.011,company,0.006,work,0.005,new,0.004,research,0.004,development,0.003,year,0.003,develop,0.003,business,0.003,include,0.003,project,0.003,product,0.003,world,0.003,time,0.003,people,0.003,create,0.003,system,0.002,industry,0.002,university,0.002,state,0.002,country,0.002,service,0.002,base,0.002,program,0.002,group,0.002,history,0.002,study,0.002,design,0.002,science,0.002,provide,0.002,information,0.002,government,0.002,lead,0.002,book,0.002,engineering,0.002,society,0.002,human,0.002,organization,0.002,innovation,0.002,management,0.002,establish,0.002,form,0.002,focus,0.002,support,0.002,term,0.002,process,0.001,communication,0.001,area,0.001,idea,0.001,change,0.001
