,label,tfidf,pmi,country,key_phrases,alg,kmeans_plain
0,food,0.004216812975480088,0.017168259808759363,0,1,kmeans_plain,1
1,protein,0.003805326217514169,0.019792337537896047,0,1,kmeans_plain,1
2,acid,0.0037276664987893897,0.019388412282020616,0,1,kmeans_plain,1
3,diet,0.0037034460600859297,0.018584144255909447,0,1,kmeans_plain,1
4,intake,0.0035148520515338386,0.019663223599800963,0,1,kmeans_plain,1
5,process,0.003217034911290577,0.01627098463001589,0,1,kmeans_plain,1
6,glucose,0.003154591077443979,0.017832870339181194,0,1,kmeans_plain,1
7,reaction,0.0031062718757405385,0.017645155914558234,0,1,kmeans_plain,1
8,fda,0.003088092780143441,0.017306826966343992,0,1,kmeans_plain,1
9,health,0.0030751116616218863,0.016717715105032935,0,1,kmeans_plain,1
10,company,0.009737606668058807,0.02738426830703173,1,1,kmeans_plain,1
11,chain,0.006015120991757682,0.020645830894341837,1,1,kmeans_plain,1
12,locations,0.005765926783587397,0.020317756565390248,1,1,kmeans_plain,1
13,brand,0.005601261150685704,0.01826452417664431,1,1,kmeans_plain,1
14,stores,0.005346891914715563,0.019014991093881113,1,1,kmeans_plain,1
15,products,0.00456416302672352,0.015220699927000711,1,1,kmeans_plain,1
16,business,0.004220670978339658,0.015023650210900909,1,1,kmeans_plain,1
17,franchise,0.004059290596758357,0.015159484017342755,1,1,kmeans_plain,1
18,announced,0.004022714632959625,0.014859440997546469,1,1,kmeans_plain,1
19,advertising,0.003831240563232607,0.014307827611874059,1,1,kmeans_plain,1
20,restaurant,0.010430936192389807,0.03797963363604773,2,1,kmeans_plain,1
21,chef,0.006630913123208514,0.03545041878888816,2,1,kmeans_plain,1
22,kitchen,0.004433617669054476,0.02448571333311106,2,1,kmeans_plain,1
23,london,0.004356109410160847,0.022824407441990293,2,1,kmeans_plain,1
24,street,0.004220669918558408,0.02226226603839042,2,1,kmeans_plain,1
25,hotel,0.0041868718722730455,0.023627160062838187,2,1,kmeans_plain,1
26,new york city,0.004181370347741944,0.024002995542922023,2,1,kmeans_plain,1
27,television,0.004112262778299746,0.02413847111163789,2,1,kmeans_plain,1
28,building,0.004109345029797192,0.023246002253789134,2,1,kmeans_plain,1
29,series,0.0040861486584887466,0.02386610472391842,2,1,kmeans_plain,1
30,wine,0.009706710180928313,0.03659026485995512,3,1,kmeans_plain,1
31,beer,0.009137705038899843,0.03584132413312311,3,1,kmeans_plain,1
32,brewery,0.007070285747090902,0.033090924272811476,3,1,kmeans_plain,1
33,alcohol,0.006610650310846243,0.029512254313963055,3,1,kmeans_plain,1
34,grapes,0.006301614831824051,0.03056102998507211,3,1,kmeans_plain,1
35,drink,0.0051959706650229805,0.021086036698017348,3,1,kmeans_plain,1
36,brewing,0.00511948666882102,0.02505421262560712,3,1,kmeans_plain,1
37,vineyards,0.00509101246041435,0.026218286145853236,3,1,kmeans_plain,1
38,abv,0.0043700414566629755,0.023020691416002728,3,1,kmeans_plain,1
39,liquor,0.004064359471429214,0.02081848784528008,3,1,kmeans_plain,1
40,species,0.015885895343903958,0.0690195138269201,4,1,kmeans_plain,1
41,fish,0.01347296800451356,0.06960074627466839,4,1,kmeans_plain,1
42,fisheries,0.01004526305055311,0.10370554532874703,4,1,kmeans_plain,1
43,females,0.00988122549564632,0.09935045681100436,4,1,kmeans_plain,1
44,sea,0.009294994745496681,0.08120087065377979,4,1,kmeans_plain,1
45,spawning,0.008109293232843378,0.09049723201367514,4,1,kmeans_plain,1
46,males,0.007676403824576354,0.08260797718337075,4,1,kmeans_plain,1
47,caught,0.007372084757130345,0.08227021092152285,4,1,kmeans_plain,1
48,freshwater,0.006774710811369859,0.0779274227384523,4,1,kmeans_plain,1
49,waters,0.006655985587487652,0.07062508651028152,4,1,kmeans_plain,1
50,dish,0.006512067310972884,0.01840596337173189,5,1,kmeans_plain,1
51,meat,0.005409879639689226,0.015225611921111304,5,1,kmeans_plain,1
52,bread,0.004521311708913611,0.01348940395640087,5,1,kmeans_plain,1
53,cooked,0.00439584962338404,0.013195795179315696,5,1,kmeans_plain,1
54,cuisine,0.004366030222655428,0.01316408530097039,5,1,kmeans_plain,1
55,served,0.004337193583106732,0.012961853104114532,5,1,kmeans_plain,1
56,cheese,0.004064781940350611,0.012228944494694142,5,1,kmeans_plain,1
57,sauce,0.004010967224020321,0.012184754177627924,5,1,kmeans_plain,1
58,recipe,0.0038774370084714276,0.011658893122829668,5,1,kmeans_plain,1
59,ingredients,0.0037038722647638033,0.0112280386581371,5,1,kmeans_plain,1
60,plant,0.0085732883719416,0.03196898701287311,6,1,kmeans_plain,1
61,leaves,0.008285061704050843,0.03319795352750489,6,1,kmeans_plain,1
62,fruit,0.00822351503706746,0.0295300093861158,6,1,kmeans_plain,1
63,seeds,0.007441901349853629,0.0309771641834694,6,1,kmeans_plain,1
64,cultivars,0.007010955974671687,0.03080570386511071,6,1,kmeans_plain,1
65,tree,0.006660612609244378,0.028916591697725227,6,1,kmeans_plain,1
66,flowers,0.006127621040223456,0.02746345255983145,6,1,kmeans_plain,1
67,cultivated,0.005593583855750807,0.02545917312517113,6,1,kmeans_plain,1
68,crop,0.00452022427116401,0.02070122929522111,6,1,kmeans_plain,1
69,cm,0.004314491529854906,0.02021910459547797,6,1,kmeans_plain,1
70,proteins,0.0037479174303334762,0.020132984685801433,0,1,kmeans_plain,1
71,safety,0.0030509398796744057,0.01700583867127714,0,1,kmeans_plain,1
72,fishing,0.009049258129020382,0.08869433318491632,4,1,kmeans_plain,1
73,aquaculture,0.00645486421166373,0.07312323539414586,4,1,kmeans_plain,1
74,carapace,0.006011475616398653,0.07309277584038547,4,1,kmeans_plain,1
75,species,0.008282740736196828,0.02844486140203526,6,1,kmeans_plain,1
