,label,tfidf,pmi,country,lda,alg,kmeans_plain
0,bottle,0.01070409225827954,0.027028913463974156,0,1,kmeans_plain,1
1,create,0.010568432051022033,0.026660130314012,0,1,kmeans_plain,1
2,history,0.010488411976863678,0.026447018742910482,0,1,kmeans_plain,1
3,location,0.010408961094849853,0.02623917460508026,0,1,kmeans_plain,1
4,eat,0.01035547179012621,0.02610154581779266,0,1,kmeans_plain,1
5,bread,0.01033455519698761,0.026048295469303456,0,1,kmeans_plain,1
6,popular,0.009634839875380358,0.024379149656682537,0,1,kmeans_plain,1
7,ingredient,0.009596112110674657,0.02428943797441323,0,1,kmeans_plain,1
8,recipe,0.009563955725871492,0.024215181056117873,0,1,kmeans_plain,1
9,meat,0.00952550712663983,0.024126669885641657,0,1,kmeans_plain,1
10,home,0.012038647167603528,0.029505083742740884,1,1,kmeans_plain,1
11,form,0.011033664248370071,0.026386650045513008,1,1,kmeans_plain,1
12,bacon,0.010973494819509315,0.0262394874791499,1,1,kmeans_plain,1
13,canada,0.01090666815394447,0.026078673459870128,1,1,kmeans_plain,1
14,sweet,0.010869490291006315,0.025989589305700684,1,1,kmeans_plain,1
15,spice,0.010847267004969723,0.025936702401922095,1,1,kmeans_plain,1
16,chicken,0.010803278753752033,0.025832154054987913,1,1,kmeans_plain,1
17,meal,0.010737676170173295,0.025676902377862774,1,1,kmeans_plain,1
18,egg,0.010701289187513249,0.02559169453142323,1,1,kmeans_plain,1
19,salt,0.010679608811872809,0.025540765786087063,1,1,kmeans_plain,1
20,lead,0.014366247077176608,0.04577844050716679,2,1,kmeans_plain,1
21,health,0.014326257603602805,0.04555914258856959,2,1,kmeans_plain,1
22,acid,0.014310116997715618,0.04471955744421767,2,1,kmeans_plain,1
23,need,0.014296384728199496,0.044960622450728085,2,1,kmeans_plain,1
24,develop,0.014275524603431547,0.04608982241083693,2,1,kmeans_plain,1
25,consume,0.01426524528876384,0.04500770343715044,2,1,kmeans_plain,1
26,source,0.013621018566848862,0.038165303647259834,2,1,kmeans_plain,1
27,report,0.013567566034277723,0.03775008706563688,2,1,kmeans_plain,1
28,low,0.013523121275723533,0.03752479242188207,2,1,kmeans_plain,1
29,system,0.013481768454660077,0.03736025510241096,2,1,kmeans_plain,1
30,run,0.010976795951121608,0.02878835252336049,3,1,kmeans_plain,1
31,chemical,0.010946134031228892,0.028800038939000013,3,1,kmeans_plain,1
32,vitamin,0.010870719628599462,0.028840981641628616,3,1,kmeans_plain,1
33,vine,0.010756914931860014,0.03045140304452174,3,1,kmeans_plain,1
34,french,0.010755879955085937,0.030397413917960435,3,1,kmeans_plain,1
35,de,0.010676973045133046,0.030062456188836906,3,1,kmeans_plain,1
36,heat,0.010589195190324488,0.029601560805784882,3,1,kmeans_plain,1
37,award,0.01031600472617581,0.026378543604703455,3,1,kmeans_plain,1
38,style,0.010245855238672372,0.0308964913324713,3,1,kmeans_plain,1
39,season,0.010194615661216478,0.025984500822214103,3,1,kmeans_plain,1
40,banana,0.008072426086522802,0.021424578829783537,4,1,kmeans_plain,1
41,apple,0.00803998235389085,0.02134106577278909,4,1,kmeans_plain,1
42,cultivar,0.007980837149299733,0.021189637471869444,4,1,kmeans_plain,1
43,contain,0.007884974836981813,0.020946427859566782,4,1,kmeans_plain,1
44,crop,0.007790232291758606,0.020708737898039783,4,1,kmeans_plain,1
45,chinese,0.007727679881390975,0.020553252301433195,4,1,kmeans_plain,1
46,specie,0.0075175273255150285,0.020039185902556416,4,1,kmeans_plain,1
47,coffee,0.007379045039355935,0.019614076780756454,4,1,kmeans_plain,1
48,use,0.0073004461064136075,0.019709865634020426,4,1,kmeans_plain,1
49,country,0.00729524568409527,0.01940583990002399,4,1,kmeans_plain,1
50,juice,0.008780201950401807,0.020251619424670124,5,1,kmeans_plain,1
51,long,0.00872822379840787,0.020151065823456514,5,1,kmeans_plain,1
52,white,0.00867841402986986,0.020063980205457237,5,1,kmeans_plain,1
53,oil,0.008657409509376041,0.020038664650928958,5,1,kmeans_plain,1
54,green,0.008635816269421238,0.020002496179275266,5,1,kmeans_plain,1
55,cultivate,0.008592502005054367,0.01993130592463326,5,1,kmeans_plain,1
56,india,0.008570779762202147,0.019896272087099185,5,1,kmeans_plain,1
57,harvest,0.008563168098021169,0.01989628895697037,5,1,kmeans_plain,1
58,china,0.008538656726970326,0.019850242737534232,5,1,kmeans_plain,1
59,root,0.00850534565819933,0.01979334602624552,5,1,kmeans_plain,1
60,range,0.01174693820746834,0.029166369182348925,6,1,kmeans_plain,1
61,occur,0.01165180301387364,0.028921787470127972,6,1,kmeans_plain,1
62,shell,0.011604565495680688,0.028801028441025143,6,1,kmeans_plain,1
63,female,0.01150296052064435,0.028542812323967676,6,1,kmeans_plain,1
