country,0,1,2,3,4
0,news media of india,media in india,media companies of india,media in india by medium,media in india by city
1,news,media by country,media in europe by country,broadcast,bbc
2,entertainment,arts,filmmaking,broadcasting,film
3,mass media,communication,communication studies,social media,marketing
4,media technology,information and communications technology,electronics,digital media,formats
5,broadcasting,media companies of the united states,television broadcasting companies of the united states,television in the united states,programming
6,media in the united states,reporting,american journalists,propaganda,politics of the united states
