country,1,2,3,4,5,6,7,8,9,10
0,\displaystyle,sample,material,temperature,surface,particles,liquid,gas,number,water
1,technology,national,science_technology,space,government,country,museum,industry,innovation,companies
2,study,methods,information,data,knowledge,social,use,e.g.,example,analysis
3,february,january,march,b.,september,december,november,april,october,august
4,research,university,award,students,education,institute,engineering,academic,president,u.s
5,imdb,external_links,series,film,documentary,references,episodes,aired,produced,directed
6,scientific,book,science,evidence,god,evolution,scientists,theory,human,beliefs
