,country,label_id,label,tfidf,pmi
0,0,7270,par,0.008474079091968907,0.04283258154562401
1,0,7271,radiate,0.008141444841374353,0.040261198106531525
2,0,171,iii,0.0081064804012632,0.03363698318009077
3,0,1608,heavenly,0.007966475914157745,0.03640460393993152
4,4,4626,abacuses,0.006658823954132972,0.021664652875111035
5,0,8152,barrier,0.006575819020992398,0.034826743459374594
6,1,1675,bao,0.006456120155380362,0.018466709344045013
7,0,3378,competition,0.006419842099907507,0.030774669934040783
8,0,3369,aroused,0.006334215459851769,0.02510495782108554
9,0,448,people,0.006308326535398689,0.027376175972585383
10,2,327,include,0.006192876352623036,0.0290450797412729
11,4,4975,mccullouch,0.00613985337880678,0.02245184661260966
12,1,590,feinstein,0.006042206393722318,0.017886984617463197
13,0,3689,legale,0.005937602134924688,0.03106944646597604
14,4,2325,immigration,0.005780971224746353,0.019649777040028512
15,0,79,prove,0.005722844992590398,0.017506967853965372
16,4,2476,com,0.0056413449466142995,0.01735361766168181
17,1,630,crimes,0.005568907540706701,0.018610478630009447
18,4,3125,macos,0.00534415713471347,0.01784235561255831
19,5,1328,weather,0.005279057273797644,0.015370793154587914
20,2,3686,accredited,0.00527713547916104,0.032936637915347386
21,1,978,sources,0.005112594763138061,0.017851444587546075
22,4,1034,attempt,0.00497901022318065,0.016532181604396515
23,4,3202,messe convention,0.0049668539043806635,0.016644242094072944
24,4,392,largest,0.004935480259826384,0.017430923773611235
25,4,694,military,0.004910433853197284,0.012366684506880658
26,4,554,arrival,0.004904981314202314,0.013222805449638601
27,5,2568,nitroglycerine,0.004892878757060468,0.02132836510135512
28,1,711,private,0.004722261404931518,0.014425703210895414
29,5,2579,detonator,0.004679291793760625,0.01328737504373111
30,5,1899,universal,0.004660499490011658,0.014128328551767582
31,2,269,couple,0.004638094658574518,0.018281443325000632
32,1,2536,reporter,0.004634621377859049,0.015692694106859098
33,5,5,unit,0.004622767541647061,0.01854971159783994
34,5,2316,randomized,0.004592936947879118,0.0164971786127582
35,1,615,recreation,0.004587132650320909,0.012182716863753832
36,3,849,generate,0.004572032427745638,0.013629762438368446
37,5,625,peaking,0.0045702053310641534,0.012457931202016265
38,5,7612,called auditory,0.004568782623720412,0.020948695227589197
39,2,486,hosted,0.00451182526858397,0.02203102296673285
40,1,1036,instrument,0.00449627923767612,0.01395278050606944
41,2,1603,arm,0.004444829700861283,0.016793546082511053
42,2,826,neighbors,0.004406188645251114,0.012531510740280489
43,5,105,lining,0.004402883360110242,0.01094166738965557
44,3,881,army,0.004387948483389062,0.016102238770697993
45,5,772,jin,0.004387345605738144,0.016885338053605387
46,1,1468,communication,0.004373980778921083,0.012064584395185693
47,1,278,applications,0.004356820087605143,0.011914460524533564
48,6,1324,sand,0.004332976911387157,0.015308762134707863
49,2,1629,hollows,0.004289337176440487,0.013595937744125952
50,2,2378,future,0.004285952411141572,0.027708292619373333
51,2,5510,giresun,0.0042653450211627185,0.022761773873364057
52,2,2492,adult,0.004251792984957374,0.01786235304213507
53,3,1078,cai,0.004229467414595371,0.012478110063677016
54,3,936,chemical,0.004202518709633247,0.014504140678589761
55,3,3730,crewed,0.004115701931494183,0.011598217211653305
56,3,1072,commoner,0.004059169646035556,0.014329854582573872
57,3,1307,initiator,0.0040567271480700376,0.01341935113077962
58,3,1186,phase,0.00405500270273539,0.014485066205421601
59,3,28,useful,0.0040375994777411845,0.010223043693180596
60,3,798,rotated,0.004029927546219692,0.01090570876825807
61,6,733,devices,0.0035912604630635105,0.008858467174874093
62,6,1350,local,0.003581947972363706,0.012461039416014199
63,6,1142,wooden pagoda,0.0035748422727716715,0.011929239180366803
64,6,111,basing,0.0034308634323031123,0.009303304535872142
65,6,724,windmills,0.0033777117003153086,0.009155355536407915
66,6,1402,dollars,0.0033149034678504182,0.010531568813910671
67,6,1175,cover,0.0033065671626345767,0.011233245810403865
68,6,981,groundwater,0.003210255887893241,0.009532294377614029
69,6,349,october,0.0032064206609821637,0.010236553379498104
