,0,1,2,3,4
0,newspapers,weekly newspaper,publication,publisher,news
1,mass media by location,media by country,news agency,press,cultural media
2,mass media,communication,social media,marketing,communication studies
3,people,film,series,producer,award
4,filmmaking,film crew,film,television,lists of media by city in canada
5,media formats,media technology,digital media,music,electronics
6,news,broadcast,network,media companies by country,television networks by country
