country,label0,prob0,label1,prob1,label2,prob2,label3,prob3,label4,prob4,label5,prob5,label6,prob6,label7,prob7,label8,prob8,label9,prob9
0,system,0.008,design,0.007,water,0.006,air,0.006,aircraft,0.005,pressure,0.004,type,0.004,control,0.004,large,0.003,power,0.003
1,company,0.007,work,0.005,year,0.004,build,0.004,new,0.004,early,0.003,large,0.003,time,0.003,world,0.003,history,0.003
2,technology,0.012,system,0.008,research,0.005,design,0.004,process,0.004,work,0.004,information,0.004,development,0.004,new,0.003,product,0.003
3,material,0.01,process,0.007,produce,0.005,surface,0.004,form,0.004,application,0.004,method,0.004,product,0.003,light,0.003,heat,0.003
4,engine,0.035,vehicle,0.016,car,0.012,power,0.01,design,0.008,fuel,0.007,system,0.007,model,0.006,produce,0.005,cylinder,0.005
5,device,0.008,company,0.006,user,0.006,system,0.005,software,0.005,support,0.005,feature,0.005,service,0.005,application,0.004,new,0.004
6,system,0.011,machine,0.005,design,0.005,device,0.005,type,0.005,signal,0.005,control,0.004,standard,0.004,time,0.004,example,0.004
