,Unnamed: 0,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
54,54,weapons,0.012264683320788316,0.07413964609361454,5,1,0,0,0,0,LDA,0,1,0
55,55,scientific equipment,0.012221523339192531,0.05779492693717394,5,1,0,0,0,0,LDA,0,1,0
56,56,applied and interdisciplinary physics,0.012073657093277665,0.04631090232299948,5,1,0,0,0,0,LDA,0,1,0
57,57,electromagnetic radiation,0.011894866055602572,0.06734681577416393,5,1,0,0,0,0,LDA,0,1,0
58,58,engineering equipment,0.011854783045660032,0.06107883280879405,5,1,0,0,0,0,LDA,0,1,0
59,59,imaging,0.011213654452023656,0.06202285000068467,5,1,0,0,0,0,LDA,0,1,0
60,60,tools,0.010862144712395612,0.03341715296666789,6,1,0,0,0,0,LDA,0,1,0
61,61,hardlines (retail),0.010653134400312757,0.03469098886374604,6,1,0,0,0,0,LDA,0,1,0
62,62,equipment,0.010382776313294649,0.029795682790503163,6,1,0,0,0,0,LDA,0,1,0
63,63,history of technology,0.00932415592037843,0.037593066439220287,6,1,0,0,0,0,LDA,0,1,0
64,64,construction,0.00874717990886107,0.031044245300098142,6,1,0,0,0,0,LDA,0,1,0
65,65,inventions by country,0.007724275233028761,0.02638973328232032,6,1,0,0,0,0,LDA,0,1,0
66,66,history of industries,0.007696567096589028,0.03529732173390398,6,1,0,0,0,0,LDA,0,1,0
67,67,stub categories,0.007396094469691672,0.028759364741776462,6,1,0,0,0,0,LDA,0,1,0
68,68,wikiproject stub sorting,0.007386386910199876,0.028691295239429062,6,1,0,0,0,0,LDA,0,1,0
69,69,wikipedia maintenance,0.007386386910199876,0.028691295239429062,6,1,0,0,0,0,LDA,0,1,0
70,70,main topic classifications,0.006245487148189135,0.01487631196698568,0,1,0,0,0,0,LDA,0,1,0
71,71,matter,0.01439625834753701,0.05756441220295954,1,1,0,0,0,0,LDA,0,1,0
72,72,business process,0.014146635052487,0.05331119513807598,1,1,0,0,0,0,LDA,0,1,0
73,73,lighting,0.013177047883123915,0.08809598358238135,2,1,0,0,0,0,LDA,0,1,0
74,74,telecommunications engineering,0.01591295278333451,0.08502760595142217,2,1,0,0,0,0,LDA,0,1,0
