,0,1,2,3,4
0,technology by year,computer-related introductions by year,computers,business,services
1,materials,industrial processes,manufacturing,artificial materials,produce
2,electrical components,electronics,electrical engineering,devices,electricity
3,systems science,information technology,engineering,main topic classifications,system
4,vehicle technology,vehicle parts,engines,automobile,motors
5,military technology,measuring instruments,weapons,design,optics
6,machines,history of technology,industrial revolution,equipment,history
