article_id,country,prob
0,0,0.15306156873703003
0,1,0.056228235363960266
0,3,0.10550657659769058
0,4,0.5040169954299927
0,6,0.17440184950828552
1,0,0.8033791780471802
1,2,0.06600819528102875
1,4,0.1303691864013672
2,1,0.05260837450623512
2,2,0.019593438133597374
2,4,0.012380163185298443
2,5,0.13880017399787903
2,6,0.7765653729438782
3,1,0.01893632300198078
3,2,0.05009176954627037
3,3,0.0378836952149868
3,4,0.431756854057312
3,5,0.04422427713871002
3,6,0.41706234216690063
4,1,0.05706041306257248
4,2,0.8292127251625061
4,6,0.11343424022197723
5,1,0.16681048274040222
5,2,0.03350256010890007
5,4,0.3715994954109192
5,5,0.14304201304912567
5,6,0.2831646800041199
6,1,0.08363684266805649
6,3,0.034252047538757324
6,4,0.47632041573524475
6,5,0.25282901525497437
6,6,0.15274757146835327
7,1,0.039013490080833435
7,2,0.14648810029029846
7,4,0.4834701120853424
7,5,0.04376393184065819
7,6,0.27943137288093567
8,0,0.868256151676178
8,1,0.030748339369893074
8,2,0.02408941648900509
8,4,0.05596571043133736
8,6,0.015550795942544937
9,1,0.12535981833934784
9,2,0.01708291657269001
9,3,0.013180079869925976
9,4,0.48243778944015503
9,5,0.1087590903043747
9,6,0.2531347870826721
10,1,0.03547527268528938
10,2,0.6780966520309448
10,4,0.037913039326667786
10,6,0.2482602894306183
11,1,0.7114374041557312
11,4,0.016878632828593254
11,5,0.2714768052101135
12,1,0.09140042960643768
12,3,0.5450683832168579
12,4,0.159193754196167
12,5,0.012313398532569408
12,6,0.1918974220752716
13,1,0.21499766409397125
13,4,0.0204468984156847
13,5,0.7357783913612366
13,6,0.028442474082112312
14,1,0.013362559489905834
14,2,0.12134262174367905
14,3,0.10865753889083862
14,4,0.45385634899139404
14,6,0.2949051558971405
15,0,0.08968142420053482
15,1,0.08076786994934082
15,2,0.25237756967544556
15,4,0.548487663269043
15,6,0.028592661023139954
16,2,0.9094563722610474
16,3,0.09008628875017166
17,0,0.08218678086996078
17,1,0.02435135841369629
17,3,0.4608203172683716
17,4,0.3880400061607361
17,5,0.04448844864964485
18,2,0.18442708253860474
18,3,0.8017977476119995
19,2,0.1149681955575943
19,3,0.025255708023905754
19,4,0.18443025648593903
19,5,0.030031627044081688
19,6,0.6446375250816345
20,1,0.01068066619336605
20,2,0.15298424661159515
20,3,0.019373232498764992
20,4,0.5295109152793884
20,6,0.27949070930480957
21,0,0.24664832651615143
21,1,0.05566152185201645
21,3,0.02661212719976902
21,4,0.6294084787368774
21,6,0.041320957243442535
22,0,0.018398160114884377
22,1,0.06383293867111206
22,5,0.9071789383888245
23,2,0.4817925691604614
23,5,0.30969586968421936
23,6,0.20691002905368805
24,1,0.24996736645698547
24,4,0.11755859851837158
24,5,0.621466338634491
25,0,0.707005500793457
25,5,0.2928132712841034
26,0,0.12253254652023315
26,1,0.3372388482093811
26,2,0.01996958814561367
26,3,0.014047241769731045
26,4,0.1764463633298874
26,5,0.3012583553791046
26,6,0.028507038950920105
27,2,0.07835933566093445
27,4,0.6945973634719849
27,5,0.022208841517567635
27,6,0.19468562304973602
28,1,0.011670873500406742
28,2,0.8155567049980164
28,3,0.16176199913024902
28,4,0.01081878412514925
29,0,0.029956260696053505
29,1,0.03474968299269676
29,4,0.06755893677473068
29,5,0.7753354907035828
29,6,0.09227467328310013
30,2,0.2628275752067566
30,3,0.05197007581591606
30,4,0.5460264682769775
30,6,0.13895422220230103
31,0,0.25044000148773193
31,1,0.6225712299346924
31,3,0.053175803273916245
31,6,0.07356656342744827
32,1,0.3906933069229126
32,4,0.08080653846263885
32,6,0.5054342150688171
33,2,0.4546864926815033
33,3,0.09065363556146622
33,4,0.048747096210718155
33,5,0.21776442229747772
33,6,0.18738315999507904
34,0,0.20035208761692047
34,5,0.7994429469108582
35,1,0.03932802006602287
35,2,0.01660732738673687
35,4,0.47375109791755676
35,6,0.46196040511131287
36,2,0.01537513267248869
36,4,0.22663775086402893
36,5,0.6397099494934082
36,6,0.11157990247011185
37,1,0.032531119883060455
37,2,0.1869489848613739
37,3,0.03126415237784386
37,4,0.35458624362945557
37,6,0.3911663293838501
38,1,0.023292677477002144
38,3,0.1017320528626442
38,5,0.8719017505645752
39,1,0.039217110723257065
39,2,0.035535506904125214
39,3,0.10493394732475281
39,4,0.5220722556114197
39,5,0.03341638296842575
39,6,0.26474252343177795
40,1,0.033000484108924866
40,2,0.01736181229352951
40,4,0.26480332016944885
40,5,0.620129406452179
40,6,0.06456281989812851
41,0,0.40075764060020447
41,1,0.15024951100349426
41,2,0.44850510358810425
42,1,0.5374263525009155
42,2,0.10904230177402496
42,5,0.06633162498474121
42,6,0.286577433347702
43,0,0.03514888882637024
43,1,0.13968540728092194
43,2,0.15648292005062103
43,3,0.028324373066425323
43,4,0.5508391857147217
43,5,0.08924827724695206
44,1,0.04922699183225632
44,2,0.16633367538452148
44,3,0.02213621884584427
44,4,0.5478955507278442
44,6,0.21397842466831207
45,0,0.045084550976753235
45,5,0.951736330986023
46,0,0.023502156138420105
46,1,0.2722541093826294
46,2,0.48431551456451416
46,4,0.06265401840209961
46,5,0.11543408036231995
46,6,0.036289382725954056
47,0,0.03527292609214783
47,1,0.6061512231826782
47,4,0.16820871829986572
47,5,0.18952509760856628
48,0,0.3011918365955353
48,1,0.09111568331718445
48,2,0.05155063420534134
48,4,0.3281938433647156
48,5,0.02797778509557247
48,6,0.19217431545257568
49,2,0.7879925966262817
49,3,0.0519084706902504
49,5,0.01777140237390995
49,6,0.14218385517597198
50,2,0.03990267589688301
50,3,0.06572453677654266
50,4,0.0243524257093668
50,5,0.06408891826868057
50,6,0.8051039576530457
51,0,0.619475245475769
51,1,0.06638207286596298
51,3,0.1539326310157776
51,4,0.1017623320221901
51,6,0.05832855403423309
52,0,0.10379939526319504
52,2,0.8034997582435608
52,4,0.05751124024391174
52,6,0.03485618904232979
53,0,0.01300728227943182
53,1,0.8405515551567078
53,3,0.018219783902168274
53,4,0.04612648859620094
53,5,0.07606013119220734
54,0,0.17711494863033295
54,4,0.013125305995345116
54,5,0.7857341766357422
54,6,0.02210998721420765
55,0,0.015666965395212173
55,2,0.0202171690762043
55,3,0.28157755732536316
55,5,0.06296335905790329
55,6,0.6192018985748291
56,1,0.2119418829679489
56,3,0.24533215165138245
56,5,0.06089317053556442
56,6,0.4814770817756653
57,0,0.1734672337770462
57,1,0.059691693633794785
57,2,0.019886156544089317
57,3,0.05107703432440758
57,4,0.12123922258615494
57,5,0.5709425806999207
58,1,0.049038175493478775
58,2,0.5336456298828125
58,3,0.016674034297466278
58,6,0.40054255723953247
59,1,0.6291508078575134
59,2,0.22131645679473877
59,6,0.14919205009937286
60,0,0.09430398046970367
60,1,0.023137947544455528
60,4,0.03599642589688301
60,5,0.8119081258773804
60,6,0.03455094248056412
61,0,0.09720169007778168
61,1,0.0802733451128006
61,2,0.07151653617620468
61,3,0.2647387385368347
61,4,0.11514419317245483
61,6,0.37104108929634094
62,0,0.020313754677772522
62,2,0.08490543067455292
62,3,0.026092279702425003
62,4,0.28067970275878906
62,5,0.08997286111116409
62,6,0.4979611933231354
63,1,0.024787338450551033
63,2,0.7262272834777832
63,6,0.2485697865486145
64,1,0.21320490539073944
64,2,0.6962563395500183
64,6,0.09007803350687027
65,0,0.6514187455177307
65,2,0.05382635444402695
65,3,0.025579100474715233
65,4,0.1720850169658661
65,6,0.09694899618625641
66,0,0.1689629852771759
66,1,0.06734887510538101
66,2,0.18399016559123993
66,3,0.5456312298774719
66,6,0.03395978733897209
67,0,0.36437562108039856
67,3,0.11799716204404831
67,5,0.11664410680532455
67,6,0.39383646845817566
68,0,0.21515384316444397
68,2,0.7694535255432129
68,3,0.015104749239981174
69,0,0.08711311221122742
69,1,0.10111869871616364
69,2,0.7434207201004028
69,3,0.042412079870700836
69,5,0.016494600102305412
70,2,0.11511246860027313
70,4,0.11885222047567368
70,5,0.03116500750184059
70,6,0.7345817685127258
71,1,0.061069339513778687
71,2,0.8573948740959167
71,5,0.022724341601133347
71,6,0.058567874133586884
72,0,0.18068595230579376
72,1,0.04892823472619057
72,2,0.010240358300507069
72,4,0.04224183037877083
72,5,0.6178485751152039
72,6,0.09996560961008072
73,0,0.010768597945570946
73,1,0.06455127894878387
73,5,0.7736379504203796
73,6,0.15093792974948883
74,0,0.016042552888393402
74,2,0.12534883618354797
74,3,0.49373605847358704
74,6,0.3647773265838623
75,0,0.07784905284643173
75,3,0.7820011973381042
75,4,0.06499255448579788
75,6,0.07476106286048889
76,0,0.028815221041440964
76,3,0.7664429545402527
76,5,0.04787055030465126
76,6,0.15661877393722534
77,0,0.01929810829460621
77,1,0.014198709279298782
77,2,0.9324249029159546
77,6,0.0339186005294323
78,0,0.037657130509614944
78,2,0.39739853143692017
78,3,0.5639391541481018
79,0,0.06548170745372772
79,1,0.30300357937812805
79,2,0.4593910574913025
79,3,0.11002569645643234
79,6,0.06199749559164047
80,1,0.07556965947151184
80,5,0.9226266145706177
81,0,0.5552794933319092
81,2,0.3735746741294861
81,6,0.05712727829813957
82,0,0.550766110420227
82,2,0.03940342366695404
82,3,0.3537673056125641
82,6,0.055969253182411194
83,0,0.3867895007133484
83,1,0.44780105352401733
83,6,0.15584594011306763
84,0,0.2415999174118042
84,1,0.029263919219374657
84,2,0.08036631345748901
84,3,0.060283854603767395
84,6,0.588347315788269
85,0,0.024314211681485176
85,1,0.7045858502388
85,2,0.04140293225646019
85,3,0.041180264204740524
85,6,0.18838182091712952
86,0,0.879985511302948
86,1,0.10823290050029755
86,4,0.011256872676312923
87,1,0.02276727370917797
87,2,0.8968718647956848
87,3,0.0506223663687706
87,6,0.029559491202235222
88,2,0.34975066781044006
