,country,label_id,label,tfidf,pmi
0,6,1056,company,0.009274113221508807,0.02919374357213532
1,6,2068,search,0.009040387044556413,0.03968044146984143
2,5,535,internet,0.008844340447929634,0.024746145306264088
3,5,1215,network,0.0084806575466255,0.026781052157277756
4,6,2095,search engine,0.008266113940790075,0.03991278841352992
5,6,807,advertising,0.007708303959871477,0.034479957198695226
6,5,608,domain,0.007452057427911423,0.027113132383094995
7,6,428,google,0.007233890100825887,0.02781025026062889
8,6,4778,acquired,0.006988402646493698,0.03265768973015136
9,5,1079,iana,0.006854885926862232,0.03167578231115382
10,0,1456,browser,0.0067923658861973,0.021364681066300864
11,4,471,references,0.006725940507726507,0.01961494467068937
12,0,922,server,0.006694300407929711,0.02079286801491059
13,4,2117,wikimedia foundation,0.006691234291679217,0.09639734207507075
14,5,494,external links,0.006660366470664416,0.018741925377008608
15,6,749,yahoo,0.006602596872470496,0.03456363795233752
16,6,846,marketing,0.00655502525295177,0.03153272415470065
17,5,27775,internet exchange,0.006450001677263346,0.030832699167214327
18,4,2440,board,0.006393137232804167,0.07167718058275166
19,4,653,articles,0.0063875019527620275,0.04873160636523921
20,4,8684,wikimedia,0.0061768216860616865,0.10389642809222617
21,5,10899,icann,0.0061672354490240975,0.028060870276790544
22,5,7409,level domain,0.006102260977990857,0.02802378394096876
23,6,11401,ad,0.0061019999642394135,0.033496380841403245
24,0,1472,version,0.006096729840985456,0.019042232642474923
25,1,1074,research,0.006040161933845793,0.02647668067338874
26,6,9407,search results,0.00602866116050056,0.03565129790291342
27,2,638,music,0.006027345572725864,0.020284691754462725
28,5,314,services,0.005940952342296867,0.019762179713906196
29,4,2051,wikipedia,0.005813678077233229,0.05310495565442734
30,1,736,book,0.005810410817636068,0.02734492859199213
31,5,607,registration,0.005807368140169861,0.025554296769152024
32,4,5759,born,0.0054140078798534785,0.05770558802245895
33,0,538,web,0.005392401584687207,0.015084689762400447
34,0,1693,client,0.005367239761905239,0.017548046010643265
35,0,3350,protocol,0.00536088658368019,0.0174620743013953
36,4,885,founded,0.005310365082549882,0.029094840768895132
37,4,2177,foundation,0.005191193368988781,0.05052444817966406
38,0,104,support,0.005121887444647529,0.016319517640453404
39,0,1284,user,0.004919521464478462,0.014187663083160502
40,1,1915,social,0.004911780034116359,0.021530487580557877
41,4,589,uk,0.0047742583679059505,0.03372579185546552
42,0,1471,html,0.00476254192067398,0.01628843284494778
43,0,1507,web browser,0.004633162821536273,0.015789807349694273
44,3,1190,information,0.00444974181753401,0.013183202118977787
45,2,670,launched,0.004259236434998434,0.013712905305144211
46,1,594,people,0.0042178059134046,0.01689308022260492
47,3,1343,government,0.004165152990570949,0.014130302518937382
48,1,50,online,0.004115950873809624,0.013298606475019003
49,1,502,university,0.003962910680177344,0.01842435125459036
50,3,1778,law,0.003935885035338365,0.014769610852659152
51,1,346,digital,0.00393001136831176,0.016501562209258518
52,3,2883,privacy,0.0038958453535728335,0.014400838502363282
53,1,4697,science,0.003848544861989735,0.02049551251186047
54,2,21,video,0.0038478187023448813,0.012680719371093281
55,3,822,content,0.0037996542451594704,0.01103515881835203
56,2,124,announced,0.003790017818582632,0.012520099327257094
57,1,1167,work,0.0037577969747197913,0.017500914324116282
58,2,5492,app,0.0037149595348668035,0.012869504698002245
59,1,2006,isbn,0.003688049562595753,0.018729469282792854
60,2,806,platform,0.003665903377793285,0.01182962845509335
61,3,961,sites,0.0036268470215943946,0.011986576129136839
62,2,27,series,0.003612007732115302,0.012916043866282844
63,3,533,websites,0.003600841552315099,0.011776150716082841
64,3,559,security,0.003572273050491107,0.012301602389859282
65,2,2693,awards,0.0035145460711221515,0.012498318694420432
66,3,849,spam,0.003329390716886976,0.012688563214024298
67,3,552,attack,0.00331464692414396,0.01274175063872293
68,2,425,television,0.0032536329734866557,0.011841511696311147
69,2,40,youtube,0.0032509551157879906,0.011560944792338901
