article_id,x,y
0,-45.20353,16.651165
1,-16.367859,-46.450207
2,-28.383116,-6.789966
4,23.05979,-60.954
5,21.81775,-61.59438
6,23.533764,-61.0812
7,-36.586987,8.31062
9,-10.349286,18.74328
10,-27.665943,30.098614
11,-9.919382,-15.401005
12,5.3871036,-23.796877
13,-23.900534,56.76959
14,-10.10506,17.26006
15,-2.6583679,-2.434981
16,-5.5038204,24.122793
17,-30.905695,15.611307
18,-14.999032,41.600372
19,-26.588114,-19.5877
22,-26.527737,-19.679146
23,23.426949,-61.10679
24,-24.322067,-11.695256
25,10.6488495,1.8344052
26,-32.275894,-12.784222
29,-17.63866,38.489674
30,9.01222,-11.835661
32,19.787605,-50.930145
33,13.865401,-54.875416
34,11.533179,-48.02464
35,10.919749,-60.209568
36,-9.631507,-29.872124
37,23.311102,-30.338356
38,-27.041733,24.23169
39,-20.188156,-28.58691
40,11.650382,30.61035
41,4.40439,48.428112
43,27.167692,37.748466
44,1.2255182,28.032824
45,0.15335567,5.88195
46,-30.48122,-36.838554
48,-14.905983,-24.055168
49,20.457012,-10.717132
51,-11.87861,-9.947108
54,-40.593338,11.571026
55,-7.602268,-23.208723
56,-33.61317,33.965244
57,-14.104248,-31.246975
58,-29.151522,41.809162
59,-16.881077,21.66165
61,6.408602,-18.986225
63,-27.977013,-32.747852
64,-2.626537,-21.558361
65,-23.904602,43.935997
66,-21.702574,50.82362
69,-8.042213,-8.998712
70,-33.57847,-16.91388
71,-39.133156,9.471603
72,-33.181847,-25.00407
73,15.373874,-27.674206
74,-31.933945,26.118795
75,-7.256443,35.072205
76,12.265582,5.7398477
77,12.310216,-10.875349
78,-8.144892,42.142616
79,-30.820568,43.670876
81,-14.494968,-10.057323
82,-10.915033,-20.485731
85,-37.68269,14.334507
86,-38.04006,13.196618
87,-36.288944,12.868243
88,-36.94023,12.933584
89,11.016859,8.5166
90,6.5685782,-9.24727
91,-21.28421,-10.580438
92,-26.804712,-6.2438216
93,5.7556458,5.9172025
94,-17.453627,10.8701315
95,12.184283,23.730797
96,-36.587906,15.811448
98,-20.695097,22.108707
99,-11.023357,-1.0841823
100,-3.3144517,-1.9685711
101,-11.769848,-13.06198
102,4.117811,41.904896
103,4.0833907,-6.943453
104,-23.193972,-8.22742
105,-14.549923,-43.082844
106,-7.6671777,26.242481
107,1.1903206,-0.5877898
108,2.019249,-3.598083
109,-36.5712,16.145782
110,-37.806698,17.91488
111,-21.03092,-34.212967
113,-8.481766,-10.499747
114,-22.52928,-5.9497323
115,42.66408,-30.148941
116,33.683178,-33.408695
117,40.074234,-32.162346
118,27.620396,24.419283
119,-5.790311,-20.128836
120,23.807358,-25.458418
121,33.019882,-23.397612
122,10.2726145,1.4359679
123,-18.252985,-11.976835
124,-15.583798,-13.40162
125,-31.53131,-24.193909
126,4.011664,-25.616404
128,13.305252,-27.741337
129,28.440403,-10.374043
132,-3.0967548,-3.0805373
133,-15.705623,41.97101
134,10.052408,15.628097
136,-37.461002,16.506872
137,-32.39024,16.004753
138,-32.65005,17.712921
140,-20.66385,22.250973
141,3.9419165,-20.042543
142,-40.45079,13.424273
143,2.8876743,43.632675
144,-9.191848,7.4243197
145,-7.4889603,41.3454
146,28.816505,-6.7822437
147,-3.6573894,-29.573067
148,-33.378468,38.30114
149,-0.72035944,47.69254
150,26.495079,-30.166971
151,-2.8061786,23.256357
152,-6.85504,-42.779686
153,14.390622,-1.2870008
155,5.403639,-2.068121
156,-37.96433,11.313319
157,-29.237417,41.796757
158,32.11704,-9.585388
159,-13.874873,35.067486
160,-4.0334797,26.94734
161,26.089668,11.065156
162,-23.181093,48.64658
163,-11.041459,4.070812
164,-22.483782,50.493256
166,-17.00932,41.63507
167,2.9045382,43.515476
168,24.281618,-61.389393
169,-12.099912,24.206491
170,34.25951,-25.919033
172,-34.973846,-21.34572
174,-15.999001,43.682087
