article_id,x,y
0.0,-25.023369,-36.33143
19.0,7.248366,-18.183994
26.0,-18.256794,-19.1903
33.0,-14.199614,-29.412287
47.0,-12.302616,-25.778269
132.0,-12.782957,-11.614065
168.0,-29.30819,-5.2953134
180.0,-19.734936,-37.143932
221.0,-11.262385,-18.475311
222.0,-14.744213,-12.462777
231.0,-10.063725,-13.934285
312.0,-18.70453,-32.70997
329.0,-23.538668,-27.452358
330.0,2.7114882,-24.748615
332.0,-12.431715,-8.516996
354.0,-17.56321,-27.277456
355.0,-17.987032,-28.120186
367.0,-28.96947,-10.932632
368.0,-29.62201,-11.7369375
372.0,-26.14621,-37.08553
373.0,-17.471172,-8.709459
375.0,-24.89059,-24.24993
387.0,-20.696062,-35.065296
391.0,-19.424465,-18.594606
400.0,-17.062973,-6.650841
411.0,-23.205017,-30.201197
428.0,-24.690582,-38.663803
430.0,-21.098457,-26.292723
439.0,-21.022408,-34.74418
443.0,-28.240837,-15.712548
449.0,-22.807264,-17.691319
450.0,-22.956343,-17.715195
452.0,-19.706362,-25.370947
460.0,-13.752184,-22.928482
463.0,-15.672884,-36.23387
468.0,-18.388775,-28.60951
488.0,-5.6865635,-20.136974
496.0,-0.30097726,-19.466377
497.0,-0.4116793,-19.629377
498.0,-0.24644245,-21.141132
501.0,-23.072561,-18.536837
505.0,-12.529896,-25.457283
508.0,-12.256161,-27.698236
511.0,-12.249876,-11.751473
520.0,-18.679264,-27.294765
525.0,-24.72824,-27.574335
527.0,-18.289762,-25.801577
534.0,-23.025423,-10.978938
538.0,-25.442383,-37.821793
542.0,-12.535802,-11.035393
551.0,-25.821821,-16.062475
552.0,-28.815842,-10.740698
553.0,-13.411621,-13.103663
554.0,-27.659649,-15.519217
555.0,-41.198963,5.9302516
559.0,-25.02475,-28.330425
562.0,-26.387964,-33.250206
563.0,-26.927597,-37.35676
567.0,-24.458447,-25.228416
568.0,-10.642855,-14.440691
569.0,-10.452332,-14.558711
578.0,-27.656906,-31.544209
579.0,-11.117583,-14.347705
595.0,-23.850712,-16.824114
597.0,-26.066317,-15.071245
604.0,-0.09694492,-19.588333
606.0,-18.053173,-8.330695
608.0,-23.056013,-26.588228
616.0,-22.311028,-17.011114
617.0,-14.437575,-9.186368
629.0,-34.201183,-28.82809
641.0,-25.870758,-29.231949
644.0,-23.3912,-38.93767
665.0,-22.556816,-39.495785
669.0,-8.474414,2.1501563
670.0,-15.168664,-17.462532
673.0,-27.385666,-29.345144
674.0,-28.120707,-24.385458
683.0,-19.706251,-15.027577
692.0,-17.582323,-19.152819
699.0,-26.029127,-18.661833
704.0,-10.85452,-21.420835
705.0,-24.144873,-26.254087
710.0,-23.390587,-33.21875
711.0,-5.682809,-29.487638
717.0,-10.973065,-21.351389
720.0,-22.269127,-33.722565
721.0,-20.325914,-33.717518
735.0,-17.453978,-24.791155
736.0,-9.256678,1.0314524
746.0,-23.131084,-30.501383
771.0,-21.896774,-34.048267
775.0,-18.297237,-18.232878
776.0,-15.445917,-21.857405
777.0,-14.9964695,-21.290895
794.0,-23.277279,-29.634819
795.0,-24.577944,-28.253876
802.0,-28.690512,-25.070799
813.0,-15.656563,-36.18363
814.0,-15.714436,-36.267742
816.0,-21.503147,-35.6587
817.0,-18.379223,-28.090025
819.0,-14.717162,-24.552963
826.0,-22.759684,-38.023415
827.0,-18.956638,-7.979435
829.0,-12.465291,-25.606886
830.0,-19.516447,-9.379918
831.0,-18.593374,-8.288331
861.0,-29.966774,-13.335705
863.0,-29.565079,-14.743675
865.0,-29.666546,-11.336291
881.0,-23.247118,-30.056587
886.0,-29.798,-22.495733
892.0,-16.222357,-19.269363
902.0,0.3798936,-17.09057
915.0,-12.685737,-12.274958
920.0,-28.955723,-23.676083
996.0,-12.715933,-20.222141
1002.0,-18.813753,-14.753732
1020.0,-22.690823,-23.287838
1058.0,-15.669614,-12.474298
1062.0,-18.251871,-18.530455
1065.0,-9.320324,-15.31484
1067.0,-18.149532,-10.379174
1084.0,-22.0568,-16.476007
1095.0,-6.120787,-20.156448
1097.0,-20.597292,-32.758877
1107.0,-13.728627,-32.3028
1162.0,-23.062794,-31.518038
1163.0,-24.275276,-39.259132
1189.0,-28.460041,-13.059392
1217.0,-9.506726,2.690156
1271.0,-27.564095,-29.385483
1292.0,-22.910694,-30.893272
1310.0,-9.802522,-26.871607
1324.0,0.8340329,-18.16149
1327.0,6.9780354,-18.176916
1361.0,-19.12834,-19.233444
1382.0,2.5446649,-24.349356
1392.0,-22.333355,-30.555462
1405.0,-15.987051,-7.633359
1410.0,-24.434694,-25.147636
1415.0,-23.72117,-20.97913
1430.0,-14.375265,-10.431155
1436.0,-21.230341,-19.952227
1440.0,-12.285904,-19.998371
1442.0,-14.57992,-21.174421
1488.0,-20.309895,-29.798191
1489.0,-10.847084,-33.225872
1523.0,-20.082884,-26.075926
1535.0,-17.862617,-7.344276
1553.0,-23.9053,-32.90656
1586.0,-5.5254793,-20.194075
1588.0,-12.762382,-26.369415
1591.0,-22.15376,-25.388443
1601.0,0.14661026,-17.147846
1602.0,-0.8793725,-20.0328
1603.0,-1.5675927,-20.700365
1604.0,-2.2931154,-19.794563
1605.0,-1.3324708,-20.430973
1606.0,-0.57090425,-20.484718
1607.0,-1.8467191,-19.898323
1608.0,-0.09229711,-18.654787
1623.0,-12.141989,-19.769083
1627.0,-11.467777,-10.062588
1633.0,-6.1321816,-20.604982
1643.0,-22.191074,-15.347728
1646.0,-7.7367206,1.4502265
1660.0,-21.666628,-21.494463
1664.0,-12.57988,-25.050392
1667.0,-13.114666,-21.40098
1733.0,-9.626706,-13.117332
1755.0,-15.14543,-17.041468
1760.0,-13.434575,-22.978022
1763.0,-26.988504,-15.52908
1780.0,-0.40771037,-17.66412
1782.0,-27.921028,-18.14092
1802.0,-26.774775,-35.499687
1808.0,-23.879988,-34.411484
1811.0,-17.958452,-21.974527
1821.0,-7.7849545,-0.47893128
1845.0,-22.105465,-12.922343
1847.0,-9.8787365,-1.8798627
1850.0,-22.932396,-34.972332
1863.0,-7.580516,-20.739996
1886.0,-15.77674,-20.552593
1889.0,-24.885126,-23.84554
1893.0,-14.566907,-22.474485
1916.0,-43.73411,30.042347
1923.0,-14.363874,-9.18748
1924.0,-18.553625,-7.982473
1936.0,-15.804379,-9.351055
1937.0,-15.785634,-8.790143
1939.0,-24.256428,-33.31597
1947.0,-18.92308,-20.328686
1951.0,-19.20456,-22.031403
1953.0,-8.535293,-17.161491
1954.0,-6.0124016,-19.524467
1955.0,-1.0700064,-19.004362
1973.0,-26.698318,-20.471142
1977.0,-18.115639,-22.442839
2014.0,-20.600834,-14.708267
2015.0,-11.135206,-7.452959
2020.0,-11.491098,-16.40803
2021.0,-25.137947,-16.019363
2022.0,-26.324152,-14.745436
2023.0,-22.217283,-15.326991
2024.0,-23.703224,-14.399038
2025.0,-6.168552,-24.641018
2026.0,-26.516512,-16.402855
2028.0,-25.059675,-15.053864
2030.0,-25.596485,-16.97498
2031.0,-19.63673,-15.343617
2033.0,-25.88886,-15.138328
2039.0,-10.924085,-25.27404
2058.0,-15.055817,-10.376616
2060.0,-27.099916,-18.143568
2068.0,-23.214722,-15.21246
2071.0,-18.440634,-10.391784
2080.0,-3.222083,-32.09991
2082.0,-18.763058,-11.618581
2085.0,-22.071558,-27.062643
2086.0,-25.763094,-28.253752
2089.0,-43.95473,-5.218964
2097.0,-8.154888,1.6947399
2105.0,-10.086132,-14.056323
2106.0,-10.359506,-14.749463
2107.0,-10.346572,-14.914529
2108.0,-9.9521,-14.593453
2114.0,-10.304491,-21.180874
2137.0,-25.08194,-28.560564
2138.0,-28.100006,-24.369633
2139.0,-27.805197,-31.233107
2140.0,-19.067003,-21.88704
2141.0,-19.200487,-21.056904
2142.0,-19.103203,-21.679888
2143.0,-19.234947,-21.834873
2144.0,-17.909142,-20.960007
2170.0,-12.812913,-2.4069297
2172.0,-20.64286,-39.420044
2191.0,-12.82063,-2.417251
2201.0,-19.445087,-36.4829
2204.0,-28.912663,-10.901852
2227.0,-18.714539,-33.186966
2252.0,2.6031325,-25.03078
