article_id,label_id,score
0,0,368.1179736780366
0,1,296.94716371210774
0,2,230.07373354877288
0,3,196.0589868390183
0,4,196.0589868390183
0,5,196.0589868390183
0,6,177.03943683036442
0,7,156.19584970036996
0,8,133.42958111104198
0,9,99.39559761300404
1,10,245.07373354877288
1,11,167.50240771984198
1,12,161.85418318384026
2,13,237.8374919243488
2,14,234.41835382926104
2,15,211.54593635945733
2,16,150.5379082961452
3,17,556.7747989093275
3,18,475.94029413819663
3,19,418.91739598718686
3,20,327.68466518442233
3,21,222.709919563731
3,22,173.06919786843514
3,23,132.7383235952558
4,24,392.71617043421975
4,25,226.87972748425142
4,26,226.56702140435758
4,27,211.46255331073374
4,28,181.25361712348607
4,17,168.45244138564894
4,29,166.14914902986223
4,30,135.94021284261453
4,31,90.62680856174303
4,32,90.62680856174303
5,33,343.103226968282
5,10,294.08848025852745
5,34,196.0589868390183
6,35,474.27362802236627
6,36,196.0589868390183
6,37,134.9759835055035
6,38,123.52625740671687
6,39,107.2484336036321
7,40,440.1622138073003
7,41,196.0589868390183
7,42,196.0589868390183
7,43,76.45227173298638
8,44,343.103226968282
8,45,177.03943683036442
8,43,76.45227173298638
9,46,392.1179736780366
9,47,196.0589868390183
9,48,155.41453469627413
9,49,138.285675235524
10,50,392.1179736780366
10,51,343.103226968282
11,52,503.8810676249166
11,53,359.9150483035118
11,54,287.9320386428095
11,55,287.9320386428095
11,56,251.9405338124583
11,57,215.9490289821071
11,58,197.83564182496855
11,59,179.9575241517559
11,60,143.96601932140476
11,61,143.96601932140476
12,20,368.9072563270256
12,62,227.51129428069368
12,63,189.42897279132202
12,64,183.21146298169344
12,65,151.54317823305763
12,66,151.54317823305763
12,67,34.500952885803805
13,68,315.3992396975512
13,69,175.2217998319729
13,70,175.2217998319729
13,71,175.2217998319729
13,72,166.4777146405012
13,73,145.99298874197484
13,74,118.14604924912292
13,75,104.92620924876344
13,76,71.88937538911232
13,67,55.84841748389491
14,77,298.3506321463322
14,78,209.28914090807086
14,79,198.90042143088814
14,80,149.1753160731661
14,81,124.3127633943051
14,82,124.3127633943051
14,83,99.45021071544407
14,84,99.45021071544407
14,85,99.45021071544407
14,86,99.45021071544407
15,87,329.4209069590033
15,88,245.07373354877288
15,89,126.91939549660785
16,90,363.5385866760174
16,91,245.07373354877288
16,89,70.51077527589325
17,20,270.35115108279575
17,92,152.1003222706792
17,93,108.64308733619943
17,94,108.64308733619943
17,95,89.4669962998095
17,96,49.78235202243535
18,97,172.0589868390183
18,98,97.42896459347239
19,99,686.206453936564
19,100,196.0589868390183
20,101,262.4150459455146
20,60,245.07373354877288
20,49,138.285675235524
20,102,110.80538189724595
20,35,86.23156873133932
20,103,5.895767289580234
21,104,113.4353965973034
21,105,81.02528328378814
21,106,81.02528328378814
21,107,66.16219238449581
21,108,64.82022662703052
21,109,64.82022662703052
21,110,64.82022662703052
21,111,64.82022662703052
21,112,64.82022662703052
21,113,61.815332718976485
22,114,355.0505570022646
22,115,159.5671377766565
23,116,392.1179736780366
