,country,label_id,label,tfidf,pmi
0,3,216,approach,0.016301410765791776,0.04705670041086123
1,3,215,element,0.016233663684225453,0.04676158156225124
2,3,214,value,0.016166390452856456,0.04631704165320763
3,3,213,case,0.01606013801683827,0.04586420164926548
4,3,212,function,0.015941955770065595,0.04536522574736957
5,3,210,testing,0.01591665260209213,0.045119253626178746
6,3,211,effect,0.01591630293051459,0.045187205579375715
7,3,207,level,0.01576331983905583,0.044355563951618354
8,3,208,field,0.01576281956747052,0.04441834298039437
9,3,209,determine,0.01576224686675492,0.044481713392426445
10,0,57,part,0.014212021942894356,0.04248465800762631
11,0,55,particle,0.013936946820895474,0.040761294455288734
12,0,56,dry,0.013929517639911631,0.040894323215896984
13,0,54,fiber,0.013877671097922005,0.04049348043127238
14,0,53,remove,0.013869630355572005,0.040377064007247984
15,0,52,liquid,0.013869630355572005,0.040377064007247984
16,0,50,cell,0.013810606377065432,0.03988355649695531
17,0,51,coating,0.01380691786543427,0.039942840861870894
18,0,49,property,0.013710710862214462,0.03937515773521535
19,0,48,wire,0.013672699527184655,0.03907118115905312
20,4,180,idea,0.011380615671383078,0.029321421713734995
21,4,179,communication,0.011345220247882284,0.029093055544798567
22,4,167,term,0.010699672909481624,0.02613665659501169
23,4,166,focus,0.010640215038610859,0.0259673479143503
24,4,165,establish,0.01064005399277027,0.02595544508760429
25,4,164,management,0.010584871241790637,0.025794752945376795
26,4,163,innovation,0.01047611340618056,0.025502046528975354
27,4,162,organization,0.010456766809889054,0.025445715806585643
28,4,159,engineering,0.010448105334390135,0.025397301260901176
29,4,161,human,0.01043745790575245,0.02538983799452671
30,6,141,introduce,0.010262198687364759,0.025920594255533478
31,2,178,steam,0.010224935602424297,0.02529316952453855
32,2,177,building,0.010131275082216501,0.025106847445149166
33,6,140,sell,0.01010569048825814,0.02543370823993294
34,2,176,unit,0.010073254486589923,0.024988068746413985
35,6,139,like,0.01004519624625781,0.025221764716343464
36,6,138,app,0.009999951551943156,0.025071659487381263
37,2,175,motor,0.009986787755937991,0.024811993100520284
38,5,196,electricity,0.009982618096403245,0.024600264567662587
39,6,137,number,0.009970681586988887,0.02495935818418208
40,5,195,tube,0.009958472918039559,0.024524291947984007
41,6,136,platform,0.009918488932244618,0.024791563409008652
42,2,174,cut,0.009915242635493282,0.02466714784015531
43,6,134,apple,0.009911969807227227,0.02475020606020744
44,6,135,format,0.009896027434010534,0.024724604426134895
45,5,194,output,0.009890792328077786,0.024332639798899956
46,6,133,access,0.009890020573982685,0.024674558220173722
47,6,127,google,0.009878020627764697,0.024499931423602253
48,5,193,fire,0.009860765812151496,0.02424811354113163
49,5,191,battery,0.009677528167396152,0.023736524020117025
50,5,192,source,0.009674488371752825,0.02373594364338344
51,2,172,end,0.009663593114548268,0.02417938346645609
52,5,190,fuel,0.009639749709422099,0.023635639098386653
53,5,189,weapon,0.00963831330074933,0.02363011328893786
54,2,171,tool,0.00958020969120714,0.024014991057618996
55,2,170,common,0.009559460943790602,0.02397424163840358
56,5,188,color,0.009377438792214735,0.022974320479020288
57,5,187,plant,0.009248906279086542,0.022660614404634172
58,2,169,load,0.009192440743744274,0.023263698801700074
59,2,168,typically,0.00908597514835188,0.0230611856456461
60,1,89,space,0.008862755874901103,0.02248364087050237
61,1,90,boat,0.008852607530089037,0.022494169121152787
62,1,84,bridge,0.008850560721076808,0.022334038036186984
63,1,85,mill,0.008845465516506619,0.02233037009959161
64,1,86,later,0.008840317673397309,0.022326682596319574
65,1,82,operation,0.008834172343545684,0.022262976785997302
66,1,83,transmission,0.008830728143630524,0.02227494025086521
67,1,87,military,0.00882986347917083,0.022319248260113923
68,1,88,fly,0.008828237972385624,0.02236476056406475
69,1,94,range,0.008754252001820452,0.02241986116753356
