country,label0,prob0,label1,prob1,label2,prob2,label3,prob3,label4,prob4,label5,prob5,label6,prob6,label7,prob7,label8,prob8,label9,prob9,label10,prob10,label11,prob11,label12,prob12,label13,prob13,label14,prob14,label15,prob15,label16,prob16,label17,prob17,label18,prob18,label19,prob19,label20,prob20,label21,prob21,label22,prob22,label23,prob23,label24,prob24,label25,prob25,label26,prob26,label27,prob27,label28,prob28,label29,prob29,label30,prob30,label31,prob31,label32,prob32,label33,prob33,label34,prob34,label35,prob35,label36,prob36,label37,prob37,label38,prob38,label39,prob39,label40,prob40,label41,prob41,label42,prob42,label43,prob43,label44,prob44,label45,prob45,label46,prob46,label47,prob47,label48,prob48,label49,prob49
0,online,0.007,user,0.007,people,0.006,use,0.004,facebook,0.004,information,0.004,community,0.004,social_medium,0.004,work,0.004,create,0.004,post,0.004,group,0.003,new,0.003,social,0.003,internet,0.003,individual,0.003,book,0.003,medium,0.003,content,0.003,technology,0.003,library,0.003,time,0.003,find,0.003,world,0.003,member,0.003,company,0.003,digital,0.003,include,0.002,site,0.002,share,0.002,state,0.002,platform,0.002,like,0.002,website,0.002,example,0.002,twitter,0.002,way,0.002,study,0.002,allow,0.002,form,0.002,base,0.002,report,0.002,change,0.002,project,0.002,help,0.002,research,0.002,increase,0.002,lead,0.002,public,0.002,idea,0.002
1,yahoo,0.026,user,0.012,support,0.01,web,0.009,service,0.008,browser,0.008,release,0.007,feature,0.007,website,0.007,version,0.007,site,0.006,firefox,0.005,new,0.005,page,0.005,use,0.005,web_page,0.005,provide,0.004,include,0.004,company,0.004,create,0.004,change,0.004,microsoft,0.004,update,0.004,information,0.003,web_browser,0.003,add,0.003,content,0.003,window,0.003,april,0.003,developer,0.003,software,0.003,base,0.003,image,0.003,january,0.003,application,0.003,allow,0.003,search,0.003,file,0.003,build,0.003,internet,0.003,list,0.003,june,0.003,mozilla,0.003,available,0.002,product,0.002,december,0.002,august,0.002,september,0.002,google,0.002,technology,0.002
2,use,0.01,server,0.008,user,0.008,datum,0.007,network,0.006,system,0.006,protocol,0.006,client,0.005,software,0.005,example,0.005,file,0.005,application,0.005,information,0.005,allow,0.004,provide,0.004,message,0.004,email,0.004,security,0.004,standard,0.004,internet,0.004,require,0.003,send,0.003,support,0.003,domain,0.003,request,0.003,document,0.003,computer,0.003,type,0.003,attack,0.003,list,0.003,base,0.003,address,0.003,number,0.003,content,0.003,include,0.003,method,0.003,service,0.003,set,0.003,implementation,0.003,host,0.003,access,0.003,link,0.003,code,0.003,time,0.002,define,0.002,know,0.002,contain,0.002,form,0.002,resource,0.002,different,0.002
3,company,0.026,service,0.017,launch,0.009,online,0.009,customer,0.008,business,0.008,product,0.007,user,0.006,sell,0.006,offer,0.006,commerce,0.006,website,0.005,amazon,0.005,purchase,0.005,new,0.005,market,0.005,base,0.004,consumer,0.004,sale,0.004,acquire,0.004,app,0.004,announce,0.004,platform,0.004,internet,0.004,music,0.004,september,0.004,june,0.004,network,0.004,october,0.003,brand,0.003,channel,0.003,provide,0.003,include,0.003,august,0.003,site,0.003,time,0.003,technology,0.003,december,0.003,inc,0.003,march,0.003,november,0.003,april,0.003,january,0.003,large,0.003,july,0.003,mobile,0.003,february,0.003,available,0.003,price,0.003,software,0.003
4,google,0.013,user,0.011,website,0.011,datum,0.009,service,0.009,search,0.008,search_engine,0.007,content,0.007,information,0.007,provide,0.006,site,0.006,web,0.006,page,0.006,use,0.006,base,0.005,link,0.005,ad,0.005,network,0.005,technology,0.005,advertising,0.004,internet,0.004,result,0.004,system,0.004,wikipedia,0.004,include,0.003,application,0.003,company,0.003,marketing,0.003,consumer,0.003,location,0.003,business,0.003,mobile,0.003,time,0.003,online,0.003,traffic,0.003,advertiser,0.003,customer,0.003,advertisement,0.002,example,0.002,map,0.002,image,0.002,device,0.002,create,0.002,access,0.002,tool,0.002,allow,0.002,find,0.002,software,0.002,different,0.002,visitor,0.002
5,internet,0.02,network,0.008,government,0.006,service,0.005,access,0.005,website,0.005,country,0.004,use,0.004,provide,0.004,state,0.004,block,0.003,information,0.003,law,0.003,site,0.003,report,0.003,system,0.003,new,0.003,communication,0.003,domain,0.003,user,0.003,technology,0.003,public,0.003,content,0.003,support,0.002,organization,0.002,company,0.002,policy,0.002,base,0.002,project,0.002,march,0.002,develop,0.002,year,0.002,work,0.002,group,0.002,foundation,0.002,june,0.002,january,0.002,development,0.002,united_state,0.002,december,0.002,issue,0.002,create,0.002,include,0.002,international,0.002,allow,0.002,list,0.002,follow,0.002,time,0.002,isp,0.002,order,0.002
6,video,0.012,website,0.008,site,0.008,youtube,0.007,release,0.007,film,0.006,feature,0.005,work,0.005,award,0.005,series,0.005,time,0.004,music,0.004,day,0.004,write,0.004,artist,0.004,event,0.004,episode,0.004,year,0.004,book,0.003,create,0.003,call,0.003,november,0.003,april,0.003,receive,0.003,project,0.003,later,0.003,begin,0.003,take,0.003,interview,0.003,list,0.003,host,0.003,original,0.003,january,0.003,october,0.003,launch,0.003,announce,0.003,character,0.003,march,0.003,july,0.003,start,0.002,reference_external_link,0.002,play,0.002,june,0.002,season,0.002,february,0.002,good,0.002,song,0.002,december,0.002,follow,0.002,archive,0.002
