,country,h_cat,keyphrases,keywords,kmeans_augmented,kmeans_plain,label,links,tfidf
63,3,1.0,0.0,0.0,0.0,1.0,television networks,0.0,0.004367069953611075
64,3,1.0,0.0,0.0,0.0,1.0,television by year,0.0,0.004219586216173308
65,3,1.0,0.0,0.0,0.0,1.0,media in the united states,0.0,0.004053083436873535
66,3,1.0,0.0,0.0,0.0,1.0,entertainment by country,0.0,0.0039002388020614918
67,3,1.0,0.0,0.0,0.0,1.0,political philosophy,0.0,0.0038109973764092284
68,3,1.0,0.0,0.0,0.0,1.0,media in europe by country,0.0,0.0037181690117020915
69,3,1.0,0.0,0.0,0.0,1.0,american media by state,0.0,0.0036330227405098987
70,3,1.0,0.0,0.0,0.0,1.0,broadcasting,0.0,0.003452435289040457
71,3,1.0,0.0,0.0,0.0,1.0,television,0.0,0.003391521297113139
72,3,1.0,0.0,0.0,0.0,1.0,world wide web,0.0,0.0033268727707962678
73,3,1.0,0.0,0.0,0.0,1.0,subfields of political science,0.0,0.0032528677124209963
74,3,1.0,0.0,0.0,0.0,1.0,mass media stubs by country,0.0,0.0032415429345195
75,3,1.0,0.0,0.0,0.0,1.0,introductions by year,0.0,0.003164683911203755
76,3,1.0,0.0,0.0,0.0,1.0,establishments in california by year,0.0,0.003155275242405166
77,3,1.0,0.0,0.0,0.0,1.0,television stations by language,0.0,0.0030946482467534664
78,3,1.0,0.0,0.0,0.0,1.0,media technology,0.0,0.0030221502495649736
79,3,1.0,0.0,0.0,0.0,1.0,social institutions,0.0,0.0029921411994796583
80,4,1.0,0.0,0.0,0.0,1.0,media companies by country,0.0,0.004570230289886888
81,4,1.0,0.0,0.0,0.0,1.0,entertainment companies by year of establishment,0.0,0.0032815811986511723
82,4,1.0,0.0,0.0,0.0,1.0,companies by industry and country,0.0,0.003039033277526232
83,4,1.0,0.0,0.0,0.0,1.0,companies by country and industry,0.0,0.00281084535389466
84,4,1.0,0.0,0.0,0.0,1.0,television networks by country,0.0,0.00277777497996507
85,4,1.0,0.0,0.0,0.0,1.0,categories by medium,0.0,0.002718721569522292
86,4,1.0,0.0,0.0,0.0,1.0,economics by year,0.0,0.0026590634012424877
87,4,1.0,0.0,0.0,0.0,1.0,companies of the united states by industry,0.0,0.0026014284177665217
88,4,1.0,0.0,0.0,0.0,1.0,media companies by decade of establishment,0.0,0.0025979583510933307
89,4,1.0,0.0,0.0,0.0,1.0,organizations by subject and country,0.0,0.002575700355147892
90,4,1.0,0.0,0.0,0.0,1.0,media companies by time,0.0,0.0025648798251059453
91,4,1.0,0.0,0.0,0.0,1.0,communication design,0.0,0.0025252288120540364
92,4,1.0,0.0,0.0,0.0,1.0,establishments by type and year,0.0,0.0025195477660561794
93,4,1.0,0.0,0.0,0.0,1.0,television in the united states,0.0,0.0024247611276871084
94,4,1.0,0.0,0.0,0.0,1.0,media companies established in the 2000s,0.0,0.0024014965862531766
95,4,1.0,0.0,0.0,0.0,1.0,american studies,0.0,0.002396091919133647
96,4,1.0,0.0,0.0,0.0,1.0,electronic publishing,0.0,0.0023624274696923356
97,4,1.0,0.0,0.0,0.0,1.0,mass media by location,0.0,0.0023231354056045053
98,4,1.0,0.0,0.0,0.0,1.0,history of the internet,0.0,0.0023083918425953506
99,4,1.0,0.0,0.0,0.0,1.0,media companies of north america,0.0,0.002304521614410156
100,5,1.0,0.0,0.0,0.0,1.0,wikipedia maintenance,0.0,0.005368188058270738
101,5,1.0,0.0,0.0,0.0,1.0,stub categories,0.0,0.005368188058270738
102,5,1.0,0.0,0.0,0.0,1.0,wikiproject stub sorting,0.0,0.005368188058270738
103,5,1.0,0.0,0.0,0.0,1.0,years,0.0,0.004764542659344433
104,5,1.0,0.0,0.0,0.0,1.0,births by decade,0.0,0.004500243364839589
105,5,1.0,0.0,0.0,0.0,1.0,people by status,0.0,0.004380034617084054
106,5,1.0,0.0,0.0,0.0,1.0,life,0.0,0.00437080921875679
107,5,1.0,0.0,0.0,0.0,1.0,nature,0.0,0.004343398083516858
108,5,1.0,0.0,0.0,0.0,1.0,people,0.0,0.004336598151572696
109,5,1.0,0.0,0.0,0.0,1.0,20th-century births,0.0,0.004265716680962223
110,5,1.0,0.0,0.0,0.0,1.0,living people,0.0,0.004247489961198946
111,5,1.0,0.0,0.0,0.0,1.0,survivors,0.0,0.004238444163938208
112,5,1.0,0.0,0.0,0.0,1.0,victims,0.0,0.004238444163938208
113,5,1.0,0.0,0.0,0.0,1.0,television by country,0.0,0.0032727697907860747
114,5,1.0,0.0,0.0,0.0,1.0,alumni by university or college in the united states by state,0.0,0.0032193650836763715
115,5,1.0,0.0,0.0,0.0,1.0,stubs by region,0.0,0.003167634769184881
116,5,1.0,0.0,0.0,0.0,1.0,film and video technology,0.0,0.003025721123729291
117,5,1.0,0.0,0.0,0.0,1.0,information and communications technology,0.0,0.0026890000615265096
118,5,1.0,0.0,0.0,0.0,1.0,critical theory,0.0,0.002656993462219381
119,5,1.0,0.0,0.0,0.0,1.0,europe stubs,0.0,0.0026562893130711177
120,6,1.0,0.0,0.0,0.0,1.0,communication,0.0,0.005594101647356954
121,6,1.0,0.0,0.0,0.0,1.0,main topic classifications,0.0,0.005225202053718808
122,6,1.0,0.0,0.0,0.0,1.0,media by country,0.0,0.005074425936981682
123,6,1.0,0.0,0.0,0.0,1.0,society,0.0,0.004475975236910851
124,6,1.0,0.0,0.0,0.0,1.0,information,0.0,0.003861612922842646
125,6,1.0,0.0,0.0,0.0,1.0,communication studies,0.0,0.003819801183888871
126,6,1.0,0.0,0.0,0.0,1.0,social sciences,0.0,0.003775895534712099
127,6,1.0,0.0,0.0,0.0,1.0,television terminology,0.0,0.0036537228715458766
128,6,1.0,0.0,0.0,0.0,1.0,popular culture,0.0,0.0036008173522121137
129,6,1.0,0.0,0.0,0.0,1.0,newspapers,0.0,0.003536350047430287
130,6,1.0,0.0,0.0,0.0,1.0,human activities,0.0,0.003531972335285921
131,6,1.0,0.0,0.0,0.0,1.0,mass media by language,0.0,0.003531367282472326
132,6,1.0,0.0,0.0,0.0,1.0,culture by country,0.0,0.00333055525310783
133,6,1.0,0.0,0.0,0.0,1.0,filmmaking,0.0,0.003326065288539763
134,6,1.0,0.0,0.0,0.0,1.0,public opinion,0.0,0.003315620569544613
135,6,1.0,0.0,0.0,0.0,1.0,media companies,0.0,0.003303783415813794
136,6,1.0,0.0,0.0,0.0,1.0,communications by country,0.0,0.0032256230208888323
137,6,1.0,0.0,0.0,0.0,1.0,cultural media,0.0,0.003173153991805291
138,6,1.0,0.0,0.0,0.0,1.0,online services,0.0,0.0031470104849921987
139,6,1.0,0.0,0.0,0.0,1.0,arts,0.0,0.0030806586967232334
0,0,0.0,1.0,0.0,0.0,1.0,news,0.0,0.004372653300172065
1,0,0.0,1.0,0.0,0.0,1.0,based,0.0,0.0031541903982536166
2,0,0.0,1.0,0.0,0.0,1.0,online,0.0,0.002936007785413553
3,0,0.0,1.0,0.0,0.0,1.0,published,0.0,0.002722671421279244
4,0,0.0,1.0,0.0,0.0,1.0,english,0.0,0.0025798904228356186
5,0,0.0,1.0,0.0,0.0,1.0,books,0.0,0.0023656783707458307
6,0,0.0,1.0,0.0,0.0,1.0,coverage,0.0,0.0023021651897086395
7,0,0.0,1.0,0.0,0.0,1.0,site,0.0,0.002261076934802934
8,0,0.0,1.0,0.0,0.0,1.0,owned,0.0,0.002211173093624134
9,0,0.0,1.0,0.0,0.0,1.0,world,0.0,0.0020802458340143264
10,0,0.0,1.0,0.0,0.0,1.0,available,0.0,0.0020283885397991944
11,0,0.0,1.0,0.0,0.0,1.0,articles,0.0,0.0019704336598656822
12,0,0.0,1.0,0.0,0.0,1.0,british,0.0,0.0019334725116977444
13,0,0.0,1.0,0.0,0.0,1.0,physical,0.0,0.0018873761449845425
14,0,0.0,1.0,0.0,0.0,1.0,english language,0.0,0.0018576954196453791
15,0,0.0,1.0,0.0,0.0,1.0,announced,0.0,0.00184680825544168
16,0,0.0,1.0,0.0,0.0,1.0,weekly,0.0,0.001765609643368834
17,0,0.0,1.0,0.0,0.0,1.0,author,0.0,0.0017560184651457921
18,0,0.0,1.0,0.0,0.0,1.0,april,0.0,0.0017448187433866658
19,0,0.0,1.0,0.0,0.0,1.0,london,0.0,0.001719926948557079
20,1,0.0,1.0,0.0,0.0,1.0,network,0.0,0.0025529482358089455
21,1,0.0,1.0,0.0,0.0,1.0,government,0.0,0.002357805497657304
22,1,0.0,1.0,0.0,0.0,1.0,format,0.0,0.0020609454448359374
23,1,0.0,1.0,0.0,0.0,1.0,india,0.0,0.0020458453522935005
24,1,0.0,1.0,0.0,0.0,1.0,use,0.0,0.0019030326298454649
25,1,0.0,1.0,0.0,0.0,1.0,mobile,0.0,0.001754356314859625
26,1,0.0,1.0,0.0,0.0,1.0,modern,0.0,0.0017151425105855428
27,1,0.0,1.0,0.0,0.0,1.0,indian,0.0,0.0016416584066763953
28,1,0.0,1.0,0.0,0.0,1.0,story,0.0,0.0016416584066763953
29,1,0.0,1.0,0.0,0.0,1.0,wrote,0.0,0.0016136213316436821
30,1,0.0,1.0,0.0,0.0,1.0,de,0.0,0.001602957568205729
31,1,0.0,1.0,0.0,0.0,1.0,political,0.0,0.0015177802385619354
32,1,0.0,1.0,0.0,0.0,1.0,social media,0.0,0.001488460599048177
33,1,0.0,1.0,0.0,0.0,1.0,children,0.0,0.0014558817019441213
34,1,0.0,1.0,0.0,0.0,1.0,work,0.0,0.001439375538988493
35,1,0.0,1.0,0.0,0.0,1.0,members,0.0,0.0014308018805533652
36,1,0.0,1.0,0.0,0.0,1.0,commercial,0.0,0.0013902222617296492
37,1,0.0,1.0,0.0,0.0,1.0,sun,0.0,0.0013851180371926928
38,1,0.0,1.0,0.0,0.0,1.0,partnership,0.0,0.0013578372413667501
39,1,0.0,1.0,0.0,0.0,1.0,sound,0.0,0.0013527489502844561
40,2,0.0,1.0,0.0,0.0,1.0,video,0.0,0.0024945510232928943
41,2,0.0,1.0,0.0,0.0,1.0,station,0.0,0.002317663348920986
42,2,0.0,1.0,0.0,0.0,1.0,editor,0.0,0.002250936709245049
43,2,0.0,1.0,0.0,0.0,1.0,john,0.0,0.0022096219636033856
44,2,0.0,1.0,0.0,0.0,1.0,local,0.0,0.002182202019425246
45,2,0.0,1.0,0.0,0.0,1.0,effects,0.0,0.0021479635335973244
46,2,0.0,1.0,0.0,0.0,1.0,website,0.0,0.002114443223889709
47,2,0.0,1.0,0.0,0.0,1.0,city,0.0,0.0019764451713024157
48,2,0.0,1.0,0.0,0.0,1.0,fm,0.0,0.0018281636517927682
49,2,0.0,1.0,0.0,0.0,1.0,education,0.0,0.0017797893354667292
50,2,0.0,1.0,0.0,0.0,1.0,software,0.0,0.0017534869717194662
51,2,0.0,1.0,0.0,0.0,1.0,american,0.0,0.0017006560853319271
52,2,0.0,1.0,0.0,0.0,1.0,radio stations,0.0,0.0016952524403214399
53,2,0.0,1.0,0.0,0.0,1.0,canada,0.0,0.0016950821163840895
