,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,name,project,cluster_alg,tfidf,h_cat_tfidf,links_tfidf,key_words_tfidf,key_phrases_tfidf
46,46,46,46,46,american,food,kmeans_plain,0.0041352050137115045,0.0,0.0,0.002946201634126148,0.001189003379585357
47,47,47,47,47,american_brands,food,kmeans_augmented,0.0026669484433256146,0.0026669484433256146,0.0,0.0,0.0
48,48,48,48,48,american_brands,food,kmeans_plain,0.0025355177326909033,0.0025355177326909033,0.0,0.0,0.0
49,49,49,49,49,american_cuisine,food,kmeans_augmented,0.005320860793608743,0.005320860793608743,0.0,0.0,0.0
50,50,50,50,50,american_cuisine,food,kmeans_plain,0.005291990995663898,0.005291990995663898,0.0,0.0,0.0
51,51,51,51,51,american_cuisine_by_region,food,kmeans_augmented,0.002723984763230948,0.002723984763230948,0.0,0.0,0.0
52,52,52,52,52,american_cuisine_by_region,food,kmeans_plain,0.002790126943122257,0.002790126943122257,0.0,0.0,0.0
53,53,53,53,53,american_culture,food,kmeans_augmented,0.004808925360194678,0.004808925360194678,0.0,0.0,0.0
54,54,54,54,54,american_culture,food,kmeans_plain,0.004824077452360107,0.004824077452360107,0.0,0.0,0.0
55,55,55,55,55,american_culture_by_state,food,kmeans_augmented,0.00396618907415476,0.00396618907415476,0.0,0.0,0.0
56,56,56,56,56,american_culture_by_state,food,kmeans_plain,0.003719543617115713,0.003719543617115713,0.0,0.0,0.0
57,57,57,57,57,american_people,food,kmeans_plain,0.002641748466631679,0.002641748466631679,0.0,0.0,0.0
58,58,58,58,58,american_people_by_occupation,food,kmeans_augmented,0.002988424610494545,0.002988424610494545,0.0,0.0,0.0
59,59,59,59,59,american_people_by_occupation,food,kmeans_plain,0.0034899618738448105,0.0034899618738448105,0.0,0.0,0.0
60,60,60,60,60,ancient_rome,food,kmeans_augmented,0.0049421473582120755,0.0,0.0049421473582120755,0.0,0.0
61,61,61,61,61,ancient_rome,food,kmeans_plain,0.00479981136582776,0.0,0.00479981136582776,0.0,0.0
62,62,62,62,62,animal_products,food,kmeans_augmented,0.0037047512464059187,0.0037047512464059187,0.0,0.0,0.0
63,63,63,63,63,animal_products,food,kmeans_plain,0.003771362588028964,0.003771362588028964,0.0,0.0,0.0
64,64,64,64,64,animals,food,kmeans_plain,0.0018143306633923641,0.0,0.0,0.0018143306633923641,0.0
65,65,65,65,65,announced,food,kmeans_augmented,0.0036571779014928016,0.0,0.0,0.001916242953155317,0.0017409349483374847
66,66,66,66,66,announced,food,kmeans_plain,0.003645186745242069,0.0,0.0,0.0019496674912090398,0.0016955192540330287
67,67,67,67,67,apiaceae,food,kmeans_augmented,0.005320431817682557,0.0,0.005320431817682557,0.0,0.0
68,68,68,68,68,apiaceae,food,kmeans_plain,0.005473952824000542,0.0,0.005473952824000542,0.0,0.0
