article_id,prob,topic_id
0,0.43132176995277405,2
0,0.46882230043411255,5
0,0.0939471498131752,6
1,0.1999075561761856,1
1,0.19567883014678955,3
1,0.0961424857378006,5
1,0.09184043854475021,6
1,0.4137641489505768,7
2,0.2519499659538269,0
2,0.07867930829524994,1
2,0.19122081995010376,2
2,0.05925149470567703,3
2,0.02625516802072525,4
2,0.3356691002845764,5
2,0.056097615510225296,7
3,0.2850668132305145,0
3,0.049156323075294495,1
3,0.4993534982204437,2
3,0.16146200895309448,4
4,0.3063203692436218,0
4,0.3771706521511078,2
4,0.12881441414356232,4
4,0.184878870844841,5
5,0.24287106096744537,0
5,0.16360895335674286,2
5,0.24777312576770782,4
5,0.19877004623413086,6
5,0.143993079662323,7
6,0.8054689764976501,2
6,0.06694601476192474,4
6,0.12374286353588104,5
7,0.2005656212568283,0
7,0.034009676426649094,1
7,0.6320943236351013,2
7,0.12656114995479584,4
8,0.3942600190639496,0
8,0.4374653995037079,2
8,0.08881766349077225,4
8,0.0715005099773407,5
9,0.4115036427974701,1
9,0.4037390947341919,3
9,0.17977984249591827,6
10,0.04550832509994507,0
10,0.02144717238843441,1
10,0.787933349609375,2
10,0.07381393015384674,5
10,0.06862752139568329,6
11,0.5083979964256287,0
11,0.06221412122249603,1
11,0.33217450976371765,2
11,0.09270113706588745,5
12,0.09592652320861816,0
12,0.056396160274744034,1
12,0.8417644500732422,2
13,0.11768511682748795,0
13,0.7901453375816345,1
13,0.01822732947766781,2
13,0.06990188360214233,5
14,0.06090046092867851,0
14,0.6880050897598267,1
14,0.047001756727695465,2
14,0.1293189972639084,5
14,0.07257365435361862,7
15,0.1492900252342224,0
15,0.6047941446304321,1
15,0.08770320564508438,3
15,0.15202392637729645,5
16,0.39760008454322815,1
16,0.04036661982536316,4
16,0.5564383268356323,7
17,0.32401546835899353,1
17,0.043357983231544495,2
17,0.6036673188209534,3
17,0.02313060499727726,4
18,0.0666046142578125,1
18,0.40191370248794556,2
18,0.5255094766616821,5
19,0.1325685977935791,0
19,0.33320847153663635,2
19,0.529681384563446,5
20,0.3192378878593445,0
20,0.14105743169784546,1
20,0.21221838891506195,2
