article_id,label_id
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,11
1,32
1,33
1,32
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,5
3,41
3,42
3,43
3,44
3,45
3,46
3,47
3,48
3,49
3,50
4,41
4,42
4,43
4,44
4,48
4,47
4,51
4,52
4,50
4,53
4,54
4,48
4,55
4,56
4,57
4,58
4,59
4,60
4,61
4,62
4,63
4,64
4,65
4,66
5,41
5,42
5,43
5,60
5,47
5,48
5,67
5,68
5,69
5,46
5,61
5,49
5,50
6,70
6,71
6,72
6,73
6,74
6,75
6,76
6,77
6,78
6,79
6,77
6,80
6,81
6,82
6,83
6,77
6,84
6,85
6,86
6,87
6,88
6,89
6,90
6,77
6,91
6,92
6,77
7,93
7,94
7,95
7,96
7,97
7,97
7,98
7,99
8,100
8,101
8,102
8,103
8,104
8,105
8,105
8,106
8,107
8,108
8,109
8,110
8,111
8,112
8,113
8,114
8,115
8,116
8,117
8,118
8,119
8,120
8,121
8,28
8,122
8,123
8,124
8,125
9,126
9,127
9,128
9,129
9,130
9,131
9,132
9,133
9,134
9,135
9,136
9,137
9,138
9,139
9,140
9,141
9,142
9,143
10,144
10,145
10,146
10,147
10,148
10,149
10,150
10,151
10,152
10,41
10,94
10,153
10,154
10,155
11,156
11,157
11,158
11,159
11,157
11,160
11,161
11,162
11,163
11,164
12,165
12,166
12,167
12,168
12,169
12,170
12,171
12,172
12,173
12,174
12,175
12,176
12,177
12,178
12,179
12,180
13,181
13,182
13,183
13,184
13,185
13,186
13,187
13,188
13,189
13,190
13,191
13,192
13,193
13,194
13,195
13,196
13,197
13,198
13,199
13,200
14,201
14,202
14,203
14,204
14,205
14,206
14,207
14,208
14,209
14,210
14,211
14,212
14,213
14,214
14,215
14,216
14,217
14,218
14,219
14,220
14,221
14,102
14,222
14,223
14,224
15,225
15,226
16,41
16,227
16,87
16,228
16,41
16,229
16,229
16,230
16,231
17,232
17,233
17,234
17,235
17,236
17,237
17,238
17,239
17,240
17,241
17,242
17,243
17,244
17,245
17,246
17,247
17,248
17,249
17,250
17,251
17,252
17,253
17,254
17,255
17,256
17,257
17,256
18,258
18,259
18,260
18,261
19,87
19,262
19,263
19,157
19,264
19,63
19,8
19,265
19,266
19,267
19,268
19,9
20,269
20,270
20,271
20,272
20,273
20,274
20,275
21,276
21,277
21,278
21,279
21,280
21,41
21,281
21,282
21,283
21,284
21,285
21,286
21,287
21,288
22,289
22,47
22,44
22,42
22,43
22,49
22,59
22,61
22,290
22,51
22,52
22,291
22,292
22,50
23,293
23,294
23,295
23,296
23,297
23,298
23,299
23,300
24,301
24,302
24,303
24,304
24,305
24,306
24,307
24,308
24,309
24,310
24,311
24,312
24,313
24,313
24,308
24,309
24,314
24,315
24,316
24,317
24,318
24,319
24,320
24,321
24,322
24,323
24,79
24,324
24,325
24,326
24,327
24,328
24,329
24,330
24,331
24,332
24,302
24,333
24,316
24,334
24,335
24,336
24,337
24,338
25,339
25,340
25,341
25,342
25,343
25,344
26,345
26,346
26,347
26,348
26,349
26,350
26,351
26,352
26,353
26,354
26,355
26,356
26,357
26,358
26,359
26,360
26,361
26,31
26,362
26,363
26,364
26,365
27,366
27,367
27,368
27,369
27,370
27,119
27,371
27,372
27,373
27,374
27,375
27,376
27,299
27,377
27,378
27,379
28,380
28,381
28,382
28,383
28,384
28,385
28,386
28,186
28,387
28,388
28,389
28,390
28,391
28,392
28,32
28,393
28,394
28,395
28,396
29,397
29,382
29,398
29,399
29,400
29,401
29,402
29,84
29,403
29,404
29,230
29,405
29,406
30,407
30,408
30,409
30,410
30,411
30,412
30,413
30,414
30,415
30,416
30,417
30,418
30,419
30,420
30,421
30,422
30,423
30,424
30,425
30,426
30,427
30,428
31,41
31,429
31,43
31,42
31,262
31,47
31,430
32,431
32,42
32,432
32,433
32,434
32,435
33,436
33,437
33,438
33,439
33,439
33,440
33,441
34,442
34,443
34,444
34,160
34,41
34,445
34,446
34,447
35,448
35,449
35,240
35,450
35,451
35,452
35,453
35,454
35,455
35,456
35,457
35,458
35,459
35,41
35,460
35,448
35,461
35,462
35,73
35,463
35,464
35,269
35,465
35,466
