country,1,2,3,4,5,6,7,8,9,10
0,displaystyle,measurement,high,different,example,temperatures,heat,usually,effect,results
1,space,science technology,country,centre,century,industrial,established,world,building,later
2,methods,studies,information,include,social,generally,use,processes,form,approach
3,february,april,january,november,august,december,march,september,october,july
4,science,university,institute,national,technology,research,year,school,united,award
5,series,documentary,film,episode,release,star,news,channel,bbc,hosted
6,references,described,book,nature,scientist,theories,scientific,like,work,idea
