country,1,2,3,4,5,6,7,8,9,10
0,series,film,episode,documentary,release,star,science,channel,premiered,fox
1,journal,method,studies,references,information,case,social,generally,includes,results
2,april,february,january,november,march,july,june,august,december,september
3,described,book,idea,scientists,theories,nature,scientific,work,like,view
4,technology,innovation,engineering,countries,space,established,industrial,science technology,government,world
5,displaystyle,example,heat,high,different,measurement,use,temperatures,time,effect
6,university,year,award,national,school,research,new,institute,college,united
