,Unnamed: 0,alg,country,h_cat,key_phrases,key_words,kmeans_augmented,label,lda,links,pmi,tfidf
44,44,kmeans_augmented,4,1.0,0.0,0.0,1,alcohol,0.0,0.0,0.06959597285631568,0.01479111800394657
45,45,kmeans_augmented,4,1.0,0.0,0.0,1,drinking culture,0.0,0.0,0.06784904704132001,0.014647949027834837
46,46,kmeans_augmented,4,1.0,0.0,0.0,1,alcohol by country,0.0,0.0,0.07142232888046142,0.01448445325093808
47,47,kmeans_augmented,4,1.0,0.0,0.0,1,beer,0.0,0.0,0.06613603427712374,0.01326542873796896
48,48,kmeans_augmented,4,1.0,0.0,0.0,1,drug culture,0.0,0.0,0.05681030764426755,0.012412633113109372
49,49,kmeans_augmented,4,1.0,0.0,0.0,1,distilled drinks,0.0,0.0,0.06317316509053086,0.012395188311631129
50,50,kmeans_augmented,5,1.0,0.0,0.0,1,fishing,0.0,0.0,0.3056119760906384,0.038768918345361066
51,51,kmeans_augmented,5,1.0,0.0,0.0,1,fishing industry,0.0,0.0,0.3002534812464365,0.03739773527670917
52,52,kmeans_augmented,5,1.0,0.0,0.0,1,animal-based seafood,0.0,0.0,0.2821162111224749,0.03314581600590423
53,53,kmeans_augmented,5,1.0,0.0,0.0,1,primary industries,0.0,0.0,0.1981482688247786,0.03182139419297974
54,54,kmeans_augmented,5,1.0,0.0,0.0,1,seafood,0.0,0.0,0.20423210607202205,0.02840579768991627
55,55,kmeans_augmented,5,1.0,0.0,0.0,1,edible shellfish,0.0,0.0,0.2690231846712544,0.02778014626475336
56,56,kmeans_augmented,5,1.0,0.0,0.0,1,meat,0.0,0.0,0.09756063665374036,0.02210084532658884
57,57,kmeans_augmented,5,1.0,0.0,0.0,1,maritime culture,0.0,0.0,0.20226435251453304,0.02178215291131138
58,58,kmeans_augmented,5,1.0,0.0,0.0,1,animal products,0.0,0.0,0.10872086870586856,0.021058721989199208
59,59,kmeans_augmented,5,1.0,0.0,0.0,1,animals described in the 18th century,0.0,0.0,0.21411653839674866,0.02001637788760928
60,60,kmeans_augmented,6,1.0,0.0,0.0,1,edible plants,0.0,0.0,0.07628642043029611,0.024691042857334502
61,61,kmeans_augmented,6,1.0,0.0,0.0,1,plants and humans,0.0,0.0,0.07546736060176631,0.021673339221840875
62,62,kmeans_augmented,6,1.0,0.0,0.0,1,flora by continent,0.0,0.0,0.07593480664594061,0.020201165084040372
63,63,kmeans_augmented,6,1.0,0.0,0.0,1,plant products,0.0,0.0,0.06884944164541422,0.01927304193597117
64,64,kmeans_augmented,6,1.0,0.0,0.0,1,types of food,0.0,0.0,0.061987981895879535,0.01855294065688176
65,65,kmeans_augmented,6,1.0,0.0,0.0,1,vegan cuisine,0.0,0.0,0.06010832018261818,0.01831930011958506
66,66,kmeans_augmented,6,1.0,0.0,0.0,1,ethnobotany,0.0,0.0,0.06774522122698011,0.01826931883964017
67,67,kmeans_augmented,6,1.0,0.0,0.0,1,crops,0.0,0.0,0.06704249621566817,0.01771172898401133
68,68,kmeans_augmented,6,1.0,0.0,0.0,1,flora by country,0.0,0.0,0.06873324918934381,0.017485154830650804
69,69,kmeans_augmented,6,1.0,0.0,0.0,1,flora of asia,0.0,0.0,0.06394347862224102,0.015635979400597654
70,70,kmeans_augmented,0,1.0,0.0,0.0,1,chemical substances,0.0,0.0,0.06754766644125529,0.013690068470499457
71,71,kmeans_augmented,1,1.0,0.0,0.0,1,european cuisine,0.0,0.0,0.03694369111358858,0.013417173900167544
72,72,kmeans_augmented,1,1.0,0.0,0.0,1,foods by cooking technique,0.0,0.0,0.03662273804962399,0.01252950490293804
73,73,kmeans_augmented,2,1.0,0.0,0.0,1,chefs by nationality,0.0,0.0,0.04922910182714274,0.008856856390931625
74,74,kmeans_augmented,2,1.0,0.0,0.0,1,chefs,0.0,0.0,0.0486163973618784,0.00870477076545372
75,75,kmeans_augmented,3,1.0,0.0,0.0,1,categories by company,0.0,0.0,0.02890011370502148,0.00881782744784813
76,76,kmeans_augmented,4,1.0,0.0,0.0,1,beer by country,0.0,0.0,0.05833416639474285,0.011362774650978059
77,77,kmeans_augmented,5,1.0,0.0,0.0,1,fauna by sea or ocean,0.0,0.0,0.2145227981214744,0.01904854742862861
78,78,kmeans_augmented,5,1.0,0.0,0.0,1,crustaceans,0.0,0.0,0.21186616904257066,0.01895545028047938
79,79,kmeans_augmented,5,1.0,0.0,0.0,1,edible crustaceans,0.0,0.0,0.2083935753180037,0.01850430321638209
80,80,kmeans_augmented,5,1.0,0.0,0.0,1,crustaceans and humans,0.0,0.0,0.2083935753180037,0.01850430321638209
81,81,kmeans_augmented,5,1.0,0.0,0.0,1,fish by year of formal description,0.0,0.0,0.2074672940583152,0.018141622400545208
82,82,kmeans_augmented,6,1.0,0.0,0.0,1,biota of asia,0.0,0.0,0.06180076564479463,0.014631308835271806
83,0,kmeans_augmented,0,0.0,1.0,0.0,1,food,0.0,0.0,0.016979003767434813,0.0041821928898867705
84,1,kmeans_augmented,0,0.0,1.0,0.0,1,protein,0.0,0.0,0.01953569428277497,0.0037740844431867603
85,2,kmeans_augmented,0,0.0,1.0,0.0,1,acid,0.0,0.0,0.019137006644350987,0.003697062311693153
86,3,kmeans_augmented,0,0.0,1.0,0.0,1,diet,0.0,0.0,0.01835019262944804,0.003673040723084753
87,4,kmeans_augmented,0,0.0,1.0,0.0,1,intake,0.0,0.0,0.01938807524464131,0.003485995073626704
88,5,kmeans_augmented,0,0.0,1.0,0.0,1,process,0.0,0.0,0.016064872010292955,0.0031906230157113355
89,6,kmeans_augmented,0,0.0,1.0,0.0,1,glucose,0.0,0.0,0.017579595416308068,0.0031286918464967983
90,7,kmeans_augmented,0,0.0,1.0,0.0,1,reaction,0.0,0.0,0.017392594884846686,0.003080769346024477
91,8,kmeans_augmented,0,0.0,1.0,0.0,1,fda,0.0,0.0,0.017064064758938333,0.0030627395010223765
92,9,kmeans_augmented,0,0.0,1.0,0.0,1,health,0.0,0.0,0.016491559177596704,0.003049864957641082
93,10,kmeans_augmented,1,0.0,1.0,0.0,1,dish,0.0,0.0,0.01832693917915756,0.006492930306944007
94,11,kmeans_augmented,1,0.0,1.0,0.0,1,meat,0.0,0.0,0.01523138054469481,0.005419187154836221
95,12,kmeans_augmented,1,0.0,1.0,0.0,1,bread,0.0,0.0,0.013427592723480505,0.004508024935872507
96,13,kmeans_augmented,1,0.0,1.0,0.0,1,cooked,0.0,0.0,0.013134792022200676,0.004382931545616126
97,14,kmeans_augmented,1,0.0,1.0,0.0,1,cuisine,0.0,0.0,0.013102821923663209,0.004353199775122989
98,15,kmeans_augmented,1,0.0,1.0,0.0,1,served,0.0,0.0,0.01290231782711748,0.004324447877770721
99,16,kmeans_augmented,1,0.0,1.0,0.0,1,cheese,0.0,0.0,0.012172223775675766,0.0040528367707670715
