country,0,1,2,3,4,5,6,7,8,9
0,media news,world journalism,us media world,"journalism in the united states, professional media,",conspiracy,media world of us,media hype,military media,journalists and new sources,
1,mass media communications,different types of communication,media information,information distribution,news,ad making,world of media,media sciences,,
2,news light,broadcasting networks,media corporations,broadcasting and personalities,media broadcasting,media corporation,media sources,media outlets of the united states,media outlet,media companies
3,video technology,,,,,,,,,
4,media outlets in india,indian media,,,,,,,,
5,video and music events,music application,production credits,mass media world,media types,limelight,entertainment media,music streaming,,
6,media outlets outside of the united states,broadcast media,news channels worldwide,"news stations, news groups",international media,media brands,media outlets,,,
