,group_id,h_cat_pmi,h_cat_tfidf,key_phrases_pmi,key_phrases_tfidf,key_words_pmi,key_words_tfidf,label,lda_pmi,lda_prob,lda_tfidf,links_pmi,links_tfidf,score
35,food_kmeans_plain_4,0.0,0.0,0.0,0.0,0.0,0.0,atlantic ocean,0.0,0.0,0.0,0.4387586788906364,0.035532808634240465,
36,food_kmeans_plain_4,0.0,0.0,0.0,0.0,0.0,0.0,crustacean,0.0,0.0,0.0,0.4356180904522613,0.03437085118540153,0.3333333333333333
37,food_kmeans_plain_4,0.0,0.0,0.0,0.0,0.0,0.0,family,0.0,0.0,0.0,0.3224753207662679,0.03338875427748958,
38,food_kmeans_plain_4,0.0,0.0,0.0,0.0,0.0,0.0,common name,0.0,0.0,0.0,0.34834779960408097,0.032321729267393864,
39,food_kmeans_plain_4,0.0,0.0,0.0,0.0,0.0,0.0,black sea,0.0,0.0,0.0,0.3619808443929047,0.02756709744339951,
40,food_kmeans_plain_4,0.0,0.0,0.0,0.0,0.0,0.0,mediterranean sea,0.0,0.0,0.0,0.33047590895654744,0.02539288340372971,
41,food_kmeans_plain_4,0.0,0.0,0.0,0.0,0.0,0.0,aquaculture,0.0,0.0,0.0,0.3000124589891607,0.02325765636268541,
42,food_kmeans_plain_6,0.07612675226764047,0.02464944998268968,0.0,0.0,0.0,0.0,edible plants,0.0,0.0,0.0,0.0,0.0,0.72
43,food_kmeans_plain_6,0.07529928756907918,0.021636829768327818,0.0,0.0,0.0,0.0,plants and humans,0.0,0.0,0.0,0.0,0.0,0.2
44,food_kmeans_plain_6,0.07575792110355307,0.020167135556333718,0.0,0.0,0.0,0.0,flora by continent,0.0,0.0,0.0,0.0,0.0,0.08
45,food_kmeans_plain_6,0.06869386948574815,0.01924057586226585,0.0,0.0,0.0,0.0,plant products,0.0,0.0,0.0,0.0,0.0,0.64
46,food_kmeans_plain_6,0.06185298621745789,0.018521687617490387,0.0,0.0,0.0,0.0,types of food,0.0,0.0,0.0,0.0,0.0,0.76
47,food_kmeans_plain_6,0.05997865330177734,0.018288440655371368,0.0,0.0,0.0,0.0,vegan cuisine,0.0,0.0,0.0,0.0,0.0,
