,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,JavaScript,Communications protocols,Web development,browser,HTML,web,browsers,web browser,use,World Wide Web Consortium,version,support,Application layer protocols,Web software,server,client,World Wide Web,Software,user,,,,,,
1,research,social,online,crowdsourcing,The New York Times,Main topic classifications,social media,Society,book,information,people,world,work,community,university,Information,Internet Archive,Computing and society,Technology in society,blog,,,,,
2,Online services,Internet companies,E-commerce,website,awards,YouTube,Entertainment websites,video,company,launched,announced,music,app,official,San Francisco,e-commerce,online,service,Websites by topic,United States,eBay,,,,
3,The Guardian,website,united,Crimes,states,use,information,Internet culture,privacy,Computer law,malware,Cybercrime,reported,law,Twitter,user,internet,government,content,Internet ethics,Facebook,,,,
4,board,Wikipedia,project,Living people,founded,Jimmy Wales,Wikimedia Foundation,Survivors,new,january,Victims,wikipedia,People by status,wikimedia,English Wikipedia,references,wikimedia_foundation,Wikipedia community,Life,article,march,foundation,articles,,
5,IT infrastructure,Telecommunications by country,provide,domains,Information technology by country,exchange,country code,access,Domain name system,domain,level domain,iana,external_links,ICANN,network,internet,Internet,service,Internet by country,top-level domain,ccTLD,,,,
6,Internet search engines,search,online advertising,web search engine,website,Search engine software,Advertising by medium,search engine,company,advertising,yahoo,Digital marketing,Google,search_engine,user,advertisers,marketing,service,Yahoo!,google,Online advertising,,,,
