,0,1,2,3,4,5,6,7,8,9
0,user software,back-end technology,web communication,scripts,security types,world of web software,web technology,internet education,web based tech,
1,net world,world wide web,society and internet,internet and technology,internet culture,human,"nope, everything was covered",business introduction web page,,
2,net world,online entertainment sphere,"online entertainment, entertainment",web,internet medai,digital media,website fun world,internet fun world,internet based media,online entertainment channels
3,websites,internet protection and defense,internet crimes,a lot about internet,conspiracy theories,online piracy,internet policy,facebook,internet boundaries,internet crime
4,wikis and news,information sites,high status people,,,,,,,
5,world wide web,domain world,web domains,cyberspace,internet protocol,internet pioneer's,information,,,
6,sponsored search results,,,,,,,,,
