article_id,label_id
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,7
0,10
0,4
0,11
0,3
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
2,34
2,35
2,36
2,37
2,38
2,39
2,40
2,41
2,42
2,43
2,44
2,45
2,46
2,47
2,48
2,49
2,50
2,51
2,52
2,53
2,54
2,55
2,56
2,57
2,58
2,47
2,59
3,60
3,61
3,62
3,63
3,64
3,65
3,66
3,67
3,68
3,69
3,70
3,60
3,71
3,72
3,73
3,74
3,75
3,76
3,77
3,78
3,79
3,80
3,81
3,82
3,83
3,84
3,85
3,86
4,60
4,87
4,88
4,89
4,90
4,91
4,92
4,93
4,94
4,95
4,96
4,97
4,98
4,99
4,100
4,101
4,102
4,76
4,77
4,81
4,82
4,83
4,66
4,85
4,86
4,64
4,103
4,21
4,20
4,104
4,105
4,106
4,107
4,108
4,109
4,110
5,111
5,112
5,113
5,114
5,115
5,116
5,117
5,118
5,119
5,120
5,121
5,122
5,123
5,124
5,125
5,126
5,127
5,128
5,129
5,130
5,131
5,132
5,133
5,134
5,135
5,136
6,137
6,138
6,139
6,140
6,138
6,141
6,142
6,143
6,144
6,145
6,146
6,147
6,148
6,149
6,141
6,150
6,151
6,152
6,153
6,154
6,155
6,156
6,157
6,125
6,158
6,159
6,160
6,161
6,162
6,163
6,164
6,165
7,60
7,166
7,89
7,167
7,168
7,169
7,170
7,65
7,95
7,171
7,172
7,173
7,82
7,83
7,174
7,96
7,60
7,93
7,166
7,175
7,176
7,177
7,178
7,179
7,177
7,180
7,181
8,64
8,182
8,183
8,184
8,185
8,186
8,83
8,84
8,174
8,187
8,188
8,189
8,190
8,191
8,192
8,193
8,194
8,195
9,196
9,197
9,198
9,199
9,200
9,201
9,202
9,203
9,204
9,205
9,206
9,207
9,208
9,209
9,210
9,211
9,212
9,213
9,214
9,215
10,216
10,217
10,182
10,218
10,219
10,220
10,221
10,222
10,223
10,224
10,225
10,226
10,227
10,228
10,229
10,230
10,231
10,232
10,233
10,234
10,235
10,236
10,237
10,238
10,239
10,240
10,137
10,241
10,242
10,243
10,161
10,244
11,245
11,246
11,247
11,248
11,249
11,250
11,251
11,252
11,253
11,254
11,255
11,256
11,257
11,258
11,259
11,260
11,261
11,262
11,263
11,264
11,265
11,266
11,267
11,268
11,269
11,270
11,95
11,271
11,272
11,273
12,274
12,182
12,275
12,276
12,277
12,278
12,279
12,280
12,281
12,282
12,283
12,284
12,285
12,286
12,287
13,288
13,289
13,290
13,291
13,292
13,293
13,294
13,295
13,296
13,297
13,298
13,299
13,300
13,301
13,302
13,303
13,304
13,305
14,306
14,148
14,307
14,308
14,309
14,310
14,311
14,312
14,313
14,314
14,315
14,316
14,305
14,317
14,318
14,319
15,320
15,321
15,322
15,323
15,324
15,325
15,326
15,327
15,328
16,329
16,330
16,331
16,332
16,333
16,334
16,335
16,336
16,337
16,338
16,339
16,340
16,341
16,342
17,343
17,344
17,345
17,346
17,347
17,348
17,349
17,350
17,351
17,352
18,353
18,354
18,355
18,356
18,357
18,358
18,359
18,360
18,361
18,362
18,363
18,364
18,365
18,366
18,367
18,368
19,369
19,370
19,371
19,372
19,373
19,374
19,222
19,17
19,375
19,376
19,377
19,378
19,379
19,380
19,381
19,382
19,383
19,384
19,385
19,386
19,387
19,388
19,389
19,390
19,391
19,392
19,393
19,394
19,395
19,396
19,397
19,398
19,161
19,399
20,400
20,401
20,124
20,402
20,403
20,404
20,405
20,406
20,407
20,408
20,409
20,410
20,411
20,409
20,412
20,413
20,408
20,414
20,415
20,416
20,417
20,418
20,419
20,420
20,421
20,422
20,423
21,424
21,425
21,426
21,427
21,428
21,429
21,430
21,431
21,432
21,433
21,434
21,435
21,436
21,437
21,438
21,439
21,440
21,302
21,441
21,442
23,91
23,443
23,444
23,445
23,92
23,446
23,447
23,81
23,84
23,83
23,448
23,77
23,449
23,450
23,64
24,372
24,64
24,451
24,452
24,453
24,454
24,455
24,456
24,174
24,96
24,457
24,458
24,98
24,459
24,460
24,461
24,73
24,462
24,193
24,463
24,194
24,464
24,465
24,466
24,195
24,467
24,468
25,300
25,469
25,470
25,471
25,472
25,473
25,474
25,475
25,476
25,477
25,302
25,442
25,478
25,479
