article_id,popularity_score
0,842304
1,90453
2,73026
3,48264
4,222185
5,467950
6,461814
7,7823
8,63207
9,268534
10,205186
11,68619
12,965926
13,55360
14,43563
15,7921
16,62398
17,17396
18,500449
19,822202
20,423058
21,28644
22,35548
23,70637
24,71971
25,50980
26,2735839
27,5446
28,48234
29,10893
30,406547
31,35072
32,32307
33,454957
34,8308
35,165690
36,48924
37,77477
38,172826
39,350545
40,8235
41,9856
42,20360
43,36314
44,10176
45,13178
46,4748
47,637
48,3036
49,1334
50,429
51,2893
52,5245
53,803
54,1267
55,1526
56,1569
57,5702
58,4016
59,1037
60,876
61,843
62,2266
63,2499
64,1149
65,1023
66,1641
67,1108
68,1844
69,1424
70,2580
71,3926
72,1250
73,389
74,2485
75,1203
76,746
77,3116
78,4044
79,1523
80,2843
81,1064
82,3491
83,1004
84,913
85,1048
86,1343
87,1897
88,352
89,1850
90,440
91,2371
92,518
93,590
94,457
95,2665
96,1714
97,886
98,2196
99,617
100,1233
101,860
102,4196
103,640
104,833
105,4239
106,429
107,1327
108,4035
109,2039
110,2666
111,2483
112,3099
113,2025
114,1935
115,1676
116,4481
117,4824
118,912
119,585
120,2402
121,1876
122,10390
123,8650
124,7783
125,28954
126,10306
127,1316479
128,18603
129,2250
130,6052
131,26516
132,1615
133,1185337
134,11811
135,16371
136,116939
137,15208
138,31034
139,102307
140,7222
141,2152
142,20052
143,24489
144,20901
145,11941
146,15115
147,4016
148,11659
149,13979
150,902002
151,8449
152,22326
153,34425
154,18953
155,8972
156,35197
157,10005
158,3318922
159,13318
160,345672
161,42044
162,30778
163,33115
164,18636
165,853761
166,16230
167,26991
168,14240
169,29366
170,92861
171,317690
172,169589
173,32499
174,82142
175,179273
176,560728
177,35613
178,107642
179,3113
180,524025
181,29151
182,105704
183,363207
184,1060570
185,145885
186,8569
187,3022
188,15101
189,214598
190,335850
191,74816
192,103507
193,32414
194,3255
195,6586
196,2208
197,161546
198,10897
199,49684
200,10888
201,64196
202,150609
203,2422
204,31157
205,247231
206,26210
207,89883
208,4472
209,141841
210,1766
211,753143
212,1059748
213,12687
214,79217
215,5769
216,15300
217,16375
218,119662
219,92814
220,429108
221,603843
222,12901
223,236549
224,22226
225,30393
226,695665
