,country,label_id,label,tfidf,pmi
0,0,2213,newspapers,0.014388047456553641,0.044296643392954804
1,0,846,paper,0.010814877247466185,0.04183968959443472
2,0,485,publisher,0.009531356258991817,0.03322035439901469
3,1,385,media,0.009145779234894062,0.02406195182475506
4,0,569,editor,0.008715988374252435,0.031732719481114946
5,0,302,publication,0.008235747530467996,0.026762323974818605
6,0,572,editions,0.007838426566784901,0.03420743780193793
7,1,5154,russian,0.007809896887807323,0.040906462906949645
8,0,602,circulation,0.007780462694276027,0.034918838684077094
9,1,311,government,0.007524857796760518,0.027615044875419464
10,1,95,freedom,0.007432482398094575,0.04171748526810941
11,0,208,news,0.007038930408021019,0.017673105539889274
12,0,233,daily,0.006967869680921908,0.026194052707175716
13,6,1972,channel,0.006934416458260948,0.01770128735078382
14,1,484,press,0.006919140453634924,0.02252306863339395
15,1,1086,broadcasting,0.006870941048030288,0.02140115305381412
16,3,72,award,0.006790458454833335,0.01918930357001958
17,0,80,weekly,0.006556166002199803,0.027656125975929178
18,1,1185,countries,0.006498666963149932,0.02693332342044286
19,6,663,launched,0.0064284544863924716,0.01741391440398404
20,1,1400,agency,0.00642506934749461,0.031642803808422715
21,5,288,uses,0.0060256168249531936,0.02371387716091393
22,6,2129,network,0.0059060579652776704,0.015275673825513356
23,4,263,television,0.005861425546673656,0.021163396100635827
24,3,182,life,0.005709853173031363,0.017624261800318463
25,1,2599,journalists,0.00568970362990038,0.023687436508353192
26,1,1957,european,0.005647739133101482,0.028957645978922572
27,4,7729,cbc,0.005489866850461604,0.06398196593565623
28,4,1782,required,0.005406627259835934,0.0371442354076218
29,6,1371,programming,0.0053428310729244435,0.014733919732408325
30,5,706,standards,0.005333604231911427,0.029397748595069714
31,4,11740,lenses,0.005299712651142949,0.08781102656271883
32,4,2197,cameras,0.005220649618917514,0.05454200374842827
33,4,4774,toronto,0.005199905061006587,0.04480891890443265
34,4,1377,set,0.0051564890725981135,0.02889747158645736
35,3,269,years,0.005151384679544721,0.013094843036566542
36,6,2437,service,0.005121502178235835,0.013588755071445906
37,6,84,company,0.0050579794562549,0.01238690140093337
38,4,10262,frame,0.005021320858204492,0.05930592207939616
39,4,1988,stations,0.005008041396814191,0.02235575410558107
40,4,351,films,0.004998658456695281,0.022258975949279856
41,3,668,john,0.004969732718306355,0.014911547731842776
42,3,289,worked,0.00496461096926534,0.01515365361050411
43,6,1992,announced,0.004815088988195071,0.013546819722218113
44,6,1690,operations,0.004690747426901205,0.013312890652752315
45,5,82,video,0.004672226188049591,0.0187552855914822
46,6,686,january,0.004657739762837927,0.012854994442437795
47,5,29,audio,0.004547334362553643,0.028372164056269196
48,6,143,united,0.00452192866417258,0.011078439073848971
49,3,457,school,0.004470764736964075,0.014501562152496128
50,5,1519,developed,0.0044059445087557495,0.018584614581644406
51,3,155,time,0.004382901926424444,0.010647558971439706
52,3,2488,york,0.0043518779675270885,0.013604553514071064
53,3,66,university,0.0043505515015119295,0.01169676503097212
54,5,3133,allow,0.004230078079488325,0.01948893200262195
55,5,328,formats,0.004182215712838244,0.02523157678605916
56,2,2552,information,0.004144123643434945,0.012068358899791966
57,2,4459,studies,0.004127891897177557,0.014282005577777422
58,2,435,communication,0.004126205728320047,0.013083613336995526
59,2,399,references,0.004083798721450598,0.01072681122012773
60,3,1039,president,0.004057690720240229,0.01178501329129845
61,5,8108,discs,0.00404288711349706,0.031717010026841845
62,5,1736,systems,0.0040415814631075105,0.024270066177481207
63,2,3864,social,0.003987558304657648,0.013397103234792176
64,5,1712,technology,0.00397603870363076,0.017511937993914286
65,2,67,people,0.003969690556570433,0.011801903080400229
66,2,791,example,0.0038982416848412213,0.012725894530638113
67,2,105,states,0.003895793825528693,0.009941452981142343
68,2,310,research,0.0037277269773587024,0.012436313680769572
69,2,2126,culture,0.00358845160150221,0.011593376182146224
