,project,cluster_alg,cluster_num,label_name,exposures,count,share,borda,avg_borda
72,food,kmeans_plain,5,dish,32,10,0.3125,32,1.0
73,food,kmeans_plain,5,served,32,2,0.0625,5,0.15625
74,food,kmeans_plain,5,abalone,32,2,0.0625,5,0.15625
75,food,kmeans_plain,5,sugar,32,1,0.03125,4,0.125
76,food,kmeans_plain,5,cheese,32,1,0.03125,2,0.0625
77,food,kmeans_plain,5,meat,32,4,0.125,11,0.34375
78,food,kmeans_plain,5,salmon,32,1,0.03125,5,0.15625
79,food,kmeans_plain,5,preparation,32,7,0.21875,16,0.5
80,food,kmeans_plain,5,occur,32,0,0.0,0,0.0
81,food,kmeans_plain,5,pork,32,0,0.0,0,0.0
82,food,kmeans_plain,5,cuisine_by_region,32,16,0.5,53,1.65625
83,food,kmeans_plain,5,cuisine_by_country,32,17,0.53125,56,1.75
84,media,kmeans_plain,6,claim,26,3,0.11538461538461539,9,0.34615384615384615
85,media,kmeans_plain,6,states,26,1,0.038461538461538464,3,0.11538461538461539
86,media,kmeans_plain,6,reporting,26,21,0.8076923076923077,81,3.1153846153846154
87,media,kmeans_plain,6,president,26,0,0.0,0,0.0
88,media,kmeans_plain,6,isbn,26,0,0.0,0,0.0
89,media,kmeans_plain,6,cbs,26,0,0.0,0,0.0
90,media,kmeans_plain,6,pulitzer_prize,26,2,0.07692307692307693,4,0.15384615384615385
91,media,kmeans_plain,6,msnbc,26,1,0.038461538461538464,1,0.038461538461538464
92,media,kmeans_plain,6,propaganda,26,11,0.4230769230769231,37,1.4230769230769231
93,media,kmeans_plain,6,life,26,1,0.038461538461538464,5,0.19230769230769232
94,media,kmeans_plain,6,american,26,3,0.11538461538461539,8,0.3076923076923077
95,media,kmeans_plain,6,production,26,2,0.07692307692307693,6,0.23076923076923078
96,media,kmeans_plain,6,politics_of_the_united_states,26,8,0.3076923076923077,24,0.9230769230769231
97,media,kmeans_plain,6,media_in_the_united_states,26,21,0.8076923076923077,87,3.3461538461538463
98,media,kmeans_plain,6,new_york_times,26,1,0.038461538461538464,3,0.11538461538461539
99,media,kmeans_plain,6,the_new_york_times,26,2,0.07692307692307693,4,0.15384615384615385
100,media,kmeans_plain,6,american_journalists,26,18,0.6923076923076923,53,2.0384615384615383
