,article_id,label_id,tfidf
0,0,0,0.005614215897231198
1,27,0,0.005614215897231198
2,49,0,0.005614215897231198
3,96,0,0.005614215897231198
4,0,1,0.001520390098237145
5,0,2,0.002986516787063856
6,577,2,0.002986516787063856
7,0,3,0.001520390098237145
8,0,4,0.018619883204419284
9,2,4,0.018619883204419284
10,13,4,0.018619883204419284
11,183,4,0.018619883204419284
12,249,4,0.018619883204419284
13,249,4,0.018619883204419284
14,303,4,0.018619883204419284
15,560,4,0.018619883204419284
16,561,4,0.018619883204419284
17,584,4,0.018619883204419284
18,778,4,0.018619883204419284
19,778,4,0.018619883204419284
20,964,4,0.018619883204419284
21,1756,4,0.018619883204419284
22,1756,4,0.018619883204419284
23,1759,4,0.018619883204419284
24,1765,4,0.018619883204419284
25,0,5,0.002986516787063856
26,249,5,0.002986516787063856
27,0,6,0.00289038290503875
28,49,6,0.00289038290503875
29,0,7,0.002986516787063856
30,13,7,0.002986516787063856
31,0,8,0.002986516787063856
32,13,8,0.002986516787063856
33,0,9,0.001520390098237145
34,0,10,0.0013339738211072352
35,0,11,0.0028473564806627276
36,2427,11,0.0028473564806627276
37,0,12,0.0039562805239677
38,20,12,0.0039562805239677
39,91,12,0.0039562805239677
40,0,13,0.001493258393531928
41,0,14,0.002986516787063856
42,102,14,0.002986516787063856
43,0,15,0.007512983685357179
44,36,15,0.007512983685357179
45,318,15,0.007512983685357179
46,485,15,0.007512983685357179
47,544,15,0.007512983685357179
48,544,15,0.007512983685357179
49,0,16,0.001520390098237145
50,0,17,0.001520390098237145
51,0,18,0.001520390098237145
52,55,19,0.001445191452519375
53,55,20,0.0014236782403313638
54,55,25,0.001445191452519375
55,2,27,0.004404898933941401
56,249,27,0.004404898933941401
57,584,27,0.004404898933941401
58,2,28,0.001520390098237145
59,2,29,0.001520390098237145
60,2,30,0.001520390098237145
61,2,31,0.001520390098237145
62,2,32,0.0023013828371616987
63,189,32,0.0023013828371616987
64,2,33,0.001520390098237145
65,2,34,0.0023189512044624137
66,1496,34,0.0023189512044624137
67,2,35,0.0026679476422144703
68,544,35,0.0026679476422144703
69,2,36,0.001520390098237145
70,2,37,0.001520390098237145
71,2,38,0.0022514653393921097
72,469,38,0.0022514653393921097
73,2,39,0.00276930026428979
74,215,39,0.00276930026428979
75,2,40,0.004210661922923398
76,13,40,0.004210661922923398
77,1756,40,0.004210661922923398
78,2,41,0.005467308462673812
79,124,41,0.005467308462673812
80,577,41,0.005467308462673812
81,1029,41,0.005467308462673812
82,2,42,0.001445191452519375
83,2,43,0.001520390098237145
84,2,44,0.004271034720994092
85,49,44,0.004271034720994092
86,469,44,0.004271034720994092
