country,0,1,2,3,4,5,6,7,8,9
0,news media of india,media in india,media companies of india,media in india by medium,media in india by city,indian,hindi,channels,,
1,news,media by country,media in europe by country,broadcast,bbc,radio station,newspaper,establishments by year and country,establishments by country and year,edition
2,entertainment,arts,filmmaking,broadcasting,film,youtube,films,production,features,artists
3,mass media,communication,communication studies,social media,marketing,information,advertising,studies,social sciences,humanities
4,media technology,information and communications technology,electronics,digital media,formats,video,systems,introduce,audio,single
5,broadcasting,media companies of the united states,television broadcasting companies of the united states,television in the united states,programming,media companies by year of establishment,network,cable television,stations,platform
6,media in the united states,reporting,american journalists,propaganda,politics of the united states,claim,post,production,american,life
