country,1,2,3,4,5,6,7,8,9,10
0,museum,technology,designed,project,building,space,exhibits,features,located,center
1,abstracts,products,disciplines,indexes,databases,environmental,title,publishes,issn,ocean
2,examples,references,results,information,methods,study,way,social,theories,data
3,displaystyle,measurements,use,effect,surface,different,form,point,structure,materials
4,ceased,print,heaven,gregory,book,christians,sagan,entire,god,edited
5,film,november,john,series,february,april,released,robert,american,documentary
6,university,research,science,institute,national,society,year,award,new,education
