country,label_name,tfidf,pmi
0,radio stations in india by state or union territory,0.028905251062534613,0.21398951620980938
4,songs by genre and artist nationality,0.02053709095933235,0.07914254586055665
3,connotation,0.019370788249821632,0.054471783223936227
1,establishments by year and country,0.010934111229231155,0.031952961933623666
5,jewish american entertainers,0.008954701927828313,0.03293939884517835
2,bias,0.007981519310790035,0.023022377046724506
6,american art,0.004916284079437301,0.01406477069694719
