country,0,1,2,3,4,5,6,7,8,9
0,internet providers,telenet,network signals,,,,,,,
1,internet usage,humor based sites,online media,internet media,social media,internet entertainment,internet pop culture,internet memes through the years,influencers,internet scandalous
2,virtual commerce,online media,web technology,noo,media corporations,web companies and services,silicon valley,online commerce,internet world,
3,internet activities,software,surveillance,deep web,"file sharing, digital currency",domain,internet world ethics,,,
4,web world,web technology,internet ethics,internet world,"data processors, end to end encryption",web clients,,,,
5,internet analytics,internet tools,web technology,"internet, internet terms,",internet technology,e-commerce,internet terminology,informatics,seo,
6,,,,,,,,,,
