article_id,country_0,country_1,country_2,country_3,country_4,country_5,country_6,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,vector_32,vector_33,vector_34,vector_35,vector_36,vector_37,vector_38,vector_39,vector_40,vector_41,vector_42,vector_43,vector_44,vector_45,vector_46,vector_47,vector_48,vector_49,vector_50,vector_51,vector_52,vector_53,vector_54,vector_55,vector_56,vector_57,vector_58,vector_59,vector_60,vector_61,vector_62,vector_63,vector_64,vector_65,vector_66,vector_67,vector_68,vector_69,vector_70,vector_71,vector_72,vector_73,vector_74,vector_75,vector_76,vector_77,vector_78,vector_79,vector_80,vector_81,vector_82,vector_83,vector_84,vector_85,vector_86,vector_87,vector_88,vector_89,vector_90,vector_91,vector_92,vector_93,vector_94,vector_95,vector_96,vector_97,vector_98,vector_99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0026100000000000003,0.39923200000000003,0.9172739999999999,-0.628351,-0.431992,-0.275382,-0.14061099999999999,0.46381700000000003,-0.21783400000000003,0.20835,0.679135,-0.363091,-1.023983,0.113294,0.00028,0.7826350000000001,1.0975549999999998,0.31851399999999996,0.32611100000000004,-0.9378129999999999,0.479067,0.245155,-0.25642600000000004,-0.6693979999999999,-0.536162,0.202719,-0.582859,0.17641099999999998,0.685852,0.61873,0.42005699999999996,-1.200412,-0.5115609999999999,-0.33042,-0.222782,0.7810560000000001,0.0963,-0.189576,0.5150560000000001,0.015531999999999999,0.5447529999999999,0.214856,-0.35191999999999996,-0.025769,-0.08062799999999999,0.319139,0.5923149999999999,0.581086,0.29704400000000003,-0.0055780000000000005,-0.182044,-0.505161,0.631827,-0.177574,0.062172000000000005,0.223743,-0.130965,-0.366623,-0.9995790000000001,-0.543717,0.547832,-0.10791700000000001,0.413641,0.187644,-0.081195,0.702821,0.21403000000000003,-0.15329600000000002,-0.42902700000000005,0.411221,-0.418416,0.407992,0.053483,-0.638939,-1.00892,-0.516686,0.010315000000000001,-0.267534,-1.1239709999999998,0.148556,-0.403391,0.607101,0.024364,-0.036253,0.175604,0.618537,-0.66688,-0.15346300000000002,-0.228917,-0.08439400000000001,0.5872539999999999,0.011136,-0.266752,-0.24757800000000002,-0.321765,-0.267441,0.134003,-0.687,-0.3282,0.307946
7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.158998,0.46782799999999997,1.270953,-0.711052,-0.460442,0.175926,0.087117,-0.53056,0.238102,-0.10279500000000001,0.56005,0.4151,-0.9734700000000001,-0.603395,0.068734,0.11311099999999999,0.616762,0.010748,0.8560909999999999,-0.420534,-0.076744,0.182169,-0.055933000000000004,-0.544509,-0.598804,0.06500700000000001,-0.556293,-0.48111000000000004,0.340577,-0.13000699999999998,0.221018,-0.542619,-0.811288,-0.255718,-0.737571,0.412988,-0.382276,0.24262399999999998,0.589453,0.154639,1.017862,0.38216300000000003,-0.19603900000000002,-0.072758,-0.004011,0.671454,1.449368,0.299002,0.14663099999999998,0.327748,0.230012,-0.576908,0.44070299999999996,0.162544,0.343406,0.345088,0.671391,-0.41146400000000005,-0.611781,-0.595536,0.609987,-0.01375,0.169537,0.25107399999999996,0.008692,0.690458,1.0452110000000001,-0.250927,0.029064,0.12148900000000001,0.37952600000000003,-0.031131,-0.35730500000000004,-0.537626,-0.794357,-0.8459139999999999,0.093455,-0.256914,-0.659193,-0.687597,0.072913,0.140792,0.013366,0.727765,-0.091568,0.8512280000000001,0.39805799999999997,-0.035502,-0.707603,-0.886558,0.144867,-0.171843,0.314434,-0.044176,-0.240352,0.326524,0.128107,-0.717104,0.019197,0.590987
17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.350563,0.141836,0.666177,0.056358000000000005,0.324177,-0.149341,-0.026836000000000002,-0.004063000000000001,-0.49593000000000004,0.10017999999999999,0.137232,0.47056400000000004,-0.775438,-0.037401,0.403047,-0.115177,0.9349459999999999,-0.119306,1.395821,-0.299196,0.7673399999999999,0.165965,-0.978419,-0.269219,-1.094169,-0.5015,-0.008731000000000001,-0.02054,0.641494,0.229687,1.0051430000000001,-0.26158200000000004,-1.51721,-0.111326,-0.825141,0.979079,0.322823,-0.23410100000000003,0.7157789999999999,-0.079437,0.097755,0.080708,0.09776900000000001,-0.5946779999999999,0.590771,0.628663,-0.29838200000000004,0.255304,0.095351,0.491472,0.081295,-0.76537,0.048373,-0.21796,-0.523513,-0.126958,0.310052,-0.239019,-0.516755,-0.194876,0.217687,0.429672,0.223716,0.19230899999999998,0.225525,-0.034767,0.418284,-0.07236000000000001,-0.15395599999999998,0.05196900000000001,0.025811,0.4116,0.10974300000000001,0.116078,-1.1089129999999998,-1.3562020000000001,0.22053899999999999,-0.052114,-0.933263,0.297469,-0.022685,0.8597940000000001,-0.626844,0.054275,-0.277419,0.6699729999999999,-0.656483,0.121528,-0.032243,-0.32712600000000003,0.23641199999999998,0.193605,-0.077847,-0.24559899999999998,-0.499337,0.573638,0.090922,-0.9826090000000001,-0.331042,-0.389942
25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.093764,-0.10254100000000001,0.875302,-0.527043,-0.355932,-0.348094,-0.09780599999999999,-0.582313,0.201728,0.534129,0.317266,-0.0553,-0.28571399999999997,-0.58873,0.637853,-0.089554,0.52432,0.399741,-0.016943,-0.25264899999999996,-0.302638,-0.239761,0.086286,-0.273491,-0.76094,-0.192575,-0.45296800000000004,-0.10714100000000001,0.528578,0.49595500000000003,0.029655,-0.645238,-0.602709,0.231896,-0.9020799999999999,0.354638,-0.08532200000000001,0.001854,0.29823,-0.245009,0.397701,-0.159742,-0.302225,-0.184755,-0.11103900000000001,0.154935,0.763834,0.24189899999999998,0.079419,0.324941,0.016356,-0.248772,0.039643,-0.09728300000000001,-0.050315,0.13034400000000002,0.516178,-0.198765,-0.425833,-0.587019,0.47476199999999996,0.140952,0.0792,0.183901,-0.302039,0.556688,0.073462,-0.164634,-0.29230700000000004,0.127985,-0.084428,0.22894099999999998,0.13029100000000002,-0.026463,-0.377148,-0.30144099999999996,-0.1185,-0.442072,-0.42478599999999994,-0.256262,-0.497367,0.209546,-0.140739,0.493117,-0.33419699999999997,0.554298,0.039204,-0.14086400000000002,0.557178,-0.312325,-0.034460000000000005,-0.23306,0.228742,0.024114,-0.490433,0.397215,-0.556629,0.175729,-0.121683,0.278246
45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.152255,0.08584,0.663989,-0.273661,0.150504,-0.371345,-0.395058,-0.32909099999999997,0.45926000000000006,0.57224,0.161211,0.38360900000000003,-0.42493800000000004,-0.077451,0.21008400000000002,-0.0010869999999999999,0.253513,-0.196164,0.375178,-0.099655,0.305394,-0.073412,-0.41902700000000004,-0.138014,-0.924215,-0.088348,-0.026186,0.158622,0.343893,0.3424,0.373614,-0.9926940000000001,-0.24418,-0.184558,-0.809463,0.381323,0.045447,0.066203,0.22603499999999999,-0.06591,0.266004,-0.27305100000000004,-0.24846500000000002,0.15154,0.447694,0.5822109999999999,0.181308,0.524891,-0.15162899999999999,0.48218599999999995,0.387779,0.024145,-0.249239,-0.020511,0.030889,0.185874,0.33333,-0.21394899999999997,-0.700275,-0.35934499999999997,0.024328,0.386258,-0.209204,0.22581700000000002,-0.266088,0.376114,0.414483,-0.486849,-0.036116,-0.00725,-0.21239499999999997,-0.28584699999999996,0.275879,-0.201388,-0.36278,-0.387369,-0.172321,-0.5820390000000001,-0.598979,-0.552977,-0.402909,-0.038633999999999995,0.18332,-0.288325,-0.347951,0.543818,-0.10943399999999999,-0.204952,0.122299,0.05848,0.19811600000000001,0.252333,-0.044688,0.565944,-0.689071,0.195204,-0.47843500000000005,-0.435881,0.277095,0.063835
54.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14823599999999998,0.45095,0.857022,-0.662641,-0.18598599999999998,-0.250882,0.096798,-0.276665,-0.06154400000000001,0.390704,0.252703,-0.217408,-0.749711,-0.497176,0.407594,0.226708,0.624262,0.060519,0.21095300000000003,-0.348559,0.387918,0.365821,0.234348,-0.80967,-0.59282,-0.11775899999999999,-0.242159,-0.253448,0.767486,-0.053815999999999996,0.285823,-0.115601,-0.481396,-0.22474899999999998,-0.590117,0.352308,-0.071612,0.344252,0.53109,-0.1436,0.505057,-0.097611,-0.591765,-0.002561,-0.26390399999999997,0.10267899999999999,0.568774,0.104495,-0.387183,0.50451,0.043426,-0.14927,0.13963599999999998,-0.248869,-0.220121,-0.335662,0.16846,-0.121449,-0.699692,-0.188501,0.39613200000000004,0.23296999999999998,0.051494000000000005,0.36456,0.207288,0.398366,0.36125300000000005,-0.193996,-0.14948399999999998,0.600766,0.063348,-0.15645699999999998,-0.074351,-0.275361,-0.29929,-0.913858,0.121019,-0.132389,-0.682435,-0.387785,-0.259754,0.011848000000000001,-0.009634,0.264606,-0.005138,0.367238,0.041979,-0.11893900000000002,0.173247,0.199767,0.45272700000000005,0.129645,0.18264,0.497802,-0.23620700000000003,-0.044334,0.121065,-0.241642,-0.263255,0.12453399999999999
61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.537397,-0.100699,0.882699,-0.35775,0.017206,-0.325073,-0.17799600000000002,-0.385778,0.359991,0.195775,0.7056319999999999,0.174997,-0.209446,-0.292995,0.33067399999999997,0.70728,0.994158,0.27164,-0.043155,-0.059188,0.44591499999999995,-0.303735,0.18015599999999998,-0.11023800000000002,-0.712477,0.161425,-0.465796,0.265716,0.482038,0.227042,0.320186,-0.281627,-0.79814,0.27432,-0.8886360000000001,0.24060399999999998,0.058935,-0.17288800000000001,0.304956,0.005568,0.42247700000000005,-0.08003099999999999,-0.042341000000000004,-0.111799,-0.160841,0.485314,0.56513,0.161048,0.080198,0.325042,-0.06423,0.06373999999999999,0.33074899999999996,-0.047869999999999996,0.14748699999999998,0.018824,0.383234,-0.23454099999999997,-0.724023,-0.213781,0.27889899999999995,-0.012643999999999999,0.276183,0.211325,-0.48252399999999995,0.46496499999999996,-0.033541,-0.261287,-0.462553,0.20975500000000002,-0.2739,0.21180500000000002,0.33261799999999997,-0.30401999999999996,-0.422349,-0.248664,-0.16528800000000002,-0.6997869999999999,-0.488592,-0.546061,-0.264138,0.427637,0.113549,0.049069,-0.38364699999999996,0.417887,-0.149426,-0.322125,0.21792199999999998,0.06794299999999999,0.14346,-0.054565999999999996,0.181395,0.14828,-0.222975,0.650303,-0.386639,-0.312692,-0.659243,-0.051641
71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11655399999999999,0.187176,1.1729559999999999,-0.9548190000000001,-0.6181939999999999,-0.18094100000000002,-0.271862,-0.087381,-0.634955,0.159396,0.9416129999999999,0.370618,-1.3226209999999998,-0.37966,0.146493,0.334879,0.743645,-0.0901,0.651931,-1.14392,0.058661000000000005,0.12572,0.131182,-0.366514,-0.931076,-0.42899799999999993,-0.331827,-0.233731,0.6091449999999999,-0.24525999999999998,0.628029,-0.86462,-0.46924,-0.620711,-0.5801229999999999,0.49346599999999996,-0.65471,-0.07971900000000001,0.8852959999999999,0.24480700000000002,1.044825,0.254835,-0.8641139999999999,-0.08848099999999999,-0.10658800000000002,0.409035,0.7801060000000001,1.056182,-0.373927,0.309604,-0.035933,-0.07486,0.47125900000000004,-0.431138,-0.319714,-0.042102999999999995,0.303111,-0.47010100000000005,-0.790136,-0.086248,0.48582200000000003,0.184352,0.084614,0.22947399999999998,0.084652,0.9573459999999999,0.532285,-0.297129,0.41098100000000004,0.430303,0.026378,0.243589,-0.304531,-0.19426400000000002,-1.197331,-1.003903,0.061233,-0.167931,0.440066,0.07913200000000001,0.046998000000000005,0.703142,-0.416846,0.22527399999999997,0.47641000000000006,0.44951800000000003,0.436363,-0.39168600000000003,-0.33665900000000004,-0.17984,0.634596,0.329599,-0.19808299999999998,-0.173274,0.098474,0.265232,-0.06340499999999999,-0.212323,-0.363075,-0.004684000000000001
76.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.10189,0.12376400000000001,0.665651,-0.42918500000000004,-0.028156,-0.374448,-0.27519099999999996,-0.483487,0.369792,0.5879220000000001,0.42142700000000005,0.141596,-0.133747,-0.650559,0.304875,-0.098311,0.783255,0.399174,0.073685,-0.30307399999999995,-0.16323,-0.12053499999999999,-0.162956,-0.369165,-0.634296,-0.633532,-0.21934,0.089659,0.567926,0.480253,-0.016304,-0.315295,-0.6659649999999999,-0.17463299999999998,-0.548276,0.22719099999999998,-0.064214,0.130209,0.11018399999999999,-0.196027,0.232923,-0.197181,-0.130331,-0.087993,-0.18879,0.27678600000000003,0.807104,0.177045,0.235125,0.36425599999999997,-0.005593,-0.136374,-0.160668,-0.00965,-0.184949,0.223627,0.499541,-0.249108,-0.46765200000000007,-0.403599,0.5746439999999999,0.043586,-0.268465,0.204354,-0.461369,0.5584140000000001,0.590074,-0.058525,-0.127707,-0.09759,-0.44918500000000006,-0.014412999999999999,0.244488,-0.118124,-0.410714,-0.508446,-0.321179,-0.40726999999999997,-0.573425,-0.140373,-0.266013,0.18896300000000002,-0.255814,0.174421,-0.311339,0.548149,0.323345,-0.144011,0.147085,-0.224863,0.167462,-0.1238,0.140435,0.46971599999999997,-0.09724400000000001,0.323423,-0.261502,0.134407,-0.561565,0.342549
77.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27362800000000004,0.047295,1.101897,-0.419162,-0.106705,-0.46937399999999996,-0.209581,-0.359721,0.748807,0.068548,1.057596,0.512726,-0.4321,-0.402773,0.365504,0.052652,0.743313,0.491346,0.655662,-0.012493,-0.056466999999999996,0.24751399999999998,0.143824,-0.048806,-0.679457,0.309384,0.012738,0.06884900000000001,0.786397,0.314612,-0.171689,-0.077321,-0.275084,0.05388099999999999,-0.621869,0.347413,-0.015649,-0.030994999999999998,-0.05411900000000001,0.218156,0.392372,0.208837,-0.303741,-0.064618,-0.294041,0.330212,0.42402399999999996,-0.0035549999999999996,-0.161692,0.648938,0.267121,-0.330778,-0.22916999999999998,0.05365399999999999,-0.090788,-0.220896,0.039399,-0.194386,-0.793322,0.321429,0.48707,0.29069,0.5347529999999999,-0.05459,-0.154673,0.47922,0.541768,-0.258957,-0.037156,0.171195,0.32024400000000003,0.284376,0.223246,-0.72623,-0.45828199999999997,-0.596158,-0.069728,-0.84596,-0.38688,0.449298,-0.038527,0.611161,-0.319154,0.311819,-0.045079,-0.23245,0.053921000000000004,-0.123356,-0.11506400000000001,0.12638,0.23545,0.63255,-0.527606,0.383627,-0.297157,0.500502,-0.706059,0.06049500000000001,-0.432259,-0.27129200000000003
