,article_id,label_id,tfidf
32972,1753,12129,0.003299709969421398
32973,1428,12130,0.006421519558199681
32974,2164,12130,0.006421519558199681
32975,2164,12130,0.006421519558199681
32976,4431,12130,0.006421519558199681
32977,1428,12131,0.0016749592481237483
32978,1428,12132,0.0048802839030586374
32979,1810,12132,0.0048802839030586374
32980,2735,12132,0.0048802839030586374
32981,1428,12133,0.0016749592481237483
32982,1428,12134,0.0016749592481237483
32983,1428,12135,0.003299709969421398
32984,2164,12135,0.003299709969421398
32985,1428,12136,0.003299709969421398
32986,2164,12136,0.003299709969421398
32987,4233,12372,0.0016267613010195457
32988,1559,10026,0.0016267613010195457
32989,4748,12392,0.0016053798895499201
32990,4049,12397,0.0015493625743621079
32991,1503,12584,0.001649854984710699
32992,1503,12585,0.0016749592481237483
32993,2616,12593,0.0016267613010195457
32994,2955,12738,0.001649854984710699
32995,2228,12896,0.001649854984710699
32996,1559,12909,0.006421519558199681
32997,2893,12909,0.006421519558199681
32998,3572,12909,0.006421519558199681
32999,3740,12909,0.006421519558199681
33000,1559,12910,0.0016749592481237483
33001,1559,12911,0.0016267613010195457
33002,1559,12912,0.0016749592481237483
33003,1559,12913,0.003299709969421398
33004,3261,12913,0.003299709969421398
33005,1559,12914,0.001585474271694481
33006,1559,12915,0.0016749592481237483
33007,1559,12916,0.0016749592481237483
33008,4324,12924,0.0016267613010195457
33009,3249,12936,0.001585474271694481
33010,2438,12987,0.003170948543388962
33011,4748,12987,0.003170948543388962
33012,1576,12994,0.0016749592481237483
33013,1576,12995,0.0016749592481237483
33014,1576,12996,0.0048802839030586374
33015,2530,12996,0.0048802839030586374
33016,2807,12996,0.0048802839030586374
33017,1576,12997,0.0016749592481237483
33018,1576,12998,0.0016749592481237483
33019,1576,12999,0.0016749592481237483
33020,1576,13000,0.0016749592481237483
33021,1577,13001,0.003299709969421398
33022,4104,13001,0.003299709969421398
33023,1577,13002,0.0016749592481237483
33024,1577,13003,0.0016749592481237483
33025,1579,13018,0.0016749592481237483
33026,1579,13019,0.0016749592481237483
33027,1580,13020,0.001649854984710699
33028,1580,13021,0.0016749592481237483
33029,1580,13022,0.0016749592481237483
33030,1580,13023,0.0048802839030586374
33031,2931,13023,0.0048802839030586374
33032,4092,13023,0.0048802839030586374
33033,1580,13024,0.0016749592481237483
33034,1580,13025,0.001649854984710699
33035,4529,13033,0.0016053798895499201
33036,1586,13036,0.0016749592481237483
33037,1586,13037,0.0016749592481237483
33038,1586,13038,0.0016749592481237483
33039,1587,13039,0.003299709969421398
33040,2200,13039,0.003299709969421398
33041,1587,13040,0.0016749592481237483
33042,1587,13041,0.0016749592481237483
33043,3295,13239,0.001649854984710699
33044,1627,13311,0.0016749592481237483
33045,4049,13600,0.0015668538097390365
33046,1677,13614,0.0016749592481237483
33047,1677,13615,0.0016749592481237483
33048,1677,13616,0.0016749592481237483
33049,1677,13617,0.0016749592481237483
33050,1677,13618,0.001649854984710699
33051,1677,13619,0.0016749592481237483
33052,1677,13620,0.0016749592481237483
33053,3800,13731,0.0016267613010195457
33054,1699,13753,0.001649854984710699
33055,1699,1384,0.0016749592481237483
33056,1699,13754,0.0032535226020390913
33057,3261,13754,0.0032535226020390913
33058,1699,13755,0.0016749592481237483
33059,1699,13756,0.0016749592481237483
33060,1699,13757,0.0016749592481237483
33061,2477,13874,0.007586360426469767
33062,3193,13874,0.007586360426469767
33063,4104,13874,0.007586360426469767
33064,4479,13874,0.007586360426469767
33065,4479,13874,0.007586360426469767
33066,1718,13878,0.0016749592481237483
33067,1718,13879,0.0016749592481237483
33068,1718,13880,0.0016749592481237483
33069,1718,13881,0.001649854984710699
33070,1718,13882,0.0016749592481237483
33071,1718,13883,0.0016749592481237483
33072,1730,13969,0.003299709969421398
33073,3645,13969,0.003299709969421398
33074,1730,13970,0.0016749592481237483
33075,1734,13987,0.0016749592481237483
33076,1734,13988,0.0016749592481237483
33077,1734,13989,0.0016749592481237483
33078,1735,13990,0.001649854984710699
33079,1735,13991,0.0016749592481237483
33080,1735,13992,0.001649854984710699
33081,1735,13993,0.0016749592481237483
33082,1735,13994,0.0016749592481237483
33083,1992,14022,0.001649854984710699
33084,1753,14126,0.003299709969421398
33085,3393,14126,0.003299709969421398
33086,1753,1009,0.003299709969421398
33087,1810,1009,0.003299709969421398
33088,1753,14127,0.0016749592481237483
33089,1753,14128,0.0016749592481237483
33090,1753,14129,0.0048802839030586374
33091,2081,14129,0.0048802839030586374
33092,2082,14129,0.0048802839030586374
33093,1757,14139,0.0016749592481237483
33094,1768,14194,0.0016749592481237483
33095,3354,14218,0.0016267613010195457
33096,2616,14225,0.0015668538097390365
33097,1780,14256,0.0016749592481237483
33098,1780,14257,0.004816139668649761
33099,2419,14257,0.004816139668649761
33100,2425,14257,0.004816139668649761
33101,2800,14258,0.001649854984710699
33102,1788,14289,0.001649854984710699
33103,1788,14290,0.003299709969421398
33104,1788,14290,0.003299709969421398
33105,1788,14291,0.0016749592481237483
33106,1788,14292,0.0016749592481237483
33107,1788,14293,0.0016267613010195457
33108,1788,14294,0.0016749592481237483
33109,1788,14295,0.0016749592481237483
33110,1788,14296,0.003299709969421398
33111,4478,14296,0.003299709969421398
33112,1788,14297,0.0016749592481237483
33113,1788,14298,0.0016749592481237483
33114,1789,14299,0.003299709969421398
33115,1939,14299,0.003299709969421398
33116,1789,14300,0.0016749592481237483
33117,1789,14301,0.0016749592481237483
33118,1789,14302,0.0016749592481237483
33119,3648,14341,0.0016267613010195457
33120,1802,14379,0.0016749592481237483
33121,1809,14426,0.006421519558199681
33122,2419,14426,0.006421519558199681
33123,4429,14426,0.006421519558199681
33124,4430,14426,0.006421519558199681
33125,1809,14427,0.007927371358472407
33126,1810,14427,0.007927371358472407
33127,1822,14427,0.007927371358472407
33128,4429,14427,0.007927371358472407
33129,4430,14427,0.007927371358472407
33130,1809,14428,0.0016749592481237483
33131,1809,14429,0.0016749592481237483
33132,1809,14430,0.003299709969421398
33133,1810,14430,0.003299709969421398
33134,1809,14431,0.0016749592481237483
33135,1810,14432,0.0016749592481237483
33136,1810,14433,0.0048802839030586374
33137,2409,14433,0.0048802839030586374
33138,2418,14433,0.0048802839030586374
33139,1810,14434,0.0016749592481237483
33140,1810,5620,0.0032535226020390913
33141,4104,5620,0.0032535226020390913
33142,1810,14435,0.0016749592481237483
33143,1810,14436,0.0016749592481237483
33144,1810,14437,0.0016749592481237483
33145,1810,14438,0.0048802839030586374
33146,4429,14438,0.0048802839030586374
33147,4430,14438,0.0048802839030586374
33148,1810,14439,0.0016749592481237483
33149,1810,14440,0.0016749592481237483
33150,1810,14441,0.0016749592481237483
33151,1810,14442,0.0016749592481237483
33152,1810,14443,0.0016749592481237483
33153,1810,14444,0.0016749592481237483
33154,1810,14445,0.0016749592481237483
33155,1810,14446,0.0016749592481237483
33156,1810,14447,0.0016749592481237483
33157,1810,14448,0.0016749592481237483
33158,1810,14449,0.0016749592481237483
33159,1810,14450,0.0016749592481237483
33160,1810,14451,0.0048802839030586374
33161,1810,14451,0.0048802839030586374
33162,3504,14451,0.0048802839030586374
33163,1810,14452,0.0016749592481237483
33164,1810,14453,0.0016749592481237483
33165,1811,14454,0.0016749592481237483
33166,1811,14455,0.0048802839030586374
33167,2614,14455,0.0048802839030586374
33168,4377,14455,0.0048802839030586374
33169,1811,1001,0.0016749592481237483
33170,1811,14456,0.0016749592481237483
33171,1811,14457,0.0016749592481237483
33172,1811,14458,0.0016749592481237483
33173,1811,14459,0.0016749592481237483
33174,1820,14493,0.003299709969421398
33175,2104,14493,0.003299709969421398
33176,1820,14494,0.0016749592481237483
33177,1820,14495,0.0016749592481237483
33178,1820,14496,0.0016749592481237483
33179,1820,14497,0.0016749592481237483
33180,1820,1003,0.0048802839030586374
33181,2800,1003,0.0048802839030586374
33182,4460,1003,0.0048802839030586374
33183,1822,14502,0.006421519558199681
33184,2614,14502,0.006421519558199681
33185,2614,14502,0.006421519558199681
33186,4104,14502,0.006421519558199681
33187,1822,14503,0.0016749592481237483
33188,1822,14504,0.0016749592481237483
33189,1822,14505,0.0016749592481237483
33190,1822,14506,0.003299709969421398
33191,1822,14506,0.003299709969421398
33192,1824,14513,0.0016749592481237483
33193,1824,14514,0.001649854984710699
33194,1824,14515,0.0016749592481237483
33195,1824,14516,0.0016749592481237483
33196,1824,14517,0.0016749592481237483
33197,1824,14518,0.0016749592481237483
33198,1824,14519,0.0015668538097390365
33199,1824,14520,0.0016749592481237483
33200,1824,14521,0.0016749592481237483
33201,2416,14525,0.001649854984710699
33202,1830,14550,0.001649854984710699
33203,1841,14598,0.0016749592481237483
33204,1841,14599,0.003299709969421398
33205,2082,14599,0.003299709969421398
33206,1841,14600,0.003299709969421398
33207,1841,14600,0.003299709969421398
33208,1841,14601,0.0016749592481237483
33209,4394,14614,0.001649854984710699
33210,4394,14615,0.001649854984710699
33211,2694,14669,0.001649854984710699
33212,2694,14745,0.001649854984710699
33213,1922,15069,0.0016267613010195457
33214,1922,15070,0.0016749592481237483
33215,1922,15071,0.001649854984710699
33216,1922,15072,0.0016749592481237483
