country,1,2,3,4,5,6,7,8,9,10
0,imdb,external_links,series,film,documentary,references,episodes,aired,channel,directed
1,research,information,methods,data,study,use,e.g.,social,authors,analysis
2,march,february,january,nasa,april,spacecraft,b.,september,december,november
3,scientific,book,evidence,science,knowledge,evolution,scientists,god,theory,people
4,science_technology,technology,national,government,innovation,country,universities,research_development,physics,industry
5,\displaystyle,surface,temperature,material,sample,particles,measurements,gas,water,liquid
6,award,museum,united_states,year,program,u.s,institute,president,prize,education
