,label,tfidf,pmi,h_cat,key_phrases,key_words,lda_label,links,augmented,LDA,plain,h_cat_tfidf,h_cat_pmi,links_tfidf,links_pmi,key_words_tfidf,key_words_pmi,key_phrases_tfidf,key_phrases_pmi,lda_tfidf,lda_pmi,share,avg_borda
31,people,0.0040311622970618894,0.013341745533790007,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.006048644507989752,0.021859496772624443,0.0,0.0,0.0,0.0,0.05263157894736842,0.15789473684210525
32,people,0.0040311622970618894,0.013341745533790007,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.006048644507989752,0.021859496772624443,0.0,0.0,0.0,0.0,0.0625,0.1875
33,people,0.0040311622970618894,0.013341745533790007,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.006048644507989752,0.021859496772624443,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857
34,people,0.006308326535398689,0.027376175972585383,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.004787255823042768,0.011980062604076778,0.0,0.0,0.0,0.0,0.05263157894736842,0.15789473684210525
35,people,0.006308326535398689,0.027376175972585383,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.004787255823042768,0.011980062604076778,0.0,0.0,0.0,0.0,0.0625,0.1875
36,people,0.006308326535398689,0.027376175972585383,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.004787255823042768,0.011980062604076778,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857
37,survivors,0.009352094075075494,0.04811564629187248,1,0,0,0,0,1,0,0,0.02175579510873972,0.10964944848393204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
38,life,0.009221204019582442,0.04588117355385983,1,0,0,0,0,1,0,0,0.01619325502532433,0.08089444005498253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.21052631578947367
39,companies_by_industry_and_year_of_establishment,0.012073334151378406,0.03379536947498805,1,0,0,0,0,1,0,0,0.018314163664127442,0.09036359600710277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.08695652173913042
40,companies_by_industry_and_year_of_establishment,0.012073334151378406,0.03379536947498805,1,0,0,0,0,1,0,0,0.018314163664127442,0.09036359600710277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.5263157894736842
41,companies_by_industry_and_year_of_establishment,0.008126624449390083,0.023011826565014576,1,0,0,0,0,1,0,0,0.02357246880615561,0.09096933399511298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.08695652173913042
42,companies_by_industry_and_year_of_establishment,0.008126624449390083,0.023011826565014576,1,0,0,0,0,1,0,0,0.02357246880615561,0.09096933399511298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.5263157894736842
43,companies_by_industry_and_year_of_establishment,0.00799970951399378,0.030743671360199832,1,0,0,0,0,1,0,0,0.02499976934725401,0.1438760793153511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.08695652173913042
44,companies_by_industry_and_year_of_establishment,0.00799970951399378,0.030743671360199832,1,0,0,0,0,1,0,0,0.02499976934725401,0.1438760793153511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.5263157894736842
45,food_product_brands,0.010679388224702059,0.031695466268059226,1,0,0,0,0,1,0,0,0.017700359163445718,0.06820522388059701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8260869565217391,3.782608695652174
46,food_and_drink_companies_by_year_of_establishment,0.01051320440853211,0.030863128952347763,1,0,0,0,0,1,0,0,0.015709919274789926,0.09287203687445128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39130434782608703,0.9565217391304348
47,brands,0.010387318513913028,0.03155160628844838,1,0,0,0,0,1,0,0,0.015299069967342776,0.0736139089826939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6086956521739131,2.3043478260869565
48,brands,0.006562885705786989,0.0196638658878052,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.005023393886359577,0.013761373940358177,0.0,0.0,0.0,0.0,0.6086956521739131,2.3043478260869565
49,establishments_in_the_united_states_by_year,0.009968341022904965,0.030695843382040008,1,0,0,0,0,1,0,0,0.01505125782053331,0.05171583029733224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.13043478260869565
50,establishments_in_the_united_states_by_year,0.009968341022904965,0.030695843382040008,1,0,0,0,0,1,0,0,0.01505125782053331,0.05171583029733224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05
51,companies_by_year_of_establishment,0.00988108976059863,0.03019701228579767,1,0,0,0,0,1,0,0,0.014433210526937532,0.0819139136951227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842
52,companies_by_year_of_establishment,0.0076664836907777405,0.025678433583689958,1,0,0,0,0,1,0,0,0.02175579510873972,0.10964944848393204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842
53,alcoholic_drinks_by_country,0.02128353758555313,0.0939387476190363,1,0,0,0,0,1,0,0,0.03927787857026761,0.17951003768991086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,1.8461538461538465
54,alcoholic_drinks,0.02058959858913212,0.08782255591771182,1,0,0,0,0,1,0,0,0.03326343081103788,0.16848409787490554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4615384615384616,1.6153846153846154
55,fermented_drinks,0.019332802272801184,0.08373093884625524,1,0,0,0,0,1,0,0,0.029690486402055818,0.10295428632215474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,1.5384615384615383
56,wine,0.015662085690639243,0.07305147446342633,1,0,0,0,0,1,0,0,0.028275294603953637,0.14723360234172492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.38461538461538464
57,wine,0.009706710180928313,0.03659026485995512,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012648871215130437,0.05415096934920914,0.0,0.0,0.07692307692307693,0.38461538461538464
58,wine,0.04604365190216866,0.22838253589052315,0,0,0,0,1,1,0,0,0.0,0.0,0.05394940079040685,0.33177281971175104,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.38461538461538464
59,alcohol,0.01479111800394657,0.06959597285631568,1,0,0,0,0,1,0,0,0.02696437547445993,0.14599105832025325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,2.3076923076923075
60,alcohol,0.006610650310846243,0.02951225431396305,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063239556947907475,0.03410403447136779,0.0,0.0,0.6923076923076923,2.3076923076923075
61,alcohol,0.005370041157228254,0.02301415663637446,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.007008629332491878,0.03465437590503069,0.0,0.0,0.0,0.0,0.6923076923076923,2.3076923076923075
62,beer,0.01326542873796896,0.06613603427712374,1,0,0,0,0,1,0,0,0.02455283425234011,0.14037941273396035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693
63,beer,0.009137705038899845,0.03584132413312311,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.007411553320307665,0.03611196594117565,0.0,0.0,0.07692307692307693,0.07692307692307693
64,beer,0.033984809777423644,0.178085433676488,0,0,0,0,1,1,0,0,0.0,0.0,0.029369485516240825,0.1953882798599552,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693
65,fishing,0.038768918345361066,0.3056119760906384,1,0,0,0,0,1,0,0,0.01587425571303066,0.07730040904991038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0
66,fishing,0.008739167781702046,0.06664485294593793,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0039813130267352575,0.016034812060106592,0.0,0.0,0.0,0.0,0.6,2.0
67,fishing_industry,0.03739773527670917,0.3002534812464365,1,0,0,0,0,1,0,0,0.01579246108042346,0.06784872703475976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.4
68,animal-based_seafood,0.03314581600590423,0.2821162111224749,1,0,0,0,0,1,0,0,0.014465812319099047,0.06614419406391099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2
69,primary_industries,0.03182139419297974,0.1981482688247786,1,0,0,0,0,1,0,0,0.01320674453100204,0.08002230103928372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,seafood,0.02840579768991627,0.20423210607202205,1,0,0,0,0,1,0,0,0.012264683320788316,0.07413964609361454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.0
71,meat,0.02210084532658884,0.09756063665374036,1,0,0,0,0,1,0,0,0.012073657093277665,0.04631090232299948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.27586206896551724
72,meat,0.005419187154836221,0.01523138054469481,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.005339725720187588,0.01769915188989618,0.0,0.0,0.10344827586206896,0.27586206896551724
73,meat,0.012918481566768171,0.039772737911154224,0,0,0,0,1,1,0,0,0.0,0.0,0.011396339290240098,0.04895723276764951,0.0,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.27586206896551724
74,meat,0.009509494034781421,0.02407144684512873,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007848896924029704,0.01947740286023704,0.10344827586206896,0.27586206896551724
75,edible_plants,0.024691042857334502,0.07628642043029611,1,0,0,0,0,1,0,0,0.010862144712395612,0.03341715296666789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8636363636363636,3.0909090909090913
76,plants_and_humans,0.021673339221840875,0.07546736060176631,1,0,0,0,0,1,0,0,0.010653134400312757,0.03469098886374604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2272727272727273,0.5909090909090909
77,flora_by_continent,0.02020116508404037,0.07593480664594061,1,0,0,0,0,1,0,0,0.010382776313294649,0.029795682790503163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456
78,plant_products,0.01927304193597117,0.06884944164541422,1,0,0,0,0,1,0,0,0.00932415592037843,0.037593066439220287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6818181818181818,2.4545454545454546
79,types_of_food,0.018552940656881758,0.061987981895879535,1,0,0,0,0,1,0,0,0.00874717990886107,0.031044245300098142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,2.5454545454545454
80,protein,0.0037740844431867603,0.01953569428277497,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004048590525224343,0.010175192102164634,0.0,0.0,0.0,0.0
81,protein,0.016679134681321674,0.09403102881616916,0,0,0,0,1,1,0,0,0.0,0.0,0.026034031450829945,0.06855512095641278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,acid,0.003697062311693153,0.019137006644350987,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034381772653836076,0.008882249923489922,0.0,0.0,0.0,0.0
83,acid,0.014310116997715618,0.04471955744421767,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015207473140262957,0.041418042934918256,0.0,0.0
84,diet,0.003673040723084753,0.01835019262944804,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033536004165888172,0.00868643532533069,0.0,0.0,0.125,0.1875
85,intake,0.003485995073626704,0.01938807524464131,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033096819350702496,0.008643895835261177,0.0,0.0,0.1875,0.625
86,process,0.0031906230157113355,0.016064872010292955,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.003306126245362301,0.008640730537634646,0.0,0.0,0.08333333333333333,0.4166666666666667
87,process,0.004367620865852312,0.015208388986373441,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004829738432769987,0.01848185752625734,0.0,0.0,0.08333333333333333,0.4166666666666667
88,dish,0.006492930306944007,0.01832693917915756,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.006388661010663902,0.023118142862929663,0.0,0.0,0.3448275862068966,1.1724137931034482
89,bread,0.004508024935872507,0.013427592723480505,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051584840148955185,0.01817575137291309,0.0,0.0,0.03448275862068965,0.13793103448275862
90,bread,0.01623767315590427,0.05014981884683429,0,0,0,0,1,1,0,0,0.0,0.0,0.015589017298497763,0.06787357056453902,0.0,0.0,0.0,0.0,0.0,0.0,0.03448275862068965,0.13793103448275862
91,bread,0.010296275685059059,0.025934175480132705,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008325390114272614,0.020202245594252058,0.03448275862068965,0.13793103448275862
92,cooked,0.004382931545616126,0.013134792022200676,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004878128470496138,0.01810617416654394,0.0,0.0,0.2413793103448276,0.8965517241379308
93,cooked,0.005757983204255658,0.015109004261541138,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.006288565313439088,0.019135737320477887,0.0,0.0,0.0,0.0,0.2413793103448276,0.8965517241379308
94,served,0.004324447877770721,0.01290231782711748,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004441101255402052,0.01731669520460285,0.0,0.0,0.13793103448275862,0.3103448275862069
95,served,0.005553897776001025,0.013850235860722909,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.006215624198025268,0.02167618862358776,0.0,0.0,0.0,0.0,0.13793103448275862,0.3103448275862069
96,cheese,0.0040528367707670715,0.012172223775675766,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004083559092163925,0.017003096915467034,0.0,0.0,0.10344827586206896,0.3103448275862069
97,cheese,0.014860129568042491,0.04591066915611818,0,0,0,0,1,1,0,0,0.0,0.0,0.014159357034121231,0.06134282100004746,0.0,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.3103448275862069
98,restaurant,0.010497654740684946,0.03822255967588172,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.007283634428491939,0.042742095140804966,0.0,0.0,0.5714285714285714,2.142857142857143
99,restaurant,0.007792713564424363,0.02857981633167803,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0055172551945729216,0.03163967534075656,0.0,0.0,0.0,0.0,0.5714285714285714,2.142857142857143
100,restaurant,0.031003629801738337,0.17743146004872146,0,0,0,0,1,1,0,0,0.0,0.0,0.01699396477154137,0.1229692335630625,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,2.142857142857143
101,chef,0.006721071207783909,0.03593242508214135,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067797977573403655,0.03666464101414234,0.0,0.0,0.42857142857142855,1.2857142857142858
102,chef,0.006979572637414401,0.033295021637560145,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.005389368165602023,0.02856327269855135,0.0,0.0,0.0,0.0,0.42857142857142855,1.2857142857142858
103,chef,0.0333484406841358,0.2128993510773873,0,0,0,0,1,1,0,0,0.0,0.0,0.022354376434172627,0.1657910344452881,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.2857142857142858
104,kitchen,0.00443772618706743,0.024508403605885645,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.006447126909858227,0.03987406931109147,0.0,0.0,0.8571428571428571,3.0
105,kitchen,0.005862805343535585,0.029558545469331836,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.004889249058616829,0.012642509452569384,0.0,0.0,0.0,0.0,0.8571428571428571,3.0
106,london,0.004360146103289114,0.02284555822586706,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.006058438859397384,0.0379412718493407,0.0,0.0,0.0,0.0
108,street,0.0042245811034375535,0.022282895900470383,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.005991799055938885,0.030166573883161307,0.0,0.0,0.0,0.0
109,building,0.004202569423514644,0.02377335988639244,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004730153541952906,0.028280015872823663,0.0,0.0,0.0,0.0
110,building,0.01005043718674572,0.024854830195098897,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01861063349775951,0.05473335086491715,0.0,0.0
111,new_york_city,0.0041852451147324395,0.024025238493693632,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.003953368903569413,0.02501054486171109,0.0,0.0,0.0,0.0
112,new_york_city,0.0041852451147324395,0.024025238493693632,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.003953368903569413,0.02501054486171109,0.0,0.0,0.05263157894736842,0.05263157894736842
114,new_york_city,0.040903583547626916,0.2450389646534929,0,0,0,0,1,1,0,0,0.0,0.0,0.023743293692844083,0.17686031608639566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,new_york_city,0.040903583547626916,0.2450389646534929,0,0,0,0,1,1,0,0,0.0,0.0,0.023743293692844083,0.17686031608639566,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842
117,new_york_city,0.02427838377588417,0.09884991544950207,0,0,0,0,1,1,0,0,0.0,0.0,0.022354376434172627,0.1657910344452881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,new_york_city,0.02427838377588417,0.09884991544950207,0,0,0,0,1,1,0,0,0.0,0.0,0.022354376434172627,0.1657910344452881,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842
120,opened,0.004007815748157541,0.019300930459507364,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.003777361547678828,0.02580834201264209,0.0,0.0,0.0,0.0
121,opened,0.00680162779088041,0.024689479821549527,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.005181145658310454,0.032029556465861184,0.0,0.0,0.0,0.0,0.0,0.0
122,company,0.009737606668058807,0.02738426830703173,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.005796662286568566,0.032428629174805226,0.0,0.0,0.2608695652173913,0.7826086956521741
123,company,0.009737606668058807,0.02738426830703173,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.005796662286568566,0.032428629174805226,0.0,0.0,0.1,0.2
124,company,0.009737606668058807,0.02738426830703173,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.005796662286568566,0.032428629174805226,0.0,0.0,0.15789473684210525,0.2631578947368421
125,company,0.009737606668058807,0.02738426830703173,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.005796662286568566,0.032428629174805226,0.0,0.0,0.2608695652173913,0.8260869565217391
126,company,0.00780603530836548,0.020268680967625158,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.005198755082743456,0.02054417281701621,0.0,0.0,0.0,0.0,0.2608695652173913,0.7826086956521741
127,company,0.00780603530836548,0.020268680967625158,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.005198755082743456,0.02054417281701621,0.0,0.0,0.0,0.0,0.1,0.2
128,company,0.00780603530836548,0.020268680967625158,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.005198755082743456,0.02054417281701621,0.0,0.0,0.0,0.0,0.15789473684210525,0.2631578947368421
129,company,0.00780603530836548,0.020268680967625158,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.005198755082743456,0.02054417281701621,0.0,0.0,0.0,0.0,0.2608695652173913,0.8260869565217391
