,cluster_num,label_name,tfidf,project,cluster_alg,avg_borda,h_cat,key_words,key_phrases,links,lda,h_cat_tfidf,key_words_tfidf,key_phrases_tfidf,links_tfidf,lda_tfidf
0,1,world,0.07309066932202063,internet,LDA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07309066932202063,0.0,0.0,0.0
1,1,work,0.06704722658909465,internet,LDA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06704722658909465,0.0,0.0,0.0
2,1,society,0.06808817047841033,internet,LDA,0.2307692307692308,1.0,0.0,0.0,0.0,0.0,0.06808817047841033,0.0,0.0,0.0,0.0
3,1,blog,0.07309066932202063,internet,LDA,0.7692307692307693,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07309066932202063,0.0
4,1,people,0.12855089650313578,internet,LDA,0.7692307692307693,1.0,1.0,1.0,0.0,0.0,0.12855089650313578,0.12855089650313578,0.12855089650313578,0.0,0.0
5,1,people,0.12855089650313578,internet,kmeans_augmented,0.1875,1.0,1.0,1.0,0.0,0.0,0.12855089650313578,0.12855089650313578,0.12855089650313578,0.0,0.0
6,1,internet archive,0.07309066932202063,internet,LDA,2.1538461538461537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,online,0.06920095872819985,internet,LDA,0.4615384615384616,0.0,1.0,1.0,0.0,0.0,0.0,0.06920095872819985,0.06920095872819985,0.0,0.0
8,1,social,0.07039624860164698,internet,LDA,0.07692307692307693,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07039624860164698,0.0,0.0
9,1,community,0.07039624860164698,internet,LDA,0.2307692307692308,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07039624860164698
10,1,main topic classifications,0.06920095872819985,internet,LDA,0.38461538461538464,1.0,0.0,0.0,0.0,0.0,0.06920095872819985,0.0,0.0,0.0,0.0
11,1,crowdsourcing,0.07309066932202063,internet,LDA,1.3846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,university,0.06920095872819985,internet,LDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1,information,0.06344813705176869,internet,LDA,2.3076923076923075,1.0,1.0,1.0,1.0,0.0,0.06344813705176869,0.06344813705176869,0.06344813705176869,0.06344813705176869,0.0
14,1,computing and society,0.07309066932202063,internet,LDA,1.7692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1,social media,0.06920095872819985,internet,LDA,0.6153846153846154,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.06920095872819985,0.06920095872819985,0.0
16,1,the new york times,0.1340944531781893,internet,LDA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1340944531781893,0.0
17,1,the new york times,0.1340944531781893,internet,kmeans_augmented,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1340944531781893,0.0
18,1,book,0.1384019174563997,internet,LDA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1384019174563997,0.0,0.0
19,1,book,0.1384019174563997,internet,kmeans_augmented,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1384019174563997,0.0,0.0
20,1,technology in society,0.07309066932202063,internet,LDA,2.4615384615384617,1.0,0.0,0.0,0.0,0.0,0.07309066932202063,0.0,0.0,0.0,0.0
21,1,research,0.06808817047841033,internet,LDA,0.3076923076923077,0.0,1.0,1.0,0.0,0.0,0.0,0.06808817047841033,0.06808817047841033,0.0,0.0
22,1,features,0.06808817047841033,internet,kmeans_plain,0.08,0.0,1.0,1.0,0.0,0.0,0.0,0.06808817047841033,0.06808817047841033,0.0,0.0
23,1,music,0.06704722658909465,internet,kmeans_plain,0.16,0.0,1.0,1.0,1.0,1.0,0.0,0.06704722658909465,0.06704722658909465,0.06704722658909465,0.06704722658909465
24,1,youtube,0.06704722658909465,internet,kmeans_augmented,0.3125,0.0,1.0,1.0,1.0,0.0,0.0,0.06704722658909465,0.06704722658909465,0.06704722658909465,0.0
25,1,post,0.06920095872819985,internet,kmeans_augmented,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06920095872819985,0.0,0.0,0.06920095872819985
26,1,times,0.06920095872819985,internet,kmeans_augmented,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06920095872819985,0.0,0.0,0.0
27,1,rfc,0.06920095872819985,internet,kmeans_augmented,0.25,0.0,1.0,1.0,0.0,1.0,0.0,0.06920095872819985,0.06920095872819985,0.0,0.06920095872819985
28,1,entertainment websites,0.07039624860164698,internet,kmeans_augmented,2.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1,video,0.06704722658909465,internet,kmeans_augmented,0.0,1.0,1.0,1.0,1.0,0.0,0.06704722658909465,0.06704722658909465,0.06704722658909465,0.06704722658909465,0.0
30,1,websites by topic,0.07039624860164698,internet,kmeans_augmented,1.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1,browser,0.07039624860164698,internet,kmeans_plain,0.76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07039624860164698,0.0,0.0
32,1,world wide web consortium,0.07039624860164698,internet,kmeans_plain,1.56,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07039624860164698,0.0
33,1,javascript,0.07039624860164698,internet,kmeans_plain,0.76,0.0,1.0,1.0,1.0,0.0,0.0,0.07039624860164698,0.07039624860164698,0.07039624860164698,0.0
