topic,label0,prob0,label1,prob1,label2,prob2,label3,prob3,label4,prob4,label5,prob5,label6,prob6,label7,prob7,label8,prob8,label9,prob9
0,served,0.011,history,0.01,dish,0.01,dishes,0.009,cuisine,0.008,meat,0.008,fish,0.007,cooked,0.007,list,0.007,traditional,0.007
1,rice,0.013,brand,0.012,food,0.008,product,0.006,isbn,0.006,world,0.006,series,0.005,people,0.005,companies,0.005,july,0.005
2,references,0.021,beer,0.014,called,0.009,sugar,0.008,popular,0.008,known,0.007,sweet,0.007,bacon,0.007,flavor,0.005,fruit,0.005
3,food,0.018,products,0.01,use,0.009,foods,0.008,milk,0.007,chicken,0.007,water,0.005,flour,0.005,business,0.005,started,0.005
4,external_links,0.015,species,0.01,found,0.007,plant,0.007,sauce,0.006,leaves,0.006,family,0.005,season,0.005,small,0.005,known,0.004
5,production,0.014,wine,0.01,tea,0.009,water,0.008,beer,0.007,dry,0.006,use,0.006,character,0.006,produced,0.005,alcohol,0.005
6,company,0.023,restaurant,0.013,new,0.009,brewery,0.008,sold,0.008,restaurants,0.007,group,0.006,beer,0.005,time,0.005,opened,0.005
