country,1,2,3,4,5,6,7,8,9,10
0,museum,science,exhibits,located,building,opened,center,project,list,space
1,environmental,title,text,conference_proceedings,indexing,applied,chemistry,abstracting_indexing,update,print
2,data,methods,scientific,social,study,knowledge,example,theory,evidence,information
3,surface,\displaystyle,water,particles,temperature,mass,energy,light,material,measurements
4,periodicals_ceased_operations,list_print_media_newspapers,category_print_media_newspapers,religious,heaven_hell,cosmos,ann_druyan,disc,god,carl_sagan
5,scientific_organizations_established,imdb,external_links,documentary,film,references,american,series,john,directed
6,research,university,national,institute,international,science_technology,society,government,award,president
