country,1,2,3,4,5,6,7,8,9,10
0,claim,life,find,describe,man,cbs,production,live,host,appear
1,interview,style,character,come,go,note,accord,song,case,take
2,marketing,platform,access,offer,software,industry,social_medium,site,consumer,support
3,single,develop,sensor,tape,different,introduce,number,set,digital_camera,display
4,political,national,law,washington_post,editorial,al_jazeera,editor,journalism,russian,censorship
5,broadcasting,april,fox,abc,programme,september,announce,january,nbc,studio
6,radio_station,serve,reference,edition,community,acquire,circulation,english,french,publisher
