country,1,2,3,4,5,6,7,8,9,10
0,result,model,color,effect,computer,change,develop,message,type,individual
1,march,staff,august,john,death,tell,child,washington_post,new_york,july
2,october,coverage,investigation,life,new_york_time,india,serve,community,man,publisher
3,way,format,different,social_medium,consumer,datum,process,product,design,user
4,right,june,announce,disney,entertainment,bbc_sport,game,programme,studio,live
5,license,concern,regulation,private,medium_outlet,mass_medium,independent,international,organization,control
6,photograph,meet,family,later,lead,reporter,reveal,hughe,february,police
