,Unnamed: 0,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
50,50,building engineering,0.02141681959816089,0.06776490093432687,5,1,0,0,0,0,kmeans_plain,0,0,1
51,51,industrial processes,0.021002554831236274,0.06559540316430135,5,1,0,0,0,0,kmeans_plain,0,0,1
52,52,chemistry,0.019620971018557053,0.06293150739254863,5,1,0,0,0,0,kmeans_plain,0,0,1
53,53,manufacturing,0.01798179237252455,0.05611894588653708,5,1,0,0,0,0,kmeans_plain,0,0,1
54,54,chemical engineering,0.017713276626135192,0.06587525688117933,5,1,0,0,0,0,kmeans_plain,0,0,1
55,55,materials,0.017547678037469008,0.05713431999443545,5,1,0,0,0,0,kmeans_plain,0,0,1
56,56,building materials,0.0170100749321526,0.06078331432184107,5,1,0,0,0,0,kmeans_plain,0,0,1
57,57,engineering disciplines,0.016762908315208856,0.04337652573631442,5,1,0,0,0,0,kmeans_plain,0,0,1
58,58,artificial materials,0.01561709480836886,0.05306617915428333,5,1,0,0,0,0,kmeans_plain,0,0,1
59,59,architecture,0.015564350940957697,0.054275959157915166,5,1,0,0,0,0,kmeans_plain,0,0,1
60,60,main topic classifications,0.015949830487857586,0.04920418371987267,6,1,0,0,0,0,kmeans_plain,0,0,1
61,61,technology,0.014315496461279624,0.03698621516246313,6,1,0,0,0,0,kmeans_plain,0,0,1
62,62,academic disciplines,0.012600996643901016,0.04737415094786169,6,1,0,0,0,0,kmeans_plain,0,0,1
63,63,technological change,0.01199677859280582,0.04354077393252561,6,1,0,0,0,0,kmeans_plain,0,0,1
64,64,subfields by academic discipline,0.011594698329959298,0.03710025662868133,6,1,0,0,0,0,kmeans_plain,0,0,1
65,65,society,0.011397535732577731,0.04612761119795368,6,1,0,0,0,0,kmeans_plain,0,0,1
66,66,categories by type,0.01057830655830492,0.02909565582849836,6,1,0,0,0,0,kmeans_plain,0,0,1
67,67,technology in society,0.010560966411915843,0.0422256503493935,6,1,0,0,0,0,kmeans_plain,0,0,1
68,68,humans,0.010272179128571108,0.04349853664812016,6,1,0,0,0,0,kmeans_plain,0,0,1
69,69,science,0.01024753030604783,0.04048427185503915,6,1,0,0,0,0,kmeans_plain,0,0,1
70,70,military,0.00992088730845502,0.07086593544781332,0,1,0,0,0,0,kmeans_plain,0,0,1
71,71,smartphones,0.0077262142419446105,0.03159127668231932,2,1,0,0,0,0,kmeans_plain,0,0,1
72,72,propulsion,0.026759865155923098,0.14657249536302436,3,1,0,0,0,0,kmeans_plain,0,0,1
73,73,art materials,0.008195235599504936,0.03221570791373523,4,1,0,0,0,0,kmeans_plain,0,0,1
74,74,stationery,0.007299061394491196,0.029566610146236374,4,1,0,0,0,0,kmeans_plain,0,0,1
75,75,history of technology,0.008274850577278848,0.029515589248658745,4,1,0,0,0,0,kmeans_plain,0,0,1
76,76,gases,0.013984982224967949,0.05494980118056756,5,1,0,0,0,0,kmeans_plain,0,0,1
77,77,building technology,0.013366424865135371,0.05400374415700918,5,1,0,0,0,0,kmeans_plain,0,0,1
78,78,human behavior,0.010183013552992264,0.041664473235262574,6,1,0,0,0,0,kmeans_plain,0,0,1
79,79,science and technology,0.010228019819128388,0.040037438509424934,6,1,0,0,0,0,kmeans_plain,0,0,1
80,80,structure,0.009856484272224334,0.039514973326306636,6,1,0,0,0,0,kmeans_plain,0,0,1
81,0,aircraft,0.009670006066011051,0.04688241680960707,0,0,1,0,0,0,kmeans_plain,0,0,1
82,1,flight,0.006533355659815147,0.03985370556673374,0,0,1,0,0,0,kmeans_plain,0,0,1
83,2,weapon,0.005760161742703521,0.037319497693704025,0,0,1,0,0,0,kmeans_plain,0,0,1
84,3,ship,0.0053004854431159395,0.03367845124327155,0,0,1,0,0,0,kmeans_plain,0,0,1
85,4,navy,0.005139062540100325,0.03524811555516975,0,0,1,0,0,0,kmeans_plain,0,0,1
86,5,air,0.0047111752871756025,0.020252125530234862,0,0,1,0,0,0,kmeans_plain,0,0,1
87,6,military,0.004559911778511789,0.02723561709238482,0,0,1,0,0,0,kmeans_plain,0,0,1
88,7,war,0.004546391803729351,0.029946569719636083,0,0,1,0,0,0,kmeans_plain,0,0,1
89,8,british,0.004283546812855087,0.026619173084120963,0,0,1,0,0,0,kmeans_plain,0,0,1
90,9,underwater,0.004261661618619781,0.02923014460672613,0,0,1,0,0,0,kmeans_plain,0,0,1
91,10,light,0.005773743948280394,0.0231579519901813,1,0,1,0,0,0,kmeans_plain,0,0,1
92,11,image,0.005149659309944408,0.02154575300342761,1,0,1,0,0,0,kmeans_plain,0,0,1
