topic,label0,prob0,label1,prob1,label2,prob2,label3,prob3,label4,prob4,label5,prob5,label6,prob6,label7,prob7,label8,prob8,label9,prob9
0,science,0.012,history,0.011,national,0.008,american,0.008,university_science_technology,0.007,society,0.007,china,0.005,physics,0.004,john,0.004,founded,0.004
1,research,0.022,references,0.013,university,0.011,international,0.007,established,0.006,united_states,0.006,institute,0.006,birds,0.006,standards,0.006,award,0.006
2,energy,0.009,system,0.006,researchers,0.006,light,0.005,time,0.005,process,0.004,vacuum,0.004,material,0.004,content,0.004,education,0.004
3,science,0.04,research,0.013,scientific,0.011,knowledge,0.009,information,0.008,engineering,0.008,scientists,0.007,list,0.006,published,0.005,work,0.005
4,study,0.012,data,0.011,theory,0.007,based,0.006,human,0.006,environmental,0.006,experiment,0.005,evolution,0.005,different,0.005,effect,0.005
5,water,0.014,science_technology,0.009,earth,0.009,journal,0.009,external_links,0.008,space,0.007,online,0.006,database,0.005,abstracts,0.005,school,0.005
6,analysis,0.011,medical,0.007,treatment,0.006,experience,0.006,c.,0.006,blinding,0.005,architecture,0.005,discovered,0.005,b.,0.005,september,0.005
