,label,tfidf,pmi,country,lda,alg,LDA
0,acid,0.008251294678989357,0.027015302913394598,0,1,LDA,1
1,develop,0.008102561506816128,0.02756733841276564,0,1,LDA,1
2,allow,0.008095202969772453,0.02310927279834655,0,1,LDA,1
3,alcohol,0.00808542652675607,0.023070029711446366,0,1,LDA,1
4,lead,0.008065642418654912,0.02703382309798071,0,1,LDA,1
5,example,0.008046490928365364,0.022914381187143965,0,1,LDA,1
6,health,0.008036665914949899,0.026858676851800076,0,1,LDA,1
7,need,0.00801268987619708,0.0264338401422894,0,1,LDA,1
8,method,0.008012643442498205,0.02277990148200038,0,1,LDA,1
9,level,0.007986095292682044,0.022866170833289255,0,1,LDA,1
10,range,0.01024052668785051,0.02547299273118144,1,1,LDA,1
11,female,0.010193680577831212,0.025317102804684147,1,1,LDA,1
12,occur,0.010183089167749411,0.025314735561990997,1,1,LDA,1
13,shell,0.010160642780819087,0.025251225448563307,1,1,LDA,1
14,male,0.010147520706542044,0.025195129409660077,1,1,LDA,1
15,catch,0.010101607186639144,0.02507432567260447,1,1,LDA,1
16,breed,0.010099806203593315,0.025048073473277924,1,1,LDA,1
17,aquaculture,0.010079740076547963,0.025012243122644988,1,1,LDA,1
18,land,0.010059951930386491,0.02494532720060699,1,1,LDA,1
19,mushroom,0.010054771498465438,0.024928939926731775,1,1,LDA,1
20,juice,0.009249319311703192,0.02184163072792881,2,1,LDA,1
21,long,0.009195549069387948,0.021723548456350026,2,1,LDA,1
22,white,0.009104869668358228,0.021522372434162575,2,1,LDA,1
23,oil,0.009099102736385891,0.021520588637151283,2,1,LDA,1
24,green,0.009075101999096924,0.021471911784191906,2,1,LDA,1
25,cultivate,0.009048076470143648,0.02142605351455265,2,1,LDA,1
26,india,0.00902927784009984,0.021392475011361295,2,1,LDA,1
27,harvest,0.00899996843356284,0.021334702123599128,2,1,LDA,1
28,china,0.00896478036245952,0.02125841918917686,2,1,LDA,1
29,root,0.00895113780011309,0.021239977453508304,2,1,LDA,1
30,protein,0.010220976158689643,0.023923738484455233,3,1,LDA,1
31,study,0.010198358834432016,0.02379839389949655,3,1,LDA,1
32,effect,0.010178546222397314,0.02379702043420264,3,1,LDA,1
33,source,0.010142172636302632,0.02414447618208013,3,1,LDA,1
34,report,0.010131410213878235,0.024052906914106532,3,1,LDA,1
35,low,0.010128853111626887,0.024016924286984327,3,1,LDA,1
36,system,0.01010488120277563,0.023944240446051836,3,1,LDA,1
37,provide,0.010100816957844852,0.023916516940915095,3,1,LDA,1
38,consumption,0.01008922729719021,0.023878932012981004,3,1,LDA,1
39,sugar,0.010080285724528315,0.023828161110959305,3,1,LDA,1
40,vine,0.012909398810421219,0.03908218445247043,4,1,LDA,1
41,french,0.012908314452682692,0.03899437335969844,4,1,LDA,1
42,de,0.01283600835558491,0.03856218014519808,4,1,LDA,1
43,heat,0.01274659863786924,0.037979908053270055,4,1,LDA,1
44,vitamin,0.012745817798889577,0.03561633301178409,4,1,LDA,1
45,style,0.012661862698316687,0.04130376128879769,4,1,LDA,1
46,quality,0.012619500751948742,0.042632769745807694,4,1,LDA,1
47,france,0.012612233390356215,0.041387478267200545,4,1,LDA,1
48,winery,0.012611161137285594,0.04176508672651176,4,1,LDA,1
49,age,0.012602057419565762,0.04145412720311078,4,1,LDA,1
50,home,0.010229018568343086,0.026061504423748758,5,1,LDA,1
51,form,0.01010573534678608,0.02486950886042945,5,1,LDA,1
52,bacon,0.010039936275465346,0.02470257454537142,5,1,LDA,1
53,canada,0.010023551632921507,0.024660115320266424,5,1,LDA,1
54,sweet,0.00998068177936139,0.02455321015599276,5,1,LDA,1
55,spice,0.009967709490308245,0.024521057819995112,5,1,LDA,1
56,chicken,0.00993796664104772,0.024447864556466532,5,1,LDA,1
57,egg,0.009867755623152456,0.02427806191010269,5,1,LDA,1
58,meal,0.009854566003695307,0.024243820618034484,5,1,LDA,1
59,salt,0.009851155836064898,0.024237849799278503,5,1,LDA,1
60,bottle,0.012363351237756143,0.03121957403534456,6,1,LDA,1
61,create,0.012153334145415858,0.030629440872595014,6,1,LDA,1
62,history,0.01204955188175974,0.030335777203624497,6,1,LDA,1
63,location,0.011913632432336589,0.029967289171998326,6,1,LDA,1
64,eat,0.01183964563657768,0.02976841123480859,6,1,LDA,1
65,bread,0.011812874552001728,0.029696744882151814,6,1,LDA,1
66,popular,0.01081316075643996,0.027138908453010046,6,1,LDA,1
67,ingredient,0.010782680631988796,0.027066320440444738,6,1,LDA,1
68,recipe,0.010746542173408657,0.02697884512525881,6,1,LDA,1
69,meat,0.010710530073333219,0.026891933409419054,6,1,LDA,1
70,consume,0.007956564253072519,0.02638012581657869,0,1,LDA,1
71,level,0.010078332377684464,0.023838196629222593,3,1,LDA,1
72,wheat,0.012504180562132957,0.04293950870222057,4,1,LDA,1
73,german,0.012213637270283023,0.04279747341925709,4,1,LDA,1
74,italy,0.012546757394525043,0.04275952153339101,4,1,LDA,1
75,italian,0.01229300996681746,0.04251385109661345,4,1,LDA,1
76,blend,0.012589400979723863,0.04230781596613632,4,1,LDA,1
77,label,0.012529851893883412,0.041810178130569836,4,1,LDA,1
78,barrel,0.01258106892497251,0.04171731436746402,4,1,LDA,1
79,roman,0.012520606084505472,0.041620956791079175,4,1,LDA,1
