country,label0,prob0,label1,prob1,label2,prob2,label3,prob3,label4,prob4,label5,prob5,label6,prob6,label7,prob7,label8,prob8,label9,prob9
0,company,0.021,product,0.016,brand,0.011,sell,0.01,market,0.008,produce,0.005,coffee,0.005,food,0.005,sale,0.004,store,0.004
1,dish,0.013,food,0.009,serve,0.008,meat,0.007,cook,0.007,call,0.006,eat,0.006,include,0.005,popular,0.005,ingredient,0.005
2,food,0.017,use,0.007,water,0.005,process,0.004,product,0.004,increase,0.004,produce,0.004,animal,0.004,oil,0.003,diet,0.003
3,plant,0.009,specie,0.008,fruit,0.007,grow,0.005,leave,0.005,produce,0.005,fish,0.005,find,0.004,seed,0.004,know,0.004
4,wine,0.035,tea,0.013,produce,0.01,alcohol,0.008,grape,0.008,region,0.008,drink,0.006,production,0.005,variety,0.005,area,0.004
5,beer,0.013,brewery,0.006,drink,0.005,recipe,0.003,time,0.003,produce,0.003,book,0.003,use,0.003,know,0.003,history,0.003
6,restaurant,0.012,food,0.005,year,0.004,company,0.004,time,0.004,location,0.004,open,0.004,new,0.004,work,0.004,store,0.003
