,0,1,2,3,4
0,military science,military technology,aerospace engineering,radar,weapons
1,electronics,electrical engineering,optics,integrated circuit,electricity
2,software,computers,computer-related introductions by year,technology by year,services
3,automotive technologies,vehicle technology,automotive industry,vehicle parts,automobile
4,tools,industrial revolution,invented,manufactured goods,equipment
5,industrial processes,manufacturing,chemical engineering,building engineering,materials
6,information technology,technological change,technological,engineering,innovation
