,label,tfidf,pmi,augmented,LDA,plain,share,avg_borda,h_cat_tfidf,h_cat_pmi,links_tfidf,links_pmi,key_words_tfidf,key_words_pmi,key_phrases_tfidf,key_phrases_pmi,lda_tfidf,lda_pmi
0,1_(number),0.04149910362909838,0.20421329970500146,1,0,1,0.0,0.0,0.04149910362909838,0.20421329970500146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20th-century_births,0.01067767116588727,0.06048184746662446,1,1,1,0.047619047619047616,0.2380952380952381,0.01067767116588727,0.06048184746662446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,abc_news,0.014809411416099991,0.05571125013002065,0,0,1,0.038461538461538464,0.038461538461538464,0.0,0.0,0.014809411416099991,0.05571125013002065,0.0,0.0,0.0,0.0,0.0,0.0
3,academic_disciplines,0.015299069967342776,0.0736139089826939,1,1,1,0.2352941176470588,1.0,0.015299069967342776,0.0736139089826939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,acid,0.0037276664987893897,0.019388412282020616,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037276664987893897,0.019388412282020616,0.0,0.0
5,acquired,0.006434290157922963,0.023170854371868683,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.006434290157922963,0.023170854371868683,0.0049569850311983535,0.018143960172945683,0.0,0.0
6,act,0.004175885220100818,0.016034891531381216,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004175885220100818,0.01602376202311559,0.003596944299677091,0.016034891531381216,0.0,0.0
7,advertisers,0.008496552270367967,0.04487777907981776,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.008496552270367967,0.04487777907981776,0.0,0.0,0.0,0.0
8,advertising,0.03948808979783072,0.1720430107526882,1,1,1,0.42857142857142855,1.1904761904761905,0.0,0.0,0.03948808979783072,0.1720430107526882,0.0051905543000512425,0.01807446495597844,0.007708303959871476,0.034479957198695226,0.0,0.0
9,advertising_by_medium,0.012317253195844752,0.05095458705319438,0,1,0,0.1111111111111111,0.3333333333333333,0.012317253195844752,0.05095458705319438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,aerospace_engineering,0.01222664305250522,0.078708432304038,1,0,1,0.5,2.1666666666666665,0.01222664305250522,0.078708432304038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,air,0.004731689081783477,0.02027791544796916,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004731689081783477,0.02027791544796916,0.0,0.0
12,aircraft,0.0275041474301766,0.1939530550876296,1,1,1,0.5,1.1666666666666667,0.01393264042821687,0.09302641022573864,0.0275041474301766,0.1939530550876296,0.0,0.0,0.009670006066011051,0.04688241680960707,0.0,0.0
13,alcohol,0.017095041611043624,0.0967104835777277,1,1,1,0.875,3.625,0.017095041611043624,0.0967104835777277,0.0,0.0,0.006541765621744666,0.03327519154641618,0.007471580641426605,0.039801675124949996,0.0,0.0
14,alcohol_by_volume,0.01851285489727768,0.15291457227553398,0,1,0,0.125,0.5,0.0,0.0,0.01851285489727768,0.15291457227553398,0.0,0.0,0.0,0.0,0.0,0.0
15,alcoholic_beverage,0.03181040647162005,0.2432096487746153,1,1,1,1.0,3.375,0.0,0.0,0.03181040647162005,0.2432096487746153,0.0,0.0,0.0,0.0,0.0,0.0
16,alcoholic_drinks,0.0244056599458926,0.12331750907567718,1,1,1,0.9230769230769232,3.3846153846153846,0.0244056599458926,0.12331750907567718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,alcoholic_drinks_by_country,0.021283537585553132,0.10666474747940304,1,1,1,0.5384615384615384,1.8461538461538465,0.021283537585553132,0.10666474747940304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,alexa_internet,0.016568389419910814,0.0912607236219442,1,0,1,0.06666666666666668,0.25,0.0,0.0,0.016568389419910814,0.0912607236219442,0.0,0.0,0.0,0.0,0.0,0.0
