,country,label_id,label,tfidf,pmi
0,6,142,court,0.014958738141843127,0.044263404458888704
1,6,140,publish,0.014849909959377183,0.043765129737025045
2,6,139,united state,0.014848607336112638,0.04361802169459042
3,6,135,order,0.014824010827086549,0.04297892980162939
4,6,138,issue,0.01479490486513754,0.04337614726744852
5,6,137,china,0.01479364489026188,0.043234756764734324
6,6,132,claim,0.014426266555130497,0.041166785827880956
7,6,128,foundation,0.01359349298891279,0.03759013432191439
8,6,127,december,0.012500558929983386,0.03337038968605623
9,6,124,article,0.01226171672536146,0.03260423277999882
10,4,160,advertiser,0.010340176246858955,0.025778846673856264
11,4,159,sale,0.009443073892365738,0.02376952795603572
12,0,122,wikipedia,0.00944118315762428,0.0239742546302398
13,2,193,world wide web,0.009299228983842979,0.02287684288177524
14,4,157,pay,0.009293945463731655,0.02345466118209832
15,4,156,music,0.009245589325115922,0.023350557049021985
16,2,192,format,0.009221935614313328,0.022617960353462363
17,2,190,html,0.00918914072002845,0.022424785650612757
18,4,155,mobile,0.009150736513076482,0.023179194202216532
19,2,191,text,0.009137616956698224,0.02235735501521561
20,4,154,share,0.009065012955646554,0.022998342231848132
21,4,153,result,0.009036598593524339,0.022938683756538538
22,0,120,block,0.00898171614580852,0.022641367187957437
23,0,121,law,0.00898171614580852,0.022641367187957437
24,4,152,acquire,0.008877069503463326,0.022606380711066743
25,2,194,tag,0.008714524864799357,0.022613470191372647
26,2,109,design,0.008706087784307674,0.02104531044048597
27,2,197,arpanet,0.008637899124720115,0.022690611253206035
28,2,196,element,0.008630815486559721,0.022627523820467826
29,2,195,specification,0.008602365453376086,0.0224878612297484
30,2,198,like,0.00858992439154081,0.02266703418634059
31,0,118,report,0.008543338433863337,0.021501837735538046
32,3,180,later,0.008456613940273154,0.020942787060467056
33,3,179,event,0.008347066343831708,0.020656692399380304
34,3,178,story,0.008284237888841556,0.020493164431381324
35,0,117,state,0.008194935338108394,0.0206627780647557
36,4,151,brand,0.008168168400186523,0.02125818241456031
37,4,150,marketing,0.008107399631149766,0.021141241528979234
38,3,177,twitter,0.008092026654705022,0.020041524443912866
39,3,176,write,0.00801892339820058,0.019876718956562043
40,1,76,rfc,0.007805003261627319,0.020704119980642546
41,1,80,define,0.007790328022466623,0.021059027369405393
42,0,131,public,0.007766325951984199,0.019609330083942826
43,1,79,value,0.0077651766650029,0.02091517294721864
44,1,75,ip address,0.007761611758975048,0.020512506064449185
45,3,175,series,0.0077252548676124775,0.019208114516542234
46,1,49,spam,0.007681822091708596,0.019355264127338605
47,1,81,packet,0.007672547710499552,0.020929911711109486
48,1,48,contain,0.007651969235283629,0.0192732012531307
49,1,46,attack,0.007650068718706279,0.01926003320439062
50,1,47,set,0.007646128103453445,0.019254868271914242
51,1,51,implementation,0.0076360697422377735,0.019257557499326523
52,3,174,day,0.007585139761740548,0.01892228662765033
53,3,173,begin,0.007351804413613793,0.01841566583440668
54,3,172,start,0.0071036738870550635,0.017910329994637788
55,3,171,post,0.006999253716789638,0.017805066834592136
56,0,125,country,0.006772085526706467,0.017455729190861538
57,0,146,consumer,0.006085697012661423,0.016123036739634954
58,0,149,platform,0.006072877429214717,0.015977234304344883
59,0,148,purchase,0.006064847059283308,0.015978651335996432
60,5,78,traffic,0.005760805124018989,0.014538412808980668
61,5,83,key,0.005743006777323978,0.014886348316735767
62,5,53,know,0.005456678571078686,0.013225249468065648
63,5,45,method,0.005328252439603348,0.012909732899949187
64,5,44,require,0.005230877661255816,0.01268968999097061
65,5,74,document,0.005170108662519622,0.013736075454464902
66,5,52,type,0.005103926730975322,0.013512490448382503
67,5,36,request,0.005079350901498985,0.01256699190036796
68,5,39,number,0.0050648622024586105,0.012441723464223198
69,5,34,email,0.005026905525963854,0.012479373362442724
